C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41718337|*Ferrets|C0015859|41704|MH|RtM via: Ferrets;RtM via: Mustela nigripes;Forced Leaf Node Lookup:ferrets;checkForceMH Boosted|TI|MM|1097^7^0;176^7^0;1582^16^0;1424^20^0;71^20^0;93^16^0;84^7^0;1437^7^0
41718337|*Cola|C0684195|17134|MH|RtM via: Genus Cola;Forced Leaf Node Lookup:cola;checkForceMH Boosted|TI|MM|3081^4^0
41718337|*Prairie Dog|C0032898|9503|ET|Entry Term Replacement for "Sciuridae";RtM via: Prairie Dogs;RtM via: Cynomys ludovicianus;checkForceMH Boosted|TI|MM|1372^11^0;3093^20^0;1218^24^0;1244^20^0
41718337|*Homing Behavior|C0019861|7148|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM|1471^11^0;1056^11^0;864^10^0;639^10^0;420^10^0;366^10^0;41^11^0
41718337|South Dakota|C0037717|3980|MH|RtM via: South Dakota;Forced Leaf Node Lookup:south dakota|TI|MM|128^12^0
41718337|*Mustelidae|C0325034|36162|MH|RtM via: Mustelidae|TI|MM|1413^9^0;1126^8^0
41718337|*Vincristine|C0042679|1260|MH|RtM via: Asparaginase/Cyclophosphamide/Doxorubicin/Methotrexate/Prednisone/Vincristine|TI|MM|2657^6^0;2480^6^0;2372^6^0;2197^6^0;1709^6^0
41718337|*Cyclophosphamide|C0010583|1068|MH|RtM via: Asparaginase/Cyclophosphamide/Doxorubicin/Methotrexate/Prednisone/Vincristine|TI|MM|2657^6^0;2480^6^0;2372^6^0;2197^6^0;1709^6^0
41718337|*Eye, Artificial|C0015417|858|MH|RtM via: Ophthalmic conformer|TI|MM|1105^7^0
41718338|Animals|C0003062|17361|CT|Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior);Prairie Dogs;CT Treecode Lookup: B01.050.150.900.649.313.992 (Prairie Dogs);Ferrets;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ferrets);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);CT Text Lookup: home range;CT Text Lookup: home ranges|TI|MM;RC|670^11^0
41718338|*Homing Behavior|C0019861|16361|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM|670^11^0
41718338|*Prairie Dogs|C0032898|14255|ET|Entry Term Replacement for "Sciuridae";RtM via: Prairie Dogs;RtM via: Cynomys ludovicianus;checkForceMH Boosted|TI|MM|1325^11^0;1249^12^0;1871^20^0;1076^24^0;333^25^0;360^20^0
41718338|*Ferrets|C0015859|11745|MH|RtM via: Ferrets;RtM via: Mustela nigripes;Forced Leaf Node Lookup:ferrets;checkForceMH Boosted|TI|MM|1162^7^0;1055^7^0;898^6^0;698^7^0;576^6^0;487^7^0;1790^16^0;257^19^0;1213^7^0;1266^7^0;270^6^0
41718338|*Cola|C0684195|8077|MH|RtM via: Genus Cola;Forced Leaf Node Lookup:cola;checkForceMH Boosted|TI|MM|2820^4^0;1859^4^0
41718338|*Benchmarking|C0525063|5945|MH|RtM via: Benchmarks;Forced Leaf Node Lookup:metrics|TI|MM|794^7^0
41718338|South Dakota|C0037717|3023|MH|RtM via: South Dakota;Forced Leaf Node Lookup:south dakota|TI|MM|403^12^0
41718338|HABA|C0062071|8224|NM|RtM via: HABA|TI|MM|2628^4^0
41718338|*Azo Compounds|C0004501|8223|HM|RtM via: HABA|TI|MM|2628^4^0
41718338|*Animals, Wild|C0003070|5787|MH|RtM via: Animals, Wild|TI|MM|21^8^0
41718338|*Probability|C0033204|4464|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|458^11^0
41718338|*Surveys|C0038951|3825|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|635^7^0
41718338|*Habitat|C0871648|3519|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|2867^7^0;1139^7^0;30^7^0;189^7^0;1225^7^0
41718338|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1570^3^0;2723^3^0
41718339|Animals|C0003062|16304|CT|Forced Animals Lookup:crias;Prairie Dog;CT Treecode Lookup: B01.050.150.900.649.313.992 (Prairie Dog);Ferrets;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ferrets);Camelids, New World;CT Treecode Lookup: B01.050.150.900.649.313.500 (Camelids, New World);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|1888^5^0;91^7^0
41718339|*Prairie Dog|C0032898|15304|ET|Entry Term Replacement for "Sciuridae";RtM via: Prairie Dogs;RtM via: Cynomys ludovicianus;checkForceMH Boosted|TI|MM|1598^7^0;647^11^0;473^11^0;174^7^0;161^11^0;1776^20^0;304^24^0;330^20^0
41718339|*Ferrets|C0015859|8607|MH|RtM via: Ferrets;RtM via: Mustela nigripes;Forced Leaf Node Lookup:ferrets;checkForceMH Boosted|TI|MM|1108^7^0;922^7^0;888^7^0;781^6^0;552^6^0;398^6^0;277^7^0;148^7^0;1425^16^0;21^20^0;43^16^0;34^7^0;1034^7^0;1252^7^0;1310^7^0
41718339|*Cola|C0684195|6104|MH|RtM via: Genus Cola;Forced Leaf Node Lookup:cola;checkForceMH Boosted|TI|MM|1764^4^0
41718339|*SE-30|C0036481|2956|ET|Entry Term Replacement for "Silicone Elastomers";RtM via: SE-30;checkForceMH Boosted|TI|MM|2225^2^1;2370^2^1
41718339|*Radius|C0034627|2338|MH|RtM via: Bone structure of radius;Forced Leaf Node Lookup:radius|TI|MM|766^6^0
41718339|New Mexico|C0027972|1936|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM|386^10^0
41718339|*Camelids, New World|C0006799|1924|MH|Forced Animals Lookup:crias|TI|MM|1888^5^0
41718339|HABA|C0062071|8167|NM|RtM via: HABA|TI|MM|2350^4^0
41718339|*Azo Compounds|C0004501|8166|HM|RtM via: HABA|TI|MM|2350^4^0
41718339|*Habitat|C0871648|3138|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|2249^7^0;694^7^0
41718339|*Environment|C0014406|2913|MH|RtM via: Para (geographic area)|TI|MM|3044^4^0;1626^4^0
41718339|*Surveys|C0038951|2790|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|529^7^0
41718339|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1612^3^0;2875^3^0
41718339|North America|C0028405|495|MH|RtM via: North America|TI|MM|102^13^0
41718340|Animals|C0003062|191289|CT|Ferrets;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ferrets);Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species);Prairie Dogs;CT Treecode Lookup: B01.050.150.900.649.313.992 (Prairie Dogs);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)|TI|MM
41718340|*Plague|C0032064|190289|MH|RtM via: Plague;Forced Leaf Node Lookup:plague|TI|MM|1219^6^0;580^6^0
41718340|*Yersinia pestis|C0043408|170947|MH|RtM via: Yersinia pestis;Forced Leaf Node Lookup:yersinia pestis;checkForceMH Boosted|TI|MM|588^15^0
41718340|*Ferrets|C0015859|49347|MH|RtM via: Mustela nigripes;Forced Leaf Node Lookup:ferrets;checkForceMH Boosted|TI|MM|1328^19^0;774^20^0;315^20^0;25^19^0;46^16^0;328^7^0;787^7^0;38^6^0;1341^6^0
41718340|*Endangered Species|C2717882|48649|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM|1100^18^0
41718340|*Prairie Dogs|C0032898|43844|ET|Entry Term Replacement for "Sciuridae";RtM via: Prairie Dogs;checkForceMH Boosted|TI|MM|1272^11^0;989^12^0;638^12^0;523^7^0;509^12^0
41718340|*Goals|C0018017|16163|MH|Forced Leaf Node Lookup:goal|TI|MM|296^4^0;417^4^0;749^4^0
41718340|*Grassland|C0442534|16163|MH|Forced Leaf Node Lookup:grasslands|TI|MM|961^10^0
41718340|HA 23|C0655156|14716|NM|RtM via: HA 23|TI|MM|1927^2^1;1949^2^1
41718340|*Pyrans|C0034234|14715|HM|RtM via: HA 23|TI|MM|1927^2^1;1949^2^1
41718340|*Pyrazoles|C0034242|13713|HM|RtM via: HA 23|TI|MM|1927^2^1;1949^2^1
41718340|*Animals, Wild|C0003070|8967|MH|RtM via: Animals, Wild|TI|MM|1696^8^0;255^8^0
41718341|United States|C0041703|99450|CT|Forced Leaf Node Lookup:american|TI|MM|81^8^0
41718341|Animals|C0003062|99450|CT|Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals)|TI|MM
41718341|*Pollination|C1522786|98450|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|1625^11^0;807^11^0;772^11^0;519^11^0;304^11^0;548^11^0;887^11^0
41718341|*Rosaceae|C0969712|92906|MH|RtM via: Rosaceae (plant);RtM via: Purshia tridentata;RtM via: Purshia stansburyana;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|35^8^0;2219^18^0;398^18^0;2290^20^0;472^20^0;1790^7^0;21^7^0
41718341|*Fruit|C0016767|49588|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1579^6^0;1157^5^0;337^5^0;1690^5^0
41718341|*Wind|C0043187|43790|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|902^4^0;746^4^0;514^4^0
41718341|*Paternal Inheritance|C4277541|20525|MH|RtM via: Paternal Inheritance;Forced Leaf Node Lookup:paternal effects|TI|MM|1656^16^0
41718341|VMBP protocol|C0078397|53497|NM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Antineoplastic Combined Chemotherapy Protocols|C0003393|53496|HM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Vincristine|C0042679|45162|HM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Cisplatin|C0008838|41922|HM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Bleomycin|C0005740|34881|HM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Methotrexate|C0025677|37449|HM|RtM via: VMBP protocol|TI|MM|2756^4^0
41718341|*Flowers|C0330090|28869|MH|RtM via: Pistil;RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers;Forced Non-Leaf Node Lookup:pistils|TI|MM|1537^6^0;999^6^0;834^7^0;1111^6^0
41718341|*Insects|C0021585|20901|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1613^7^0;873^7^0
41718341|*Seed|C0036563|13095|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|210^4^0
41718341|*Mammals|C0024660|11610|MH|RtM via: Mammals;RtM via: UNGULATES - HOOFED MAMMALS;Forced Non-Leaf Node Lookup:mammals|TI|MM|234^7^0;195^9^0
41718341|*Habitat|C0871648|8592|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1928^7^0;157^7^0
41718341|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1883^3^0;3783^3^0
41718342|Pregnancy|C0032961|29938|CT|Fetal Malpresentations;CT Treecode Lookup: G08.686.520 (Fetal Malpresentations);Fetal Malpresentations;CT Treecode Lookup: G08.686.784.769.326.520 (Fetal Malpresentations);Birth;CT Treecode Lookup: G08.686.784.769.490 (Birth);Dystocia;CT Treecode Lookup: C13.703.420 (Dystocia);Prenatal Care;CT Treecode Lookup: N02.421.143.620 (Prenatal Care);CT Text Lookup: dystocia;CT Text Lookup: pregnant|TI|MM;RC|77^8^0;164^8^0
41718342|Humans|C0086418|29938|CT|Prenatal Care;CT Treecode Lookup: E02.760 (Prenatal Care);Prenatal Care;CT Treecode Lookup: N02.421.143 (Prenatal Care);Prenatal Care;CT Treecode Lookup: N02.421.143.620 (Prenatal Care);Prenatal Care;CT Treecode Lookup: N02.421.585 (Prenatal Care)||MM;RC
41718342|Female|C0086287|29938|CT|Forced Animals Lookup:cow;Fetal Malpresentations;CT Treecode Lookup: G08.686.520 (Fetal Malpresentations);Fetal Malpresentations;CT Treecode Lookup: G08.686.784.769.326.520 (Fetal Malpresentations);Birth;CT Treecode Lookup: G08.686.784.769.490 (Birth);Dystocia;CT Treecode Lookup: C13.703.420 (Dystocia);Prenatal Care;CT Treecode Lookup: N02.421.143.620 (Prenatal Care);CT Text Lookup: dystocia;CT Text Lookup: pregnant;Forced Animals Lookup:cow;Fetal Malpresentations;CT Treecode Lookup: G08.686.520 (Fetal MalpresentatForced Animals Lookup:cow|TI|MM;RC|173^3^0;318^3^0;77^8^0;164^8^0
41718342|Animals|C0003062|29938|CT|Forced Animals Lookup:cow|TI|MM|173^3^0;318^3^0
41718342|Cattle|C0007452|29938|CT|Forced Animals Lookup:cow|TI|MM|173^3^0;318^3^0
41718342|*Incidence|C0021149|11455|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM;RC|64^9^0
41718342|*Indican|C0021210|7889|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|768^7^0
41718342|*Fetal Malpresentations|C0233256|28938|ET|Entry Term Replacement for "Labor Presentation";RtM via: Fetal Malpresentation|TI|MM|467^22^0
41718342|*Birth|C0005615|19833|ET|Entry Term Replacement for "Parturition";RtM via: Birth;RtM via: Childbirth|TI|MM|222^5^0
41718342|*Dystocia|C0013418|14304|MH|RtM via: Dystocia;RtM via: Obstructed labor;Forced Non-Leaf Node Lookup:dystocias|TI|MM|385^8^0;340^8^0;206^8^0;77^8^0
41718342|*Prenatal Care|C0033052|10605|MH|RtM via: Prenatal care|TI|MM|1059^5^0
41718343|Animals|C0003062|14616|CT|Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);CT Text Lookup: mammalian|TI|MM;RC|601^9^0
41718343|Humans|C0086418|14616|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|673^5^0
41718343|South Dakota|C0037717|13616|MH|RtM via: South Dakota;Forced Leaf Node Lookup:south dakota|TI|MM|507^12^0;364^12^0
41718343|Nebraska|C0027523|13253|MH|RtM via: Nebraska (geographic location);Forced Leaf Node Lookup:nebraska|TI|MM|1360^8^0;1146^8^0;1119^8^0;942^8^0;485^8^0;339^8^0;268^8^0;148^8^0
41718343|*Grassland|C0442534|2270|MH|Forced Leaf Node Lookup:prairies|TI|MM|714^8^0
41718343|*Surveys|C0038951|7905|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|611^7^0
41718343|*Records|C0034869|7278|MH|RtM via: Records|TI|MM|541^7^0;405^7^0;194^7^0
41718343|*Mammals|C0024660|4707|MH|RtM via: Mammals|TI|MM|601^9^0
41718343|*Sigmodontinae|C0079507|681|MH|RtM via: Neotoma floridana;Forced Non-Leaf Node Lookup:neotoma|TI|MM|824^17^0;25^15^0;42^17^0
41718344|Humans|C0086418|26507|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
41718344|Animals|C0003062|26507|CT|CT Text Lookup: mice;CT Text Lookup: mouse|TI|MM|459^4^0;40^5^0
41718344|Mice|C0026809|26507|CT|CT Text Lookup: mice;CT Text Lookup: mouse|TI|MM|459^4^0;40^5^0
41718344|United States|C0041703|26507|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|132^8^0
41718344|*Endangered Species|C2717882|25507|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM|1314^18^0;252^18^0
41718344|*Rivers|C0337050|13685|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1024^5^0;878^5^0;477^5^0
41718344|*Parasites|C0030498|12745|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|631^9^0
41718344|Arizona|C0003787|5492|MH|RtM via: Arizona;RtM via: Yavapai County, AZ;Forced Leaf Node Lookup:arizona|TI|MM|1614^7^0;1341^7^0;526^7^0;279^7^0;672^14^0;494^14^0
41718344|*Grassland|C0442534|4277|MH|Forced Leaf Node Lookup:meadows|TI|MM|25^6^0
41718344|*Phylogeography|C2936603|13029|MH|RtM via: Phylogeography|TI|MM|694^15^0
41718344|*Asian Continental Ancestry Group|C1257906|9264|MH|RtM via: Asians|TI|MM|1439^8^0
41718344|*Niche, Ecological|C4704926|8649|ET|Entry Term Replacement for "Ecosystem";RtM via: Niche, Ecological|TI|MM|784^16^0
41718344|*Record|C0034869|3225|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|553^6^0
41718344|Surveys and Questionnaires|C4042892|1000|MH|Forced Non-Leaf Node Lookup:surveys||MM|933^7^0
41718344|Cabo Verde|C0006893|9|MH|RtM via: Cape Verde|TI|MM|2062^4^1;2165^5^1
41705449|Animals|C0003062|32242|CT|Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);Killifishes;CT Treecode Lookup: B01.050.150.900.493 (Killifishes)|TI|MM
41705449|*Killifishes|C0022690|22878|MH|RtM via: Cyprinodon diabolis;Forced Leaf Node Lookup:cyprinodons;checkForceMH Boosted|TI|MM|183^19^0
41705449|*Water|C0043047|18168|MH|RtM via: Water;checkForceMH Boosted|TI|MM|2799^4^0;2486^4^0;2136^4^0;761^5^0;463^5^0;227^5^0
41705449|*Oxygen|C0030054|14820|MH|RtM via: Oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM|277^6^0
41705449|*Microelectrodes|C0025973|10755|MH|RtM via: Microelectrodes;Forced Leaf Node Lookup:microelectrodes|TI|MM|737^14^0
41705449|*Sunlight|C0038817|9546|MH|Forced Leaf Node Lookup:sunlight|TI|MM|1337^8^0
41705449|*Temperature|C0039476|9546|MH|Forced Leaf Node Lookup:temperatures|TI|MM|233^11^0
41705449|*Community, Biotic|C1253910|31212|ET|Entry Term Replacement for "Biota";RtM via: Biological Community;Forced Non-Leaf Node Lookup:biotic community|TI|MM|1841^16^0
41705449|*Invertebrates|C0021948|31062|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|122^13^0
41705449|*Autotrophy|C1157851|19647|ET|Entry Term Replacement for "Autotrophic Processes";RtM via: Autotrophy|TI|MM|1356^11^0
41705449|*Microbial Community|C3887843|19188|ET|Entry Term Replacement for "Microbiota";RtM via: Microbiota (environment)|TI|MM|1034^9^1;1052^9^1
41705449|*Surveys|C0038951|8970|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM;RC|752^7^0
41705449|*Biofilms|C0081786|5391|MH|RtM via: Microbial Biofilms;Forced Non-Leaf Node Lookup:biofilms|TI|MM|1574^18^0;1498^8^0;1368^8^0;1255^18^0;1159^18^0;1044^7^0;712^18^0;407^18^0;417^8^0;722^8^0;1169^8^0;1265^8^0;1584^8^0
41705449|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3754^3^0
41705450|Animals|C0003062|23171|CT|Songbirds;CT Treecode Lookup: B01.050.150.900.248 (Songbirds);Aves;CT Treecode Lookup: B01.050.150.900.248 (Aves);Colubridae;CT Treecode Lookup: B01.050.150.900.833 (Colubridae);Rodents;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodents)||MM;RC
41705450|*Songbirds|C0600538|22171|MH|RtM via: Songbirds;checkForceMH Boosted;Forced Non-Leaf Node Lookup:songbirds|TI|MM|403^8^0;318^9^0
41705450|*Colubridae|C0206283|13095|MH|RtM via: Thamnophis;Forced Leaf Node Lookup:garter snakes;Forced Leaf Node Lookup:thamnophis;checkForceMH Boosted|TI|MM|3186^10^0;1132^13^0;1147^10^0
41705450|*Rodents|C0035804|11041|ET|Entry Term Replacement for "Rodentia";RtM via: Rodent;checkForceMH Boosted|TI|MM|1258^7^0
41705450|*Eggs|C0013710|4026|MH|RtM via: Egg Food Product|TI|MM|1240^4^0;741^3^0
41705450|*Biases|C0005346|3861|ET|Entry Term Replacement for "Bias";RtM via: Bias (Epidemiology);RtM via: Biases;Forced Non-Leaf Node Lookup:biases|TI|MM|998^6^0
41705450|*Probability|C0033204|3624|MH|RtM via: Probability|TI|MM|887^10^0
41705450|California|C0006754|12|MH|RtM via: California|TI|MM|2160^10^0;360^10^0
41705451|Animals|C0003062|17494|CT|Larva;CT Treecode Lookup: B05.500 (Larva);Larva;CT Treecode Lookup: G07.345.500.550.500 (Larva);Cypriniformes;CT Treecode Lookup: B01.050.150.900.493 (Cypriniformes)||MM;RC
41705451|Humans|C0086418|1000|CT|Forced Humans: Emigrant||MM
41705451|*Lakes|C0337049|16494|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|201^4^0
41705451|*Rivers|C0337050|13179|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM|638^6^0;541^6^0
41705451|*Larva|C0023047|12798|MH|RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|1242^6^0;1054^6^0;860^6^0;837^6^0;476^6^0;319^6^0;173^6^0;152^6^0;230^6^0;280^6^0
41705451|*Emigrations|C0013975|15015|ET|Entry Term Replacement for "Emigration and Immigration";RtM via: Emigration|TI|MM|465^10^0;180^9^0;141^10^0
41705451|*Emigrant|C1955873|6699|ET|Entry Term Replacement for "Emigrants and Immigrants";RtM via: Emigrants|TI|MM|465^10^0;180^9^0;141^10^0
41705451|*Cypriniformes|C0010614|2817|MH|RtM via: Chasmistes cujus;RtM via: Catostomus tahoensis|TI|MM|1440^6^0;1061^6^0;945^6^0;759^16^0;751^6^0;599^6^0;312^6^0;223^6^0;59^16^0;51^6^0;875^12^0;160^12^0
41705451|*Physical Phenomena|C2350446|2097|MH|RtM via: Flow|TI|MM|645^5^0;548^4^0;394^4^0
41705452|Humans|C0086418|54373|CT|Forced Lookup:population level|TI|MM;RC|1286^16^0
41705452|*Quercus|C0330302|53373|MH|RtM via: Quercus;RtM via: Quercus gambelii;RtM via: Quercus havardii;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM|1749^7^0;548^4^0;25^13^0;268^16^0;2611^16^0;1095^16^0;31^7^0
41705452|New Mexico|C0027972|23826|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM|216^10^0
41705452|Utah|C0042124|23763|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|1889^4^0;170^4^0
41705452|Arizona|C0003787|23742|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|1869^7^0;148^7^0
41705452|Colorado|C0009399|23700|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|1907^8^0;189^8^0
41705452|variacin|C0389639|19999|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|2302^8^0;2200^8^0
41705452|*Multivariate Analysis|C0026777|6609|MH|RtM via: Multivariate Analysis;Forced Leaf Node Lookup:multivariate analysis|TI|MM|582^21^0
41705452|Mexico|C0025885|6285|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|1936^6^0
41705452|*Bacteriocins|C0004641|19998|HM|RtM via: variacin|TI|MM|2302^8^0;2200^8^0
41705452|*Forests|C0086312|9120|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|99^7^0
41705452|6,6'-(ethylenebis(oxyethyleneimino))bis(17-cyclopropylmethyl)-4,5-epoxymorphinan-3,14-diol|C0049408|5458|NM|RtM via: 6,6'-(ethylenebis(oxyethyleneimino))bis(17-cyclopropylmethyl)-4,5-epoxymorphinan-3,14-diol|TI|MM|2965^4^0
41705452|*Naltrexone|C0027360|5457|HM|RtM via: 6,6'-(ethylenebis(oxyethyleneimino))bis(17-cyclopropylmethyl)-4,5-epoxymorphinan-3,14-diol|TI|MM|2965^4^0
41705452|*Parents|C0030551|537|MH|RtM via: parent;Forced Non-Leaf Node Lookup:parental|TI|MM|1365^8^0
41705453|Animals|C0003062|44103|CT|Beetle;CT Treecode Lookup: B01.050.500.131 (Beetle)|TI|MM
41705453|*Cactus|C0330340|43103|ET|Entry Term Replacement for "Cactaceae";RtM via: Cactaceae;RtM via: Sclerocactus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactus|TI|MM|2990^6^0;2522^6^0;1164^6^0;798^6^0;1954^12^0;1620^12^0;303^12^0;48^12^0
41705453|*Population Growth|C0032671|27926|MH|RtM via: Population Growth;Forced Leaf Node Lookup:population growth|TI|MM|702^17^0
41705453|*Temperature|C0039476|13795|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1302^12^0;876^11^0
41705453|*Beetle|C0009276|13208|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;RtM via: Moneilema semipunctatum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM|1366^6^0;1087^6^0;980^6^0;2761^23^0;988^23^0
41705453|*Fruit|C0016767|8489|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|577^5^0
41705453|Colorado|C0009399|4790|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|2101^8^0;1726^8^0;448^8^0;140^8^0
41705453|*Population Dynamics|C0032667|12306|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM|25^19^0
41705453|*Flower|C0330090|5079|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|570^6^0
41705453|*Seasons|C0036497|2298|MH|RtM via: Winter|TI|MM|1295^6^0
41705453|*Regression Analysis|C0034980|2031|MH|RtM via: Regression Analysis;Forced Non-Leaf Node Lookup:regression analysis|TI|MM|638^19^0
41705453|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1777^3^0
41705454|Humans|C0086418|87367|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|537^5^0
41705454|United States|C0041703|87367|CT|Forced Leaf Node Lookup:american|TI|MM|153^8^0
41705454|*Populus|C0522458|86367|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;Forced Leaf Node Lookup:populus fremontii;Forced Leaf Node Lookup:cottonwoods;checkForceMH Boosted|TI|MM|1723^17^0;1604^10^0;1339^10^0;758^10^0;398^10^0;29^10^0;41^17^0
41705454|*Seedlings|C0242437|59193|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1460^9^0;1163^8^0;737^9^0;645^8^0;409^9^0;210^8^0;266^8^0
41705454|*Rivers|C0337050|58677|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1588^5^0;179^6^0
41705454|*Temperature|C0039476|55872|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1505^12^0;1084^11^0;1250^12^0
41705454|*Ecosystem|C0162358|49164|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|129^10^0
41705454|*Biomass|C0005535|47751|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|1172^7^0
