C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
40660756|*Introduced Species|C2936532|47424|MH|RtM via: Invasive Species;Forced Leaf Node Lookup:invasive species;checkForceMH Boosted|TI|MM|1419^16^0
40660756|North Carolina|C0028407|38640|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM;RC|825^14^0;650^14^0;416^14^0;256^14^0;507^14^0;731^14^0;864^14^0
40660756|Virginia|C0042753|37884|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM;RC|883^8^0;669^8^0;435^8^0;272^8^0;534^8^0;750^8^0
40660756|Maryland|C0024858|22500|MH|RtM via: Maryland (geographic location);Forced Leaf Node Lookup:maryland|TI|MM|713^8^0;392^8^0;286^8^0
40660756|*Censuses|C0007663|13569|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|1526^9^0;214^6^0;36^6^0
40660756|*Sand|C4759711|8628|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|1323^5^0
40660756|*Habitat|C0871648|20199|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1495^7^0;1329^7^0
40660756|*Breeding|C0006159|5082|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1369^8^0;85^8^0
40660756|*Colubridae|C0206283|1485|MH|RtM via: Virginia (Reptile)|TI|MM|883^8^0;669^8^0;435^8^0;272^8^0
40660756|*Chickens|C0008051|447|MH|RtM via: Young chicken|TI|MM|1049^5^0;848^5^0;555^5^0;330^5^0;30^5^0
40660757|Animals|C0003062|77980|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species)||MM;RC
40660757|United States|C0041703|77980|CT|RtM via: United States|TI|MM;RC|1633^2^1;1646^1^1;256^2^1;263^1^1;196^8^1;212^1^1
40660757|*Population Growth|C0032671|76980|MH|RtM via: Population Growth;Forced Leaf Node Lookup:population growth|TI|MM;RC|1583^17^0;580^17^0
40660757|*Endangered Species|C2717882|55059|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM;RC|217^18^0
40660757|*Censuses|C0007663|37761|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|451^6^0;292^8^0
40660757|New Jersey|C0027971|20067|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM|1374^3^1;1387^6^1;658^10^0;1383^10^0
40660757|New York|C0027976|20031|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|649^8^0;1374^8^0
40660757|*Survival Rate|C0038954|11202|MH|RtM via: Survival Rate;Forced Leaf Node Lookup:survival rates|TI|MM|1983^14^0
40660757|*Stationary Populations|C0038202|48318|ET|Entry Term Replacement for "Population Dynamics";RtM via: Stationary Population|TI|MM;RC|1781^22^0
40660757|New England|C0027965|15825|MH|RtM via: New England;Forced Non-Leaf Node Lookup:new england|TI|MM;RC|1354^11^0;1012^11^0;633^11^0
40660757|*Breeding|C0006159|9048|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|2067^8^0;1000^8^0;241^8^0;371^8^0
40660757|Canada|C0006823|6780|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|1921^6^0;1687^6^0;1339^6^0;812^6^0;746^6^0;280^6^0
40660758|Animals|C0003062|161400|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
40660758|*Wetlands|C1721088|160400|MH|RtM via: Marshes;RtM via: Wetlands;Forced Leaf Node Lookup:wetlands;Forced Leaf Node Lookup:marsh|TI|MM;RC|750^5^0;1183^8^0
40660758|*Endangered Species|C2717882|157028|MH|RtM via: Threatened Species;Forced Leaf Node Lookup:threatened species;checkForceMH Boosted|TI|MM;RC|64^18^0
40660758|*Seasons|C0036497|76546|MH|RtM via: Seasons;RtM via: Autumn;RtM via: spring (season);Forced Leaf Node Lookup:seasons|TI|MM;RC|1259^6^0;841^4^0;657^4^0;804^6^0
40660758|*Water|C0043047|27532|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1088^5^0;1053^5^0;896^5^0;731^5^0
40660758|Exilis|C2743371|22043|NM|Forced SCR Leaf Node Lookup:exilis|TI|MM|51^6^0
40660758|*Bird|C0005595|101283|ET|Entry Term Replacement for "Birds";RtM via: Aves;RtM via: Ixobrychus;RtM via: Ixobrychus exilis;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|254^4^0;681^14^0;1285^15^0;925^13^0;386^13^0;283^13^0;40^17^0;25^13^0
40660758|*Habitat|C0871648|66903|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1069^7^0;772^7^0
40660758|*Reproduction|C0035150|26034|MH|RtM via: Reproduction|TI|MM;RC|1301^12^0
40660758|*Breeding|C0006159|23403|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1250^8^0;586^8^0;127^6^0
40660758|*Surveys|C0038951|1461|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|312^7^0
40660758|Canada|C0006823|1287|MH|RtM via: Canada|TI|MM|86^6^0
40660759|Cattle|C0007452|71245|CT|RtM via: Cattle;Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM;RC|1107^6^0;898^6^0;689^6^0;616^6^0
40660759|Animals|C0003062|71245|CT|RtM via: Cattle;Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes);Threatened Species;CT Treecode Lookup: B01.050.050 (Threatened Species);CT Text Lookup: anseriformes;CT Text Lookup: cattle;RtM via: Cattle;Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes);Threatened SpeciCT Text Lookup: individuals|TI|MM;RC|1107^6^0;898^6^0;689^6^0;616^6^0;1188^12^0
40660759|*Anseriformes|C0325486|64690|MH|RtM via: Anseriformes;RtM via: Anhima cornuta;RtM via: Genus Chauna (organism);checkForceMH Boosted;Forced Non-Leaf Node Lookup:anseriformes|TI|MM;RC|1188^12^0;839^15^0;40^14^0;23^15^0;761^9^0;509^9^0;453^9^0
40660759|*Wetlands|C1721088|62953|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM;RC|878^7^0;165^7^0;969^7^0
40660759|*Seasons|C0036497|51790|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|752^7^0;432^7^0
40660759|*Threatened Species|C2717883|44926|ET|Entry Term Replacement for "Endangered Species";RtM via: Threatened Species;checkForceMH Boosted|TI|MM|1177^10^1;1201^7^1
40660759|*Farms|C0557759|34444|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farms|TI|MM|586^5^0
40660759|*Censuses|C0007663|30187|MH|RtM via: Censuses;Forced Leaf Node Lookup:censuses|TI|MM|272^8^0
40660759|Ecuador|C0013593|14650|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|1212^7^0;221^7^0
40660759|*Habitat|C0871648|70245|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|933^7^0;118^7^0
40660759|*Ecology|C0013546|41241|MH|RtM via: Ecology|TI|MM|192^8^0
40660759|*Agriculture|C0001829|23082|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM;RC|1081^11^0;593^11^0
40660759|*Ranchers|C4046083|11691|ET|Entry Term Replacement for "Farmers";RtM via: Ranchers|TI|MM|1114^8^0;623^8^0
40660759|*Survey|C0038951|501|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|353^6^0
40660760|Female|C0086287|10615|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|420^7^0
40660760|Male|C0086582|10615|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|364^5^0
40660760|Animals|C0003062|10615|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks)||MM;RC
40660760|*Lakes|C0337049|9615|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|803^3^0;208^5^0
40660760|Texas|C0039711|1341|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|243^5^0
40660760|*Seasons|C0036497|4854|MH|RtM via: Winter|TI|MM;RC|154^9^0
40660760|*Habitat|C0871648|3807|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|1510^7^0;96^7^0
40660760|*Ducks|C0013268|3753|MH|RtM via: Anas acuta|TI|MM;RC|1332^7^0;1095^7^0;727^8^0;183^10^0;164^17^0
40660761|Male|C0086582|56045|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|76^4^0;834^5^0;657^4^0;863^4^0;1264^4^0
40660761|Female|C0086287|56045|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|85^6^0;561^7^0;445^6^0;1010^6^0;1086^6^0;1455^6^0;1507^6^0
40660761|*Seasons|C0036497|55045|MH|RtM via: Seasonal Variation;RtM via: Autumn;RtM via: Winter;RtM via: spring (season);Forced Leaf Node Lookup:seasonal variations|TI|MM;RC|250^18^0;1437^4^0;690^4^0;490^4^0;1520^6^0;1445^6^0;698^6^0;498^6^0;401^9^0;154^9^0;1530^6^0;1228^6^0;1040^6^0;907^6^0;847^6^0;749^6^0;609^6^0;207^6^0
40660761|*Lipids|C0023779|13021|MH|RtM via: Lipids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lipids|TI|MM;RC|817^5^0;639^5^0;581^6^0;427^5^0;41^5^0
40660761|Texas|C0039711|9847|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|181^5^0
40660761|*Gastrointestinal Microbiome|C4018878|9835|MH|Forced Leaf Node Lookup:gut|TI|MM|346^3^0;1246^3^0
40660761|*Intestine, Large|C0021851|38634|MH|RtM via: Large Intestine;Forced Non-Leaf Node Lookup:large intestine|TI|MM|1375^15^0
40660761|*Food|C0016452|32712|MH|RtM via: Food|TI|MM;RC|1052^4^0
40660761|*Cecum|C0007531|21051|MH|RtM via: Cecum|TI|MM|1364^5^0
40660761|*Nutrients|C0678695|20682|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1126^9^0
40660761|*Intestine, Small|C0021852|9234|MH|RtM via: Intestines, Small;Forced Non-Leaf Node Lookup:small intestines|TI|MM|1464^15^0;1347^15^0
40660762|Animals|C0003062|257563|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
40660762|*Salix|C0995181|256563|MH|RtM via: Willow;RtM via: Salicin extract;Forced Leaf Node Lookup:willows;Forced Leaf Node Lookup:salix;checkForceMH Boosted|TI|MM|527^5^0;519^6^0
40660762|*Typhaceae|C0997273|189276|MH|RtM via: Typha;RtM via: Typha latifolia;Forced Leaf Node Lookup:cattails;Forced Leaf Node Lookup:typhas;checkForceMH Boosted|TI|MM|489^7^0;498^15^0
40660762|*Populus|C0522458|171468|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;RtM via: Populus tremuloides;Forced Leaf Node Lookup:cottonwoods;Forced Leaf Node Lookup:populus;checkForceMH Boosted|TI|MM|756^10^0;768^7^0;731^19^0;716^13^0
40660762|*Carex Plant|C1000671|139369|MH|RtM via: Carex Genus;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|463^5^0;455^6^0
40660762|*Potentilla|C1001236|90603|MH|RtM via: Potentilla;Forced Leaf Node Lookup:cinquefoils;Forced Leaf Node Lookup:potentillas;checkForceMH Boosted|TI|MM|623^10^0;635^10^0
40660762|*Grasses|C0018210|67070|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM|693^7^0
40660762|palustrine|C0389636|62681|NM|RtM via: palustrine;Forced SCR Leaf Node Lookup:palustrine|TI|MM|1570^10^0;380^10^0;236^10^0
40660762|*Artemisia|C0331308|53105|MH|RtM via: Artemisia (plant);RtM via: Artemisia spinescens;RtM via: Artemisia tridentata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|606^9^0;595^9^0
40660762|*Wetlands|C1721088|50495|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|1594^8^0
40660762|*Water|C0043047|31925|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1380^5^0;1339^5^0;1286^5^0;788^5^0
40660762|Idaho|C0020787|26540|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|297^5^0
40660762|*Alkaloids|C0002062|62680|HM|RtM via: palustrine|TI|MM|1570^10^0;380^10^0;236^10^0
40660762|*Birds|C0005595|24468|MH|RtM via: Family Gruidae;RtM via: Grus canadensis;RtM via: Grus canadensis tabida|TI|MM;RC|1552^6^0;191^15^0;59^23^0;84^22^0
40660762|*Ecology|C0013546|15924|MH|RtM via: Ecology|TI|MM|180^7^0
40660762|*Breeding|C0006159|9243|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|50^8^0
40660763|Animals|C0003062|71695|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
40660763|*Clutch Size|C1568397|50774|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM|1120^11^0
40660763|*Trees|C0040811|27420|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1424^4^0;1038^4^0;842^5^0;727^4^0;629^5^0;614^4^0;428^5^0;390^4^0;273^5^0
40660763|Republic of Korea|C0022773|9713|MH|RtM via: Korea;Forced Leaf Node Lookup:korea|TI|MM;RC|239^5^0
40660763|*Birds|C0005595|70695|MH|RtM via: Heron (bird);RtM via: Egret (organism);RtM via: Family Ardeidae (organism);RtM via: Nycticorax nycticorax;RtM via: Ardea cinerea;RtM via: Egretta garzetta|TI|MM;RC|1331^6^0;1167^6^0;1342^6^0;1178^6^0;1186^26^0;921^26^0;641^26^0;550^26^0;75^26^0;102^21^0;458^12^0;952^11^0;672^11^0;172^13^0;160^11^0;984^13^0;475^13^0;139^16^0;125^13^0
40660763|*Reproduction|C0035150|22308|MH|RtM via: Reproduction|TI|MM;RC|1368^12^0;51^12^0
40660764|Female|C0086287|34959|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|404^7^0;517^6^0;561^6^0;777^6^0;928^6^0
40660764|Male|C0086582|34959|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|417^5^0;449^4^0;552^4^0
40660764|Humans|C0086418|1000|CT|Forced Humans: Siblings||MM
40660764|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248 (Bird)||MM
40660764|*Ankle|C0003086|33959|MH|RtM via: Ankle;Forced Leaf Node Lookup:tarsus|TI|MM|504^6^0
40660764|*Siblings|C0037047|26933|MH|RtM via: Sibling;Forced Leaf Node Lookup:siblings|TI|MM|935^8^0
40660764|Weyers acrofacial dysostosis|C0457013|30511|NM|RtM via: Weyers acrofacial dysostosis|TI|MM|150^6^0
40660764|*Limb Deformities, Congenital|C0206762|30510|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|150^6^0
40660764|*Tooth Abnormalities|C0040427|27432|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|150^6^0
40660764|*Tarsal Bones|C0039316|22596|MH|RtM via: Tarsal Bones|TI|MM|504^6^0
40660764|*Abnormalities, Multiple|C0000772|21366|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|150^6^0
40660764|*Bird|C0005595|18861|ET|Entry Term Replacement for "Birds";RtM via: Aves;RtM via: Eudocimus albus;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|157^4^0;275^10^0;179^15^0;167^10^0
40660764|*Breeding|C0006159|3579|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|330^8^0
40660765|Animals|C0003062|12592|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens)||MM;RC
40660765|*Theft|C0039751|3232|MH|RtM via: Theft;Forced Leaf Node Lookup:thefts|TI|MM|381^5^0;49^5^0
40660765|Poland|C0032356|1180|MH|RtM via: Country of Poland;Forced Leaf Node Lookup:poland|TI|MM;RC|197^6^0
40660765|*Food|C0016452|2376|MH|RtM via: Food|TI|MM|376^4^0;44^4^0
40660765|*Record|C0034869|1890|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|300^8^0
40660765|*Chickens|C0008051|1773|MH|RtM via: Young chicken|TI|MM|84^6^0
40660766|Female|C0086287|15268|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|379^6^0;665^7^0
40660766|Male|C0086582|15268|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|366^4^0;655^5^0
40660766|Humans|C0086418|15268|CT|Lookup: Aged Rule||MM
40660766|Adolescent|C0205653|15268|CT|RtM via: Juvenile|TI|MM|570^8^0;68^8^0
40660766|*Rivers|C0337050|5034|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|151^5^0
40660766|Alaska|C0001905|1866|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|261^6^0;173^6^0
40660766|*Seasons|C0036497|6636|MH|RtM via: Autumn;RtM via: Winter|TI|MM;RC|311^4^0;320^6^0
40660766|*Molting|C0282576|6045|MH|RtM via: Molting|TI|MM|512^4^0
40660766|*Genetics, Population|C0017404|2619|MH|RtM via: Genetics, Population;Forced Non-Leaf Node Lookup:population genetics|TI|MM|759^18^0
40660766|*Movements|C0026649|1686|ET|Entry Term Replacement for "Movement";RtM via: Movement|TI|MM;RC|727^9^0;124^9^0
40660767|Animals|C0003062|54574|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
40660767|Humans|C0086418|54574|CT|Patient Discharge;CT Treecode Lookup: E02.760 (Patient Discharge);Patient Discharge;CT Treecode LookCT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM
40660767|United States|C0041703|54574|CT|Forced Leaf Node Lookup:american|TI|MM;RC|323^8^0;649^8^0
40660767|*Lakes|C0337049|35872|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|1139^5^0;1084^5^0;64^5^0;1352^5^0
40660767|*Droughts|C0013140|21133|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|1000^7^0
40660767|*Patient Discharge|C0030685|12373|MH|RtM via: Patient Discharge;Forced Leaf Node Lookup:discharge|TI|MM|1333^9^0
40660767|*Transients and Migrants|C0040705|12346|MH|RtM via: Migrants;Forced Leaf Node Lookup:migrants|TI|MM|490^7^0
40660767|*Charadriiformes|C0325773|53574|MH|RtM via: Tringa flavipes;RtM via: Phalaropus tricolor;RtM via: Recurvirostra americana;RtM via: Calidris minutilla|TI|MM;RC|691^17^0;453^17^0;472^15^0;666^19^0;427^19^0;406^19^0;649^15^0;323^16^0;341^23^0;593^16^0;385^18^0;367^16^0
40660767|*Habitats|C0871648|38370|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1158^8^0
40660767|*Diets|C0012155|28860|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|268^5^0
40660767|*Natural Springs|C3179043|25551|MH|RtM via: Natural Springs|TI|MM|1313^7^0;1033^7^0
40660767|*Nutrient|C0678695|18714|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1194^8^0
40660767|North America|C0028405|252|MH|RtM via: North America|TI|MM|985^13^0
40660768|Animals|C0003062|69751|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes);CT Text Lookup: fish|TI|MM;RC|859^4^0
40660768|*Diving|C0012823|46268|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM;RC|1045^6^0;1105^6^0;487^4^0;280^4^0;38^6^0
40660768|Brazil|C0006137|7892|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|118^6^0
40660768|*Birds|C0005595|68751|MH|RtM via: Aves;RtM via: Genus Podicephorus;RtM via: Podicephorus major;RtM via: Podiceps major;RtM via: Family Podicipedidae (organism);Forced Non-Leaf Node Lookup:seabirds|TI|MM;RC|193^5^0;74^12^0;61^11^0;1276^6^0;1035^8^0
40660768|*Fishes|C0016163|44421|MH|RtM via: Fishes|TI|MM;RC|859^4^0
40660768|*Perciformes|C0030983|6246|MH|RtM via: Genyonemus lineatus;RtM via: Micropogonias furnieri;Forced Non-Leaf Node Lookup:croakers|TI|MM|798^13^0;813^22^0;804^7^0
40660768|*Record|C0034869|5172|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|231^8^0
40660769|Animals|C0003062|32771|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
40660769|*Diving|C0012823|31771|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM;RC|508^6^0;554^4^0
40660769|*Droughts|C0013140|21016|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|62^7^0
40660769|*Water|C0043047|19978|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|646^5^0
40660769|*Lakes|C0337049|13039|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|280^4^0
40660769|*Birds|C0005595|8094|MH|RtM via: Poliocephalus poliocephalus;RtM via: Tachybaptus novaehollandiae;RtM via: Family Podicipedidae (organism)|TI|MM;RC|308^19^0;159^27^0;695^12^1;715^6^1;375^12^1;395^6^1;192^12^1;212^6^1;220^27^0;470^6^0
40660769|*Seasons|C0036497|4524|MH|RtM via: spring (season)|TI|MM;RC|32^6^0
40660769|*Heads|C0018670|417|ET|Entry Term Replacement for "Head";RtM via: Head|TI|MM|151^6^0
40660769|Australia|C0004340|1000|MH|Forced Non-Leaf Node Lookup:australia||MM|297^9^0
40660769|South Australia|C0037715|159|MH|RtM via: South Australia|TI|MM|288^18^0
40660770|Animals|C0003062|103805|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|716^4^0
40660770|*Wetlands|C1721088|102805|MH|RtM via: Marshes;RtM via: Wetlands;Forced Leaf Node Lookup:wetlands;Forced Leaf Node Lookup:marshes|TI|MM;RC|741^7^0;992^7^0
40660770|*Ponds|C0337048|40244|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|731^5^0
40660770|Bermuda|C0005126|12437|MH|RtM via: Bermuda;Forced Leaf Node Lookup:bermuda|TI|MM|905^7^0;698^7^0;528^7^0;396^7^0;132^7^0
40660770|*Habitat|C0871648|56649|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1043^7^0
40660770|*Birds|C0005595|36528|MH|RtM via: Butorides virescens;RtM via: Heron (bird)|TI|MM;RC|934^11^0;883^17^0;682^12^0;374^11^0;231^11^0;77^19^0;64^11^0;876^5^0
40660770|*Islands|C0022130|28476|MH|RtM via: Islands|TI|MM|343^7^0;121^7^0
40660770|*Fishes|C0016163|17673|MH|RtM via: Fishes|TI|MM|716^4^0
40660770|*Government|C0018104|1476|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|967^10^0
40660771|Animals|C0003062|65074|CT|Feathers;CT Treecode Lookup: A13.370 (Feathers);Passeriformes;CT Treecode Lookup: B01.050.150.900.248 (Passeriformes);Songbirds;CT Treecode Lookup: B01.050.150.900.248 (Songbirds);CT Text Lookup: feathers;CT Text Lookup: wing|TI|MM;RC|251^8^0;865^5^0
40660771|*Feathers|C0015731|64074|MH|RtM via: Feathers;RtM via: Entire feather;Forced Leaf Node Lookup:feathers|TI|MM;RC|1333^8^0;901^8^0;715^7^0;740^9^0;251^8^0;331^8^0;946^8^0;982^8^0;1044^8^0;1152^8^0
40660771|*Diving|C0012823|7269|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM|635^6^0
40660771|*Passeriformes|C0600537|22791|MH|RtM via: Cinclidae;RtM via: Dipper (bird);RtM via: Genus Cinclus (organism);RtM via: Eurasian dipper|TI|MM;RC|642^7^0;453^7^0;1220^6^0;917^6^0;522^6^0;214^6^0;96^15^0;65^8^1;89^6^1
40660771|*Neck|C0027530|18039|MH|RtM via: Throat;RtM via: Anterior portion of neck|TI|MM|80^8^0
40660771|*Head|C0018670|16008|MH|RtM via: Head|TI|MM|809^4^0
40660771|*Songbirds|C0600538|7629|MH|RtM via: Turdus merula|TI|MM;RC|1295^10^0;1085^10^0;767^10^0;564^10^0;277^10^0;149^10^0;160^13^0
40660772|Animals|C0003062|41258|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
40660772|*Paternity|C0030655|40258|MH|RtM via: Paternity testing;Forced Leaf Node Lookup:paternity|TI|MM;RC|250^3^0;162^9^0
40660772|*Life History Traits|C4277617|10375|MH|RtM via: Life History Traits;Forced Leaf Node Lookup:life history traits|TI|MM|193^19^0
40660772|*Minisatellite Repeats|C0242827|7528|MH|RtM via: Minisatellite Repeats;Forced Leaf Node Lookup:minisatellites|TI|MM|366^13^0
40660772|*Genetic Markers|C0017393|6220|MH|RtM via: Markers, DNA;Forced Leaf Node Lookup:dna markers|TI|MM|380^11^0
40660772|*Islands|C0022130|15288|MH|RtM via: Islands|TI|MM;RC|314^6^0
40660772|*Birds|C0005595|11694|MH|RtM via: Red-footed booby;RtM via: Sulidae;Forced Non-Leaf Node Lookup:seabirds|TI|MM;RC|275^18^0;21^18^0;41^9^0;66^14^0;216^8^0
40660772|*Family Relations|C0015608|2490|MH|RtM via: Role of father|TI|MM|250^3^0;162^9^0
40660772|*Chromosome Structures|C0729606|1275|MH|RtM via: Chromosome band|TI|MM|397^4^0
40660773|Animals|C0003062|14248|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
40660773|*Altitude|C0002349|5947|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|2001^8^0
40660773|*Uncertainty|C0087130|4342|MH|RtM via: Uncertainty;Forced Leaf Node Lookup:uncertainty|TI|MM|326^11^0
40660773|*Water|C0043047|3307|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1952^5^0
40660773|*Temperature|C0039476|2323|MH|Forced Leaf Node Lookup:temperatures|TI|MM;RC|2126^11^0
40660773|Canada|C0006823|2083|MH|RtM via: Canadian;Forced Leaf Node Lookup:canadian;Geo Lookup:canadians|TI;AB|MM|885^8^0;434^8^0
40660773|*Bird|C0005595|13248|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|1154^4^0;711^4^0
40660773|Arctic Regions|C0003740|7362|MH|RtM via: Arctic Regions|TI|MM;RC|894^6^0;443^6^0
