C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\tranamermicrsoci\input.txt
10.2307/3224628|Animals|C0003062|68320|CT|Animal Shells;CT Treecode Lookup: A13.080 (Animal Shells);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea)||MM;RC
10.2307/3226423|Animals|C0003062|46075|CT|Snails;CT Treecode Lookup: B01.050.500.644 (Snails);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda)||MM;RC
10.2307/3226423|*Snails|C0037378|45075|MH|RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM;RC|1012^6^0;697^6^0;552^6^0;447^6^0;304^6^0;223^6^0;622^6^0;786^6^0
10.2307/3226423|*Gametogenesis|C0017001|44019|MH|RtM via: Gametogenesis;Forced Non-Leaf Node Lookup:gametogenesis|TI|MM|370^13^0
10.2307/3226423|*Trematoda|C0040818|42330|MH|RtM via: Class Trematoda larva;Forced Non-Leaf Node Lookup:trematodes|TI|MM;RC|128^17^0;135^10^0
10.2307/3226423|*Gonads|C0018067|35520|MH|RtM via: Gonadal structure;Forced Non-Leaf Node Lookup:gonads|TI|MM;RC|932^7^0;669^7^0;528^6^0;424^6^0;281^6^0;209^6^0;61^6^0;808^6^0
10.2307/3226423|*Gametes|C2718310|12384|ET|Entry Term Replacement for "Germ Cells";RtM via: Gametes;RtM via: Germ Cells;RtM via: Gamete form of protozoa;Forced Non-Leaf Node Lookup:gametes|TI|MM|955^7^0;858^7^0;830^7^0;510^7^0;476^7^0
10.2307/3226423|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infections||MM|247^10^0
10.2307/3226424|Female|C0086287|23590|CT|Forced Animals Lookup:hen|TI|MM;RC|245^3^0
10.2307/3226424|Animals|C0003062|23590|CT|Forced Animals Lookup:hen;Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);CT Text Lookup: chick embryo|TI|MM;RC|245^3^0;269^12^0
10.2307/3226424|Chick Embryo|C0008046|23590|CT|Forced Lookup:chick embryo;CT Text Lookup: chick embryo|TI|MM;RC|269^12^0
10.2307/3226424|*Egg Yolk|C0013707|1566|MH|Forced Leaf Node Lookup:egg yolks|TI|MM;RC|251^8^0
10.2307/3226424|*Chickens|C0008051|1466|MH|Forced Animals Lookup:hen|TI|MM|245^3^0
10.2307/3226424|*Trematoda|C0040818|22590|MH|RtM via: Alaria <Phaeophyceae>;RtM via: Alaria <trematode>;RtM via: Alaria arisaemoides|TI|MM;RC|327^6^0;79^19^0
10.2307/3226424|*Eggs|C0013710|1581|MH|RtM via: Hen's egg|TI|MM|245^9^0
10.2307/3226424|*Phaeophyta|C0002031|1488|MH|RtM via: Alaria <Phaeophyceae>;RtM via: Alaria <trematode>;RtM via: Alaria arisaemoides|TI|MM|327^6^0;79^19^0
10.2307/3226424|*Dietary Supplements|C0242295|1431|MH|RtM via: Dietary Supplements|TI|MM|657^11^0;187^12^0
10.2307/3226424|*Lipids|C0023779|603|MH|RtM via: Lipids;Forced Non-Leaf Node Lookup:lipids|TI|MM|723^5^0
10.2307/3226424|Plant Extracts|C0032081|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM|282^7^0
10.2307/3226425|Texas|C0039711|1007|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|139^5^0
10.2307/3226425|*Marital Status|C0024819|4644|MH|RtM via: Legally Separated|TI|MM|284^9^0
10.2307/3226425|*Cytoskeleton|C0010853|3519|MH|RtM via: Cytoskeletal Filaments|TI|MM|237^9^0
10.2307/3226425|*Chlorophyceae|C0175807|1941|MH|RtM via: Sphaeroplea;RtM via: Sphaeroplea robusta;RtM via: Sphaeropleaceae|TI|MM|168^11^0;319^19^0;28^19^0;70^15^0
10.2307/3226425|*Social Problems|C0037431|1797|MH|RtM via: Legally Separated|TI|MM|284^9^0
10.2307/3226426|*Magnesium|C0024467|218468|MH|RtM via: Magnesium;RtM via: Dietary Magnesium;Forced Leaf Node Lookup:magnesium;checkForceMH Boosted|TI|MM;RC|381^9^0
10.2307/3226426|*Sodium|C0037473|199270|MH|RtM via: Sodium;RtM via: Sodium Cation;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sodium|TI|MM;RC|843^6^0;358^6^0
10.2307/3226426|*Phytoplankton|C0031865|170233|MH|RtM via: Phytoplankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytoplankton|TI|MM;RC|1100^13^0
10.2307/3226426|*Potassium|C0032821|165178|MH|RtM via: Potassium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:potassium|TI|MM;RC|366^9^0;854^9^0
10.2307/3226426|*Orthophosphate|C0029356|129892|ET|Entry Term Replacement for "Phosphates";RtM via: Orthophosphate;checkForceMH Boosted|TI|MM;RC|285^14^0
10.2307/3226426|*Wetlands|C1721088|129305|MH|RtM via: Marshes;Forced Leaf Node Lookup:marshes|TI|MM|1288^7^0;66^5^0
10.2307/3226426|*Chlorophyceae|C0175807|125015|MH|RtM via: Chlorophyceae;Forced Leaf Node Lookup:chlorophyceae;checkForceMH Boosted|TI|MM|749^13^0;461^13^0
10.2307/3226426|*Ammonia|C0002607|122309|MH|RtM via: Ammonia;Forced Leaf Node Lookup:ammonia;checkForceMH Boosted|TI|MM|334^7^0
10.2307/3226426|*Nitrogen|C0028158|119773|MH|RtM via: Nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|1186^8^0;307^8^0
10.2307/3226426|*Phosphorus|C0031705|107146|MH|RtM via: Phosphorus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phosphorus|TI|MM|1215^11^0;273^10^0
10.2307/3226426|*Nitrites|C0028137|97898|MH|Forced Leaf Node Lookup:nitrites;checkForceMH Boosted|TI|MM|325^7^0
10.2307/3226426|*Temperature|C0039476|88069|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|235^11^0
10.2307/3226426|*Chrysophyceae|C0996288|78877|ET|Entry Term Replacement for "Chrysophyta";RtM via: Chrysophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chrysophyceae|TI|MM|479^13^0
10.2307/3226426|*Iron|C0302583|74293|MH|RtM via: Iron;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iron|TI|MM|343^4^0
10.2307/3226426|*Water|C0043047|66469|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1047^5^0;913^5^0;248^5^0
10.2307/3226426|*Chlamydomonas|C0008155|53731|MH|RtM via: Chlamydomonas angulosa;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chlamydomonas|TI|MM|819^22^0
10.2307/3226426|Florida|C0016253|48961|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|97^7^0
10.2307/3226426|*Cyanophyceae|C1047211|59358|ET|Entry Term Replacement for "Cyanobacteria";RtM via: Cyanobacteria;RtM via: Class Cyanophyceae;Forced Non-Leaf Node Lookup:cyanophyceae|TI|MM;RC|444^12^0
10.2307/3226427|*Rotation|C0035868|1395|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|265^8^0
10.2307/3226427|*Plankton|C0032071|1104|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM|627^8^0
10.2307/3226427|*Biometry|C0005544|7344|MH|RtM via: Biometry;RtM via: Biometry and Biostatistics (occupation or discipline);Forced Non-Leaf Node Lookup:biometry|TI|MM;RC|615^8^0
10.2307/3226427|*Microcomputer|C0025971|7320|ET|Entry Term Replacement for "Microcomputers";RtM via: Microcomputers;Forced Non-Leaf Node Lookup:microcomputers|TI|MM;RC|355^13^0
10.2307/3226427|*Microscopy|C0026018|3516|MH|RtM via: Microscopes|TI|MM;RC|191^10^0
10.2307/3226427|*Software|C0037585|1536|MH|RtM via: Application Program Interface|TI|MM;RC|337^10^0
10.2307/3226432|Female|C0086287|8612|CT|CT Text Lookup: female|TI|MM;RC|37^6^0;428^6^0
10.2307/3226432|Male|C0086582|8612|CT|CT Text Lookup: male|TI|MM;RC|28^4^0;373^4^0
10.2307/3226432|Animals|C0003062|8612|CT|Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea);Swallows;CT Treecode Lookup: B01.050.150.900.248 (Swallows)||MM;RC
10.2307/3226432|*Rivers|C0337050|7612|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|175^5^0
10.2307/3226432|Colorado|C0009399|5929|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|182^8^0
10.2307/3226432|*Groundwater|C0596631|7482|MH|RtM via: Groundwater;Forced Non-Leaf Node Lookup:groundwaters|TI|MM|117^11^0
10.2307/3226432|*Crustacea|C0010395|4176|MH|RtM via: Bathynellacea|TI|MM;RC|678^13^0;44^10^0
10.2307/3226432|*Swallows|C0326374|447|MH|RtM via: Genus Riparia|TI|MM|610^7^0;55^7^0
10.2307/3226432|*Records|C0034869|132|MH|RtM via: Records|TI|MM|667^7^0
10.2307/3226432|*Habits|C0018464|39|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|597^6^0
10.2307/3226433|Animals|C0003062|12139|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/3226433|*Rivers|C0337050|10622|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|165^5^0
10.2307/3226433|Colorado|C0009399|1424|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|172^8^0
10.2307/3226433|*Habitats|C0871648|11139|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|264^8^0
10.2307/3226433|*Copepoda|C0323853|10287|MH|RtM via: Acanthocyclops;RtM via: Microcyclops|TI|MM;RC|28^14^0;65^12^0
10.2307/3226433|*Spine|C0037949|771|MH|RtM via: Vertebral column|TI|MM|413^6^0
10.2307/3226434|Animals|C0003062|72901|CT|Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton);Daphnia;CT Treecode Lookup: B01.050.500.131 (Daphnia);Siphonaptera;CT Treecode Lookup: B01.050.500.131 (Siphonaptera);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|531^7^0
10.2307/3226434|*Zooplankton|C0043530|71901|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM;RC|366^11^0;37^11^0
10.2307/3226434|*Daphnia|C0010979|37524|MH|RtM via: Daphnia;Forced Leaf Node Lookup:daphnias;checkForceMH Boosted|TI|MM;RC|486^7^0;165^7^0
10.2307/3226434|*Lakes|C0337049|27345|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|1119^4^0;151^4^0
10.2307/3226434|*Pulicaria|C1019537|22761|MH|RtM via: Pulicaria;Forced Leaf Node Lookup:pulicarias;checkForceMH Boosted|TI|MM|1201^9^0;1040^9^0
10.2307/3226434|Michigan|C0025939|5910|MH|RtM via: Michigan (geographic location);Forced Leaf Node Lookup:michigan|TI|MM;RC|1124^8^0;156^8^0
10.2307/3226434|*Head|C0018670|1830|MH|RtM via: Head|TI|MM|687^4^0
10.2307/3226434|*Seasons|C0036497|1371|MH|RtM via: Autumn;RtM via: Summer|TI|MM|264^6^0;1133^6^0;479^6^0
10.2307/3226434|*Spine|C0037949|855|MH|RtM via: Vertebral column|TI|MM|673^5^0
10.2307/3226434|*Siphonaptera|C0016228|339|MH|RtM via: Pulex|TI|MM|858^5^0;314^5^0
10.2307/3226435|*Chlortetracycline|C0008293|94570|MH|RtM via: Chlortetracycline;Forced Leaf Node Lookup:chlortetracycline;checkForceMH Boosted|TI|MM|518^17^0
10.2307/3226435|*Fluorescence|C0016315|25994|MH|RtM via: Fluorescence;Forced Leaf Node Lookup:fluorescence|TI|MM|760^12^0
10.2307/3226435|*Electrons|C0013852|13274|MH|Forced Leaf Node Lookup:electrons|TI|MM|641^8^0
10.2307/3226435|*Tetracycline|C0039644|106656|MH|RtM via: Tetracycline;RtM via: tetracycline hydrochloride|TI|MM;RC|845^12^0;793^12^0;195^12^0;498^16^0
10.2307/3226435|calcium phosphate|C0006711|40528|NM|RtM via: calcium phosphate|TI|MM|259^17^0
10.2307/3226435|*Calcium Phosphates|C0006712|40527|MH|RtM via: Calcium Phosphates;RtM via: calcium phosphate;Forced Non-Leaf Node Lookup:calcium phosphates|TI|MM|259^17^0
10.2307/3226435|*Calcification, Physiologic|C0006660|39726|MH|RtM via: Physiologic calcification|TI|MM|28^13^0
10.2307/3226435|*Fluorescence Microscopy|C0026022|23058|ET|Entry Term Replacement for "Microscopy, Fluorescence";RtM via: Microscopy, Fluorescence;Forced Non-Leaf Node Lookup:fluorescence microscopy|TI|MM;RC|105^23^0
10.2307/3226435|*Seawater|C0036499|4518|MH|RtM via: Seawater;Forced Non-Leaf Node Lookup:seawaters|TI|MM|173^8^0
10.2307/3226436|Animals|C0003062|140620|CT|Hemocytes;CT Treecode Lookup: A11.118.480 (Hemocytes);Hemocytes;CT Treecode Lookup: A15.145.229.480 (Hemocytes);Mercenaria;CT Treecode Lookup: B01.050.500.644 (Mercenaria)||MM;RC
10.2307/3226436|*Glucuronidase|C0017776|139620|MH|RtM via: Beta-glucuronidase;RtM via: Beta-Glucuronidase, human;Forced Leaf Node Lookup:beta-glucuronidase;Forced Leaf Node Lookup:glucuronidase;checkForceMH Boosted|TI|MM;RC|652^18^0;416^18^0;72^4^1;78^13^1
10.2307/3226436|*Hydrolases|C0020289|118744|MH|RtM via: Hydrolase;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hydrolases|TI|MM;RC|353^10^0
10.2307/3226436|*Acetylglucosaminidase|C0001057|75638|MH|RtM via: Beta-N-Acetylglucosaminidase;Forced Leaf Node Lookup:beta-n-acetylglucosaminidase;checkForceMH Boosted|TI|MM;RC|93^28^0
10.2307/3226436|*Esterases|C0014894|60610|MH|RtM via: Esterases;checkForceMH Boosted;Forced Non-Leaf Node Lookup:esterases|TI|MM;RC|444^9^0;166^9^0;578^9^0
10.2307/3226436|*Acid Phosphatase|C0001109|56659|MH|RtM via: Acid Phosphatase;checkForceMH Boosted;Forced Non-Leaf Node Lookup:acid phosphatase|TI|MM;RC|631^16^0;398^16^0;54^16^0
10.2307/3226436|*Haptophyta|C0996291|44927|MH|RtM via: Isochrysis galbana;Forced Leaf Node Lookup:isochrysis;checkForceMH Boosted|TI|MM|322^18^0
10.2307/3226436|*Hemocytes|C0019000|29617|MH|RtM via: Hemocytes (cell);Forced Leaf Node Lookup:hemocytes|TI|MM|224^9^0
10.2307/3226436|*Mercenaria|C0998165|23731|MH|RtM via: Mercenaria mercenaria;Forced Leaf Node Lookup:mercenarias|TI|MM|237^21^0;248^10^0
10.2307/3226436|*Dinoflagellate|C0012470|22951|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM|307^14^0
10.2307/3226436|acid beta-galactosidase|C0243693|96493|NM|RtM via: acid beta-galactosidase|TI|MM|504^23^0;123^23^0
10.2307/3226436|*beta-Galactosidase|C0005220|96492|MH|RtM via: GLB1 protein, human;RtM via: acid beta-galactosidase;Forced Non-Leaf Node Lookup:beta-galactosidases|TI|MM|504^23^0;123^23^0;128^18^0;509^18^0
10.2307/3226436|GLB1 protein, human|C1256865|76027|NM|RtM via: GLB1 protein, human|TI|MM|504^23^0;123^23^0
10.2307/3226436|*Cytoplasmic Granules|C0010837|49392|MH|RtM via: Cytoplasmic Granules;Forced Non-Leaf Node Lookup:cytoplasmic granules|TI|MM;RC|482^20^0
10.2307/3226436|*Phagosomes|C0031310|38574|MH|RtM via: Phagosomes;Forced Non-Leaf Node Lookup:phagosomes|TI|MM|613^10^0
10.2307/3226436|*Phagocytosis|C0031308|14046|MH|RtM via: Phagocytosis;Forced Non-Leaf Node Lookup:phagocytosis|TI|MM|745^12^0
10.2307/3226438|Animals|C0003062|216289|CT|Metacercariae;CT Treecode Lookup: B05.500 (Metacercariae);Metacercariae;CT Treecode Lookup: G07.345.500.550.500 (Metacercariae);Snails;CT Treecode Lookup: B01.050.500.644 (Snails);Gastropod;CT Treecode Lookup: B01.050.500.644 (Gastropod);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Life Cycle;CT Treecode Lookup: B05.500 (Life Cycle);Life Cycle;CT Treecode Lookup: G07.345.500.550.500 (Life Cycle)||MM;RC
10.2307/3226438|Female|C0086287|216289|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|763^7^0
10.2307/3226438|*Metacercariae|C2936402|215289|MH|RtM via: Metacercariae;checkForceMH Boosted|TI|MM;RC|498^12^0;303^12^0;148^12^0;165^13^0;28^12^0
10.2307/3226438|*Parasites|C0030498|54654|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|522^9^0;366^8^0
10.2307/3226438|*Alcian Blue|C0001933|46110|MH|RtM via: Alcian Blue;Forced Leaf Node Lookup:alcian blue;checkForceMH Boosted|TI|MM|272^11^0
10.2307/3226438|*Tolonium Chloride|C0040380|33279|MH|RtM via: Tolonium chloride;Forced Leaf Node Lookup:toluidine blue;checkForceMH Boosted|TI|MM|253^14^0
10.2307/3226438|New York|C0027976|15717|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|703^8^0
10.2307/3226438|*Incidence|C0021149|15660|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM;RC|643^9^0
10.2307/3226438|*Snails|C0037378|59757|MH|RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM;RC|669^6^0;565^5^0
10.2307/3226438|*Life Cycle|C0023675|27912|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages|TI|MM;RC|802^10^0
10.2307/3226438|*Eggs|C0013710|4311|MH|RtM via: Egg Food Product|TI|MM|577^4^0
10.2307/3226438|*Vertebrate|C0042567|3573|ET|Entry Term Replacement for "Vertebrates";RtM via: Vertebrates;Forced Non-Leaf Node Lookup:vertebrates|TI|MM|823^10^0
10.2307/3226438|*Cyst|C0010709|819|ET|Entry Term Replacement for "Cysts";RtM via: Cyst;Forced Non-Leaf Node Lookup:cyst|TI|MM|344^4^0;179^4^0;238^4^0
10.2307/3226438|*Staining|C0487602|498|ET|Entry Term Replacement for "Staining and Labeling";RtM via: Staining method;Forced Non-Leaf Node Lookup:stainings|TI|MM|199^8^0
10.2307/3226438|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|656^9^0
10.2307/3226439|Animals|C0003062|171358|CT|Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Heterophyidae;CT Treecode Lookup: B01.050.500.500 (Heterophyidae)||MM;RC
10.2307/3226439|Female|C0086287|171358|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|556^5^0
10.2307/3226439|Male|C0086582|171358|CT|Testis;CT Treecode Lookup: A05.360.444 (Testis);CT Text Lookup: testis|TI|MM;RC|596^6^0
10.2307/3226439|*Ovary|C0029939|36530|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovary|TI|MM|556^5^0
10.2307/3226439|*Testis|C0039597|30824|MH|RtM via: Testis;Forced Leaf Node Lookup:testis|TI|MM|596^6^0
10.2307/3226439|*Constriction|C0009813|12185|MH|RtM via: Constriction procedure;Forced Leaf Node Lookup:constrictions|TI|MM|425^12^0
10.2307/3226439|Texas|C0039711|12047|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM;RC|93^5^0
10.2307/3226439|*Trematoda|C0040818|170358|MH|RtM via: Trematoda;RtM via: Family Diplostomatidae;RtM via: Family Microphallidae;RtM via: Family Philophthalmidae;RtM via: Family Strigeidae;RtM via: Strigea strigis;RtM via: Mesoophorodiplostomum;Forced Non-Leaf Node Lookup:trematodes|TI|MM;RC|28^10^0;201^15^0;761^14^0;136^16^0;799^10^0;782^15^0;450^21^0;158^21^0
10.2307/3226439|*Gonads|C0018067|23631|MH|RtM via: Gonadal structure;Forced Non-Leaf Node Lookup:gonads|TI|MM|362^6^0
10.2307/3226439|*Heterophyidae|C0019419|21660|MH|RtM via: Ascocotyle;RtM via: Phagicola|TI|MM|646^10^0;668^9^0
10.2307/3226440|Animals|C0003062|174971|CT|Metacercariae;CT Treecode Lookup: B05.500 (Metacercariae);Metacercariae;CT Treecode Lookup: G07.345.500.550.500 (Metacercariae);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens)||MM;RC
10.2307/3226440|*Metacercariae|C2936402|173971|MH|RtM via: Metacercariae;Forced Leaf Node Lookup:metacercariae;checkForceMH Boosted|TI|MM|28^13^0
10.2307/3226440|*Yolk Sac|C0043425|33065|MH|RtM via: Yolk Sac;Forced Leaf Node Lookup:yolk sacs|TI|MM|418^8^0
10.2307/3226440|*Ectoderm|C0013574|20288|MH|RtM via: Ectoderm;Forced Leaf Node Lookup:ectoderms|TI|MM|672^8^0;562^8^0
10.2307/3226440|*Acetabulum|C0000962|13487|MH|RtM via: Bone structure of acetabulum;Forced Leaf Node Lookup:acetabulas|TI|MM|618^9^0;449^9^0
10.2307/3226440|*Trematoda|C0040818|49977|MH|RtM via: Trematoda;RtM via: Leucochloridiomorpha constantiae;Forced Non-Leaf Node Lookup:trematodas|TI|MM;RC|79^9^0;45^32^0
10.2307/3226440|*Chorion|C0008503|40503|MH|RtM via: Chorion;RtM via: Chorionic;Forced Non-Leaf Node Lookup:chorions|TI|MM;RC|662^9^0;552^9^0;382^7^0;404^9^0
10.2307/3226440|*Membranes, Extra-Embryonic|C1282701|38214|ET|Entry Term Replacement for "Extraembryonic Membranes";RtM via: Extraembryonic membranes;Forced Non-Leaf Node Lookup:extra-embryonic membranes|TI|MM;RC|133^25^0
10.2307/3226440|*Chickens|C0008051|8481|MH|RtM via: Young chicken|TI|MM;RC|127^5^0
10.2307/3226440|*Mesoderm|C0025485|3366|MH|RtM via: Mesoderm;Forced Non-Leaf Node Lookup:mesoderm|TI|MM|572^8^0
10.2307/3226440|*Formaldehyde|C0016564|51|MH|RtM via: Neutral buffered formalin;Forced Non-Leaf Node Lookup:formalin|TI|MM|288^25^0;305^8^0
10.2307/3226441|Animals|C0003062|62476|CT|Bufo marinus;CT Treecode Lookup: B01.050.150.900.090 (Bufo marinus);Ascaridida;CT Treecode Lookup: B01.050.500.500 (Ascaridida);Helminth;CT Treecode Lookup: B01.050.500.500 (Helminth);Anura;CT Treecode Lookup: B01.050.150.900.090 (Anura);Bufonidae;CT Treecode Lookup: B01.050.150.900.090 (Bufonidae)||MM;RC
10.2307/3226441|*Bufo marinus|C0006357|61476|MH|RtM via: Bufo marinus;Forced Leaf Node Lookup:bufo marinus;checkForceMH Boosted|TI|MM;RC|263^12^0
10.2307/3226441|Costa Rica|C0010182|6798|MH|RtM via: Costa Rica;Forced Leaf Node Lookup:costa rica|TI|MM;RC|104^10^0
10.2307/3226441|Mexico|C0025885|6507|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|299^6^0;93^6^0
10.2307/3226441|*Ascaridida|C0162604|43923|MH|RtM via: Cosmocercidae;RtM via: Aplectana|TI|MM;RC|52^13^0;28^9^0
10.2307/3226441|*Helminth|C0018893|24447|ET|Entry Term Replacement for "Helminths";RtM via: Helminths;Forced Non-Leaf Node Lookup:helminths|TI|MM;RC|207^8^0
10.2307/3226441|California|C0006754|12|MH|RtM via: California|TI|MM|190^10^0
10.2307/3226442|Animals|C0003062|99409|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda);Myxobolus;CT Treecode Lookup: B01.050.500.308 (Myxobolus);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Fundulidae;CT Treecode Lookup: B01.050.150.900.493 (Fundulidae);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Gills;CT Treecode Lookup: A13.421 (Gills);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);CT Text Lookup: fish;CT Text Lookup: gills|TI|MM;RC|795^4^0;89^5^0
10.2307/3226442|Female|C0086287|99409|CT|CT Text Lookup: female|TI|MM;RC|788^6^0
10.2307/3226442|Male|C0086582|99409|CT|CT Text Lookup: male|TI|MM;RC|779^4^0
10.2307/3226442|*Copepoda|C0323853|98409|MH|RtM via: Copepoda;RtM via: Lernaea cyprinacea;Forced Leaf Node Lookup:copepodas;checkForceMH Boosted|TI|MM;RC|247^8^0;256^18^0
10.2307/3226442|*Fundulidae|C0949589|67062|MH|RtM via: Fundulus;RtM via: Fundulus kansae;Forced Leaf Node Lookup:fundulus;checkForceMH Boosted|TI|MM;RC|870^8^0;601^8^0;206^8^0;98^15^0
10.2307/3226442|*Parasites|C0030498|59808|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM;RC|396^9^0;51^9^0
10.2307/3226442|*Gills|C0017558|49080|MH|RtM via: Gill structure;Forced Leaf Node Lookup:gills|TI|MM;RC|1068^5^0;89^5^0
10.2307/3226442|*Larvae|C0023047|26868|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted|TI|MM|276^6^0
10.2307/3226442|Nebraska|C0027523|16104|MH|RtM via: Nebraska (geographic location);Forced Leaf Node Lookup:nebraska|TI|MM;RC|117^8^0
10.2307/3226442|*Binomial Distribution|C0005463|16083|MH|RtM via: Negative Binomial Distribution;Forced Leaf Node Lookup:negative binomial distributions|TI|MM|666^30^0;503^30^0
10.2307/3226442|*Myxobolus|C0320993|84639|MH|RtM via: Myxobolus|TI|MM|136^8^0
10.2307/3226442|*Trematoda|C0040818|77988|MH|RtM via: Gyrodactylus;RtM via: Class Monogenea;RtM via: Urocleidus;Forced Non-Leaf Node Lookup:monogenea|TI|MM;RC|216^12^0;185^9^0;195^10^0
10.2307/3226442|*Oligohymenophorea|C0085334|12276|MH|RtM via: Scyphidia;RtM via: Trichodina sp.|TI|MM|454^9^0;170^9^0;719^13^0;154^13^0
10.2307/3226443|Humans|C0086418|20333|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|388^5^0
10.2307/3226443|*Rivers|C0337050|19333|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM|427^6^0
10.2307/3226443|*Pollutants|C0014417|5287|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted|TI|MM|120^8^0
10.2307/3226443|*Sodium Chloride, Dietary|C0206136|9426|MH|RtM via: Sodium Chloride, Dietary|TI|MM|115^4^0
10.2307/3226443|*Sodium Chloride|C0037494|9003|MH|RtM via: Sodium Chloride|TI|MM|115^4^0
10.2307/3226443|*Environmental Pollution|C0014419|3948|MH|RtM via: Pollution|TI|MM|120^8^0
10.2307/3226443|California|C0006754|2523|MH|RtM via: California;RtM via: Monterey County, CA;RtM via: Santa Cruz County, CA|TI|MM|358^10^0;228^10^0;341^15^0;209^17^0
10.2307/3226444|strong silver protein|C0075331|24198|NM|RtM via: strong silver protein;Forced SCR Leaf Node Lookup:protargol|TI|MM|363^9^0
10.2307/3226444|*Collodion|C0009356|10988|MH|RtM via: Nitrocellulose;Forced Leaf Node Lookup:nitrocellulose;checkForceMH Boosted|TI|MM;RC|50^14^0
