C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
3668563|*Wood|C0043217|35513|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|968^4^0;873^4^0;807^4^0;625^4^0;548^4^0;457^4^0;309^4^0;128^4^0;171^4^0;574^4^0;596^4^0;653^4^0
3668563|Japan|C0022341|28328|MH|RtM via: Japan;Forced Leaf Node Lookup:japan|TI|MM|279^5^0
3668563|Vasospasm, Intracranial|C0751895|164657|MH|||RC
3668563|Subarachnoid Hemorrhage|C0038525|104657|MH|||RC
3668563|*Forest|C0086312|7527|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|199^6^0
3668564|*Snow|C0037386|18003|MH|RtM via: snow - weather;RtM via: Snow (substance);Forced Leaf Node Lookup:snow|TI|MM|151^4^0
3668564|*Myxomycetes|C0027154|13461|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|646^11^0;31^11^0
3668564|Embolism|C0013922|33975|MH|||RC
3668564|Retinal Vessels|C0035330|31095|MH|||RC
3668564|*Geography|C0017447|4527|MH|RtM via: Geography;Forced Non-Leaf Node Lookup:geography|TI|MM|386^9^0
3668564|Mediterranean Region|C0282645|858|MH|RtM via: Mediterranean Region|TI|MM|321^20^0
3668565|*Myxomycetes|C0027154|48473|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|558^11^0
3668565|*Introduced Species|C2936532|42875|MH|RtM via: Introduced Species;checkForceMH Boosted|TI|MM|394^10^1;420^7^1
3668565|*Parks, Recreational|C0237771|28973|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|583^13^0;61^13^0
3668565|Spain|C0037747|23318|MH|RtM via: Canary Islands;RtM via: Gomera;Forced Leaf Node Lookup:canary islands|TI|MM|84^14^0;76^6^0
3668565|Optic Neuritis|C0029134|193937|MH|||RC
3668565|Evoked Potentials, Visual|C0015217|52576|MH|||RC
3668565|*Forest|C0086312|25404|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|361^6^0
3668566|Humans|C0086418|275558|CT|CT Text Lookup: individuals|TI|MM;RC|704^11^0
3668566|*Acid Rain|C0001111|116960|MH|RtM via: Acid Rain;Forced Leaf Node Lookup:acid rains;checkForceMH Boosted|TI|MM|214^9^0
3668566|*Trees|C0040811|110339|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|938^4^0;127^4^0
3668566|*Water|C0043047|69565|MH|RtM via: Water;checkForceMH Boosted|TI|MM|191^7^0
3668566|*Myxomycetes|C0027154|55333|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|822^11^0;644^11^0;256^11^0
3668566|Spain|C0037747|55186|MH|RtM via: Spain;Forced Leaf Node Lookup:spain|TI|MM|173^5^0
3668566|*Plant Bark|C0949119|53083|MH|Forced Leaf Node Lookup:bark|TI|MM|105^4^0;405^4^0;979^4^0
3668566|Levodopa|C0023570|274558|MH|||RC
3668566|Reaction Time|C0034746|203149|MH|||RC
3668566|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:acidification;Forced Non-Leaf Node Lookup:ph||MM|320^13^0;564^2^0;681^2^0;748^2^0;868^2^0;885^2^0
3668566|United Kingdom|C0041700|2103|MH|RtM via: United Kingdom|TI|MM|149^14^0
3668567|*Sulfur Dioxide|C0038777|109848|MH|RtM via: Sulfur Dioxide;Forced Leaf Node Lookup:sulphur dioxide;checkForceMH Boosted|TI|MM|291^15^0
3668567|*Carbon Monoxide|C0007018|101097|MH|RtM via: Carbon Monoxide;Forced Leaf Node Lookup:carbon monoxide;checkForceMH Boosted|TI|MM|389^15^0
3668567|*Lichens|C0023657|94578|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|705^6^0
3668567|*Plant Bark|C0949119|91665|MH|RtM via: Tree bark;Forced Leaf Node Lookup:tree barks;Forced Leaf Node Lookup:bark|TI|MM|449^10^0;65^4^0
3668567|*Trees|C0040811|91527|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|600^5^0;80^5^0
3668567|*Gardens|C4019428|57612|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|113^6^0
3668567|*Myxomycetes|C0027154|47865|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|557^11^0
3668567|*Pollutants|C0014417|46989|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted|TI|MM|173^8^0
3668567|Levodopa|C0023570|177421|MH|||RC
3668567|Motor Cortex|C0026607|90835|MH|||RC
3668567|*Nitrogen Oxides|C0028167|15309|MH|RtM via: Nitrogen Oxides;Forced Non-Leaf Node Lookup:nitrogen oxides|TI|MM|369^15^0
3668567|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|439^2^0
3668568|*Lichens|C0023657|98297|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|1217^7^0;1050^7^0;350^7^0
3668568|*Forestry|C0085081|76942|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1414^8^0
3668568|*Myxomycetes|C0027154|69469|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|1079^11^0;979^10^0;528^10^0;399^11^0;374^11^0;69^11^0
3668568|*Cost-Benefit Analysis|C0010174|45325|MH|RtM via: Cost Effectiveness;Forced Leaf Node Lookup:cost-effective|TI|MM|1354^14^0
3668568|*Plant Bark|C0949119|42586|MH|Forced Leaf Node Lookup:bark|TI|MM|440^4^0;865^4^0;1124^4^0;1275^4^0
3668568|Neuropsychological Tests|C0027902|109252|MH|||RC
3668568|Levodopa|C0023570|97196|MH|||RC
3668568|*Forest|C0086312|44463|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1495^6^0;274^6^0
3668568|*Habitat|C0871648|32778|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|793^7^0
3668568|*Biodiversity|C0282469|32214|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|1586^12^0;1392^12^0
3668568|China|C0008115|9|MH|RtM via: China|TI|MM|143^5^0
3668569|*Myxomycetes|C0027154|11843|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|39^11^0
3668569|Supranuclear Palsy, Progressive|C0038868|71634|MH|||RC
3668569|Muscle Rigidity|C0026837|28868|MH|||RC
3668569|China|C0008115|9|MH|RtM via: China|TI|MM|135^5^0
3668570|*Myxomycetes|C0027154|38065|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|65^11^0
3668570|*Sporangia|C0521047|21472|MH|RtM via: Sporangia;Forced Leaf Node Lookup:sporangia|TI|MM|708^9^0;466^10^0
3668570|Spinal Nerve Roots|C0037940|87233|MH|||RC
3668570|Evoked Potentials, Somatosensory|C0015216|68719|MH|||RC
3668570|*Nutrient|C0678695|1446|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|756^8^0
3668570|*Survey|C0038951|1191|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|22^6^0
3668570|*Habitats|C0871648|579|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|765^8^0
3668571|*Iridescence|C4042820|18233|MH|RtM via: Iridescence;Forced Leaf Node Lookup:iridescence|TI|MM|512^11^0
3668571|*Microscopy, Electron, Scanning|C0026020|18227|MH|Forced Leaf Node Lookup:scanning electron microscope|TI|MM|58^28^0
3668571|Thermoreceptors|C0039821|157540|MH|||RC
3668571|Thermosensing|C0039478|88708|MH|||RC
3668571|Body Size|C0005901|1000|MH|Forced Non-Leaf Node Lookup:body sizes||MM|468^9^0
3668571|Spores|C0038027|1000|MH|Forced Non-Leaf Node Lookup:spores||MM|599^5^0
3668491|*Myxomycetes|C0027154|25009|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|1258^11^0;49^11^0
3668491|Surgicenters|C0038942|114805|MH|||RC
3668491|Ambulatory Surgical Procedures|C0002428|84286|MH|||RC
3668491|*Sporangium|C0521047|7716|ET|Entry Term Replacement for "Sporangia";RtM via: Sporangia|TI|MM|457^10^0
3668491|*Metamorphosis, Biological|C0025558|7425|MH|RtM via: Biological Metamorphosis|TI|MM|869^13^0
3668491|*Spore|C0038027|1794|ET|Entry Term Replacement for "Spores";RtM via: Reproduction spores;RtM via: Plant spore;Forced Non-Leaf Node Lookup:spores|TI|MM|556^5^0
3668491|*Fungi|C0016832|1164|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM|1016^5^0
3668491|*Plasmodium|C0032148|1095|MH|RtM via: Plasmodium <genus>;Forced Non-Leaf Node Lookup:plasmodiums|TI|MM|908^10^0;108^10^0
3668491|*Extracellular Matrix|C0015350|942|MH|RtM via: Extracellular Matrix;Forced Non-Leaf Node Lookup:extracellular matrix|TI|MM|1204^20^0
3668492|Humans|C0086418|1000|CT|Forced Humans: Students, Medical||MM
3668492|*Myxomycetes|C0027154|39336|MH|RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|1074^11^0;115^10^0
3668492|*Wood|C0043217|37032|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|698^4^0
3668492|*Enterobacteriaceae|C0014346|31092|MH|RtM via: Enterobacteriaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:enterobacteriaceae|TI|MM|326^18^0
3668492|*Nitrogen|C0028158|30999|MH|RtM via: Nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|629^8^0
3668492|*Pollutants|C0014417|27819|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pollutants|TI|MM|773^10^0
3668492|Education, Medical, Undergraduate|C0013634|177131|MH|||RC
3668492|Students, Medical|C0038495|97473|MH|||RC
3668492|*Forest|C0086312|12891|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1139^6^0
3668492|*Nutrients|C0678695|6225|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1122^9^0
3668492|*Plasmodium|C0032148|990|MH|RtM via: Plasmodium <genus>;Forced Non-Leaf Node Lookup:plasmodiums|TI|MM|504^10^0;599^9^0;445^10^0;126^9^0
3668493|Puerto Rico|C0034044|63072|MH|RtM via: Puerto Rico;Forced Leaf Node Lookup:puerto rico|TI|MM|909^11^0;150^11^0
3668493|Bahamas|C0004683|44157|MH|RtM via: Bahamas;Forced Leaf Node Lookup:bahamas|TI|MM|207^7^0
3668493|*Slime Molds, Cellular|C0085366|25806|ET|Entry Term Replacement for "Dictyosteliida";RtM via: Dictyosteliida;RtM via: Heterostelium luridum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cellular slime molds|TI|MM|703^20^0;494^3^0;35^20^0;880^23^0
3668493|Guatemala|C0018367|25803|MH|RtM via: Guatemala;Forced Leaf Node Lookup:guatemala|TI|MM|378^9^0
3668493|Fellowships and Scholarships|C0015771|95730|MH|||RC
3668493|Specialties, Surgical|C0037781|84122|MH|||RC
3668493|*Forest|C0086312|19047|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|266^6^0
3668493|*Habitats|C0871648|11301|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|438^7^0;360^7^0;273^8^0
3668494|Belgium|C0004950|9758|MH|RtM via: Belgians;Forced Leaf Node Lookup:belgians|TI|MM|289^7^0;176^7^0;33^7^0
3668494|Spores, Protozoan|C0521069|11093|MH|Spores Specifics:Spores||MM
3668494|Insurance, Hospitalization|C0021685|92922|MH|||RC
3668494|Insurance, Physician Services|C0021693|60129|MH|||RC
3668494|*Habitat|C0871648|177|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|571^7^0
3668495|*Myxomycetes|C0027154|13380|MH|RtM via: Myxomycetes;RtM via: Enteridium;RtM via: Reticularia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|174^10^0;63^11^0;387^10^0;341^11^0
3668495|*Trees|C0040811|12195|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|105^5^0
3668495|*Myxobacteria|C0027147|4548|ET|Entry Term Replacement for "Myxococcales";RtM via: Myxococcales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxobacteria|TI|MM|286^12^0
3668495|*Plant Bark|C0949119|3948|MH|Forced Leaf Node Lookup:bark|TI|MM|90^4^0
3668495|Cyanides|C0010505|18469|MH|||RC
3668495|Fires|C0016141|6429|MH|||RC
3668495|*Biological Phenomena|C0005520|1491|MH|RtM via: Tissue Growth|TI|MM|75^7^0
3668496|*Myxomycete|C0027154|44296|ET|Entry Term Replacement for "Myxomycetes";RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|280^10^0
3668496|West Virginia|C0043127|24226|MH|RtM via: West Virginia;RtM via: Tucker County, WV;Forced Leaf Node Lookup:west virginia|TI|MM|235^13^0;220^13^0
3668496|*Seasons|C0036497|23596|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|50^7^0
3668496|*Soil|C0037592|23263|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|70^4^0
3668496|Coagulase|C0009118|128593|MH|||RC
3668496|Staphylococcus|C0038170|85164|MH|||RC
3668496|*Forest|C0086312|16716|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|210^6^0
3668497|*Myxomycete|C0027154|11944|ET|Entry Term Replacement for "Myxomycetes";RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|118^10^0
3668497|*Museums|C0026863|10705|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|164^6^0
3668497|Acid Phosphatase|C0001109|28270|MH|||RC
3668497|*Mycetozoa|C1069250|4734|MH|RtM via: Mycetozoa;Forced Non-Leaf Node Lookup:mycetozoas|TI|MM|236^9^0
3668497|*Daughter|C0011011|75|ET|Entry Term Replacement for "Nuclear Family";RtM via: Daughter;Forced Non-Leaf Node Lookup:daughters|TI|MM|54^8^0
3668498|*Myxomycete|C0027154|21935|ET|Entry Term Replacement for "Myxomycetes";RtM via: Myxomycetes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myxomycetes|TI|MM|370^10^0
3668498|*Plant Bark|C0949119|21209|MH|RtM via: Tree bark;Forced Leaf Node Lookup:tree barks|TI|MM|31^9^0
3668498|*Herbivory|C0562691|20864|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|59^10^0
3668498|Tanzania|C0039298|19550|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania|TI|MM|257^8^0
3668498|Penicillin G|C0030827|75679|MH|||RC
3668498|N-Acetylmuramoyl-L-alanine Amidase|C0027203|55441|MH|||RC
3668499|*Dictyostelid Cellular Slime Molds|C0085366|99163|ET|Entry Term Replacement for "Dictyosteliida";RtM via: Dictyosteliida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dictyostelid cellular slime molds|TI|MM|500^13^0;166^33^0
3668499|*Soil|C0037592|81634|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|784^4^0
3668499|*Parks, Recreational|C0237771|78991|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|130^13^0
3668499|Muramoylpentapeptide Carboxypeptidase|C0007074|305868|MH|||RC
3668499|Peptidyl Transferases|C0030962|300732|MH|||RC
3668499|*Biodiversity|C0282469|23832|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|879^4^0;53^12^0
3668499|*Habitats|C0871648|19827|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|557^8^0
3668499|*Survey|C0038951|4497|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|897^6^0;156^6^0
3668499|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|789^2^0
3668499|*Longitudinal Studies|C0023981|96|MH|RtM via: Continuous|TI|MM|148^7^0
3668500|United States|C0041703|11504|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|740^8^0;164^9^0
3668500|*Ferns|C0331729|8456|MH|RtM via: Ferns;RtM via: Azolla;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ferns|TI|MM|663^5^0;61^6^0
3668500|*Microscopy, Electron, Scanning|C0026020|7319|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM|380^28^0
3668500|Sodium Chloride|C0037494|10504|MH|||RC
3668500|Vibrio|C0042628|7643|MH|||RC
3668500|*Conception|C0009637|1695|ET|Entry Term Replacement for "Fertilization";RtM via: Conception|TI|MM|865^10^0
3668501|*Cyperaceae|C0950025|222689|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|825^10^0
3668501|*Chenopodiaceae|C0446248|181256|MH|RtM via: Chenopodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chenopodiaceae|TI|MM|855^14^0
3668501|*Poaceae|C0018210|178922|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|755^7^0
3668501|*Polygonaceae|C0524882|155702|MH|RtM via: Polygonaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:polygonaceae|TI|MM|974^12^0
3668501|*Brassicaceae|C0524824|139736|MH|RtM via: Brassicaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:brassicaceae|TI|MM|889^12^0
3668501|*Fabaceae|C0023263|137081|MH|RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM|802^8^0
3668501|*Asteraceae|C0446228|136820|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|777^10^0
3668501|*Wetlands|C1721088|87980|MH|RtM via: Marshes;Forced Leaf Node Lookup:marshes|TI|MM|1340^7^0
3668501|*Ecosystem|C0162358|87884|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM|1546^10^0;1090^7^0
3668501|*Caryophyllaceae|C0949997|78716|MH|RtM via: Caryophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllaceae|TI|MM|922^15^0
3668501|*Euphorbiaceae|C0446243|60056|MH|RtM via: Euphorbiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM|956^13^0
3668501|*Farms|C0557759|56573|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farmlands|TI|MM|1164^9^0
3668501|Egypt|C0013715|49628|MH|RtM via: Egypt;Forced Leaf Node Lookup:egypt|TI|MM|179^5^0
3668501|Xylenes|C0043368|41200|MH|||RC
3668501|Toluene|C0040383|34481|MH|||RC
3668501|Crops, Agricultural|C0242775|1000|MH|Forced Non-Leaf Node Lookup:cropland||MM|166^8^0;1510^8^0
3668502|Benin|C0005005|75776|MH|RtM via: Benin Republic;Forced Leaf Node Lookup:dahomey;Forced Leaf Node Lookup:benin|TI|MM|258^7^0;140^5^0
3668502|*Ipomoea|C0949118|45952|MH|RtM via: Ipomoea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ipomoeas|TI|MM|20^7^0
3668502|*Thunbergia|C1000862|40717|ET|Entry Term Replacement for "Acanthaceae";RtM via: Thunbergia;checkForceMH Boosted|TI|MM|72^10^0
3668502|Methicillin|C0025643|269908|MH|||RC
3668502|Chromosomes, Bacterial|C0008641|71472|MH|||RC
3668502|*Forest|C0086312|5112|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|336^6^0;363^6^0
3668502|Africa, West|C0001747|7644|ET|Entry Term Replacement for "Africa, Western";RtM via: Africa, Western|TI|MM|240^11^0
3668503|*Scrophulariaceae|C0331181|11313|MH|RtM via: Scrophulariaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:scrophulariaceae|TI|MM|395^16^0;105^16^0
3668503|Democratic Republic of the Congo|C0043444|4257|MH|RtM via: Katanga -- geographic area;Forced Leaf Node Lookup:katanga;Geo Lookup:katangas|TI;AB|MM|332^7^0;43^7^0
3668503|Plasmids|C0032136|16419|MH|||RC
3668503|Streptomyces|C0038420|7922|MH|||RC
3668503|*Orobanchaceae|C1041305|1716|MH|RtM via: Sopubia|TI|MM|386^7^0;96^7^0
3668509|Luxembourg|C0024176|22516|MH|RtM via: Luxembourg;Forced Leaf Node Lookup:luxembourg|TI|MM|70^10^0
3668509|Spores, Fungal|C0038029|23065|MH|Spores Specifics:Spores||MM
3668509|Orthomyxoviridae Infections|C0029342|113462|MH|||RC
3668509|Influenza A virus|C0029347|66707|MH|||RC
3668510|*Micrasterias|C1063317|33286|MH|RtM via: Micrasterias;Forced Leaf Node Lookup:micrasterias;checkForceMH Boosted|TI|MM|556^12^0
3668510|Western Australia|C0043128|21167|MH|RtM via: Western Australia;Forced Leaf Node Lookup:western australia|TI|MM|115^17^0
3668510|Northern Territory|C0028416|17162|MH|RtM via: Northern Territory;Forced Leaf Node Lookup:northern territory|TI|MM|67^18^0
3668510|Vaccinia virus|C0042216|31991|MH|||RC
3668510|Genes, Viral|C0017376|23591|MH|||RC
3668511|sporopollenin|C0075041|46726|NM|RtM via: sporopollenin;Forced SCR Leaf Node Lookup:sporopollenin|TI|MM|442^13^0
3668511|*Acanthaceae|C0949832|22641|MH|RtM via: Acanthaceae;RtM via: Nelsonioideae;RtM via: Elytraria acaulis;RtM via: Duosperma;RtM via: Ruellieae;RtM via: Acanthoideae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:acanthaceae|TI|MM|1017^11^0;393^11^0;941^13^0;317^13^0;922^17^0;298^17^0;906^9^0;679^9^0;281^9^0;37^9^0;883^9^0;263^9^0;870^12^0;250^12^0
3668511|Democratic Republic of the Congo|C0043444|15687|MH|RtM via: Katanga -- geographic area;Forced Leaf Node Lookup:katanga;Geo Lookup:katangas|TI;AB|MM|715^7^0;77^7^0
3668511|Arrhythmias, Cardiac|C0003811|120071|MH|||RC
3668511|Electrocardiography|C1623258|100378|MH|||RC
3668511|*Biopolymers|C0005554|46725|HM|RtM via: sporopollenin|TI|MM|442^13^0
3668511|*Carotenoids|C0007271|44676|HM|RtM via: sporopollenin|TI|MM|442^13^0
3668511|*Pollen|C0032385|2538|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|1184^6^0;797^6^0;531^13^0;180^6^0
3668511|*Habit|C0018464|678|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|521^5^0
3668511|*Habitat|C0871648|264|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1284^7^0;634^7^0
3668511|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1280^3^0
3668512|*Fruit|C0016767|20618|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|246^5^0
3668512|Education, Medical, Undergraduate|C0013634|123443|MH|||RC
3668512|Preceptorship|C0032929|59693|MH|||RC
3668512|*Survey|C0038951|27015|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|193^6^0
3668513|*Magnesium|C0024467|82935|MH|RtM via: Magnesium;RtM via: Calcium- and magnesium-containing product;RtM via: Dietary Magnesium;Forced Leaf Node Lookup:magnesium;checkForceMH Boosted|TI|MM|213^9^0;205^17^0
3668513|calcium bicarbonate|C0054465|64327|NM|RtM via: calcium bicarbonate|TI|MM|205^7^1;223^11^1
3668513|*Bicarbonates|C0005367|64326|MH|RtM via: Bicarbonates;RtM via: calcium bicarbonate;RtM via: bicarbonate ion;Forced Leaf Node Lookup:bicarbonates|TI|MM|223^11^0;205^7^1
3668513|*Chlorophyceae|C0175807|63126|MH|RtM via: Chlorophyceae;Forced Leaf Node Lookup:chlorophyceae;checkForceMH Boosted|TI|MM|467^13^0
3668513|*Ponds|C0337048|60039|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|888^5^0;601^4^0;677^5^0;409^5^0
3668513|*Temperature|C0039476|31608|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|255^11^0;151^11^0
3668513|Sinusitis|C0037199|104565|MH|||RC
3668513|Cellulitis|C0007642|99310|MH|||RC
3668513|*Cyanophyceae|C1047211|5772|ET|Entry Term Replacement for "Cyanobacteria";RtM via: Cyanobacteria;RtM via: Class Cyanophyceae;RtM via: Dolichospermum spiroides;Forced Non-Leaf Node Lookup:cyanophyceae|TI|MM|492^12^0;1802^18^0;816^18^0
3668513|Anabaena|C0085540|1000|MH|Forced Non-Leaf Node Lookup:anabaena||MM|816^8^0;1802^8^0
3668513|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|183^2^0;268^2^0;1117^2^0;1240^2^0
3668514|*Rubiaceae|C0524885|47391|MH|RtM via: Rubiaceae;RtM via: Tarenna capuroniana;RtM via: Tarenna grevei;RtM via: Chomelia;RtM via: Ixora;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|169^9^0;210^19^0;434^14^0;567^7^0;365^7^0;325^7^0;54^7^0;286^8^0;334^5^0
3668514|Madagascar|C0024443|24252|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|274^10^0;65^10^0;182^10^0
3668514|Virus Diseases|C0042769|141118|MH|||RC
3668514|Bacterial Infections|C0004623|113301|MH|||RC
3668515|United States|C0041703|55322|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|232^8^0
3668515|*Mosses|C0282635|54322|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM|48^6^0
3668515|*Liverworts|C0996514|51901|ET|Entry Term Replacement for "Hepatophyta";RtM via: Marchantiophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:liverworts|TI|MM|59^10^0
3668515|Wounds, Gunshot|C0043252|47127|MH|||RC
