10.2307/20460169|Animals|D000818|28850|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/20460169|Humans|D006801|1000|CT|Forced Humans:D Siblings||MM
10.2307/20094892|Female|D005260|3165|CT|Forced Lookup:female;CT Text Lookup: female;Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms);Forced Non-Leaf Node Lookup:females|TI|MM;RC|31^6^0
10.2307/20094892|Humans|D006801|3165|CT|Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms)||MM
10.2307/20094892|*Dysgerminoma|D004407|2124|MH|RtM via: Dysgerminoma;Forced Leaf Node Lookup:dysgerminomas|TI|MM|156^12^0
10.2307/20094892|Panthera|D046009|2165|MH|Forced Non-Leaf Node Lookup:snow leopards||MM;RC|38^12^0;233^12^0;52^8^0
10.2307/20094892|Conservation of Natural Resources|D003247|1167|MH|||RC
10.2307/20094892|Ovarian Neoplasms|D010051|1000|MH|Neoplasm Coordination Rule: Dysgerminoma;Forced Non-Leaf Node Lookup:ovarian mass||MM|109^12^0
10.2307/20094887|Pregnancy|D011247|64774|CT|Placentation;CT Treecode Lookup: G08.686.784.769.491 (Placentation);CT Text Lookup: placentation;CT Text Lookup: pregnancy|TI|MM;RC|751^12^0;765^9^0
10.2307/20094887|Female|D005260|64774|CT|Placentation;CT Treecode Lookup: G08.686.784.769.491 (Placentation);CT Text Lookup: cow;CT Text Lookup: estrus;CT Text Lookup: placentation;CT Text Lookup: pregnancy|TI|MM;RC|573^3^0;580^6^0;751^12^0;765^9^0
10.2307/20094887|Cattle|D002417|64774|CT|RtM via: Bos frontalis;RtM via: Cattle;RtM via: Holstein Cow;Forced Leaf Node Lookup:holstein cow;Forced Animals Lookup:bull;CT Text Lookup: bull;CT Text Lookup: cow|TI|MM;RC|80^10^0;74^4^0;92^4^0;564^12^0;573^3^0
10.2307/20094887|Male|D008297|64774|CT|Forced Animals Lookup:bull;Epididymis;CT Treecode Lookup: A05.360.444 (Epididymis);Spermatozoa;CT Treecode Lookup: A05.360.490.890 (Spermatozoa);Spermatozoa;CT Treecode Lookup: A11.497.760 (Spermatozoa);Testis;CT Treecode Lookup: A05.360.444 (Testis);CT Text Lookup: bull;CT Text Lookup: spermatozoa|TI|MM;RC|92^4^0;40^11^0
10.2307/20094887|Animals|D000818|64774|CT|RtM via: Cattle;Forced Animals Lookup:bull;Estrus;CT Treecode Lookup: G08.686.195.500 (Estrus);CT Text Lookup: bull;CT Text Lookup: cow|TI|MM;RC|92^4^0;573^3^0
10.2307/20094887|*Testis|D013737|17614|MH|RtM via: Testis;Forced Leaf Node Lookup:testes|TI|MM|144^6^0
10.2307/20094887|*Egg Yolk|D004530|15145|MH|RtM via: Egg Yolk (Dietary);Forced Leaf Node Lookup:egg yolks|TI|MM;RC|369^8^0
10.2307/20094887|*Membrane Fusion|D008561|10426|MH|RtM via: Membrane Fusion;Forced Leaf Node Lookup:membrane fusions|TI|MM;RC|715^15^0
10.2307/20094887|*Placentation|D010929|9100|MH|RtM via: Placentation;Forced Leaf Node Lookup:placentation|TI|MM|751^12^0
10.2307/20094887|*Laboratories|D007753|7912|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|205^10^0
10.2307/20094887|*Universities|D014495|7762|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|228^10^0
10.2307/20094887|Iowa|D007484|7690|MH|RtM via: Iowa;Forced Leaf Node Lookup:iowa|TI|MM|217^4^0
10.2307/20094887|*Epididymis|D004822|63774|MH|RtM via: Structure of tail of epididymis;RtM via: Epididymis|TI|MM;RC|319^18^0;164^12^0;29^10^0
10.2307/20094887|*Spermatozoa|D013094|38847|MH|RtM via: sperm cell;Forced Non-Leaf Node Lookup:spermatozoa|TI|MM;RC|621^11^0;399^11^0;240^11^0;40^11^0;660^11^0
10.2307/20094887|*Freezing|D005615|11925|MH|RtM via: Freezing|TI|MM;RC|436^6^0
10.2307/20094887|*Estrus|D004971|10794|MH|RtM via: Estrus;Forced Non-Leaf Node Lookup:estrus|TI|MM|580^6^0
10.2307/20094887|*Embryogenesis|D047108|2211|ET|Entry Term Replacement for "Embryonic Development";RtM via: Embryonic Development;Forced Non-Leaf Node Lookup:embryogenesis|TI|MM|732^13^0
10.2307/20094887|*Nitrogen|D009584|783|MH|RtM via: Liquid nitrogen;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|458^15^0;465^8^0
10.2307/20094896|Female|D005260|12579|CT|Granulosa Cell Tumor;CT Treecode Lookup: C13.351.500.056 (Granulosa Cell Tumor);Granulosa Cell Tumor;CT Treecode Lookup: C13.351.937.418 (Granulosa Cell Tumor);Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms)||MM;RC
10.2307/20094896|Animals|D000818|12579|CT|Boidae;CT Treecode Lookup: B01.050.150.900.833 (Boidae);Snakes;CT Treecode Lookup: B01.050.150.900.833 (Snakes);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|417^7^0
10.2307/20094896|Humans|D006801|12579|CT|Granulosa Cell Tumor;CT Treecode Lookup: C13.351.500.056 (Granulosa Cell Tumor);Granulosa Cell Tumor;CT Treecode Lookup: C13.351.937.418 (Granulosa Cell Tumor);Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms)||MM
10.2307/20094896|*Granulosa Cell Tumor|D006106|11579|MH|RtM via: granulosa cell tumor;Forced Leaf Node Lookup:granulosa cell tumors|TI|MM|222^20^0
10.2307/20094896|*Boidae|D017821|6685|MH|RtM via: Boa constrictor (reptile);Forced Leaf Node Lookup:boa constrictor;checkForceMH Boosted|TI|MM;RC|378^16^0;84^15^0;67^15^0
10.2307/20094896|*Anorexia|D000855|3929|MH|RtM via: Anorexia;RtM via: Loss of appetite (finding);Forced Leaf Node Lookup:anorexias|TI|MM|118^8^0
10.2307/20094896|*Weight Loss|D015431|1709|MH|RtM via: Weight decreased;Forced Leaf Node Lookup:weight loss|TI|MM|131^11^0
10.2307/20094896|Peru|D010568|1343|MH|Forced Leaf Node Lookup:peruvian|TI|MM|49^8^0
10.2307/20094896|*Neoplastic Processes|D009385|6048|MH|RtM via: Metastasis|TI|MM|259^10^0
10.2307/20094896|*Ovarian Neoplasms|D010051|1839|MH|RtM via: ovarian neoplasm;Forced Non-Leaf Node Lookup:ovarian neoplasms|TI|MM|450^17^0
10.2307/20094896|*Liver|D008099|1293|MH|RtM via: Liver;Forced Non-Leaf Node Lookup:livers|TI|MM;RC|353^5^0
10.2307/20094896|*Carcinoma, Undifferentiated|D002277|1257|ET|Entry Term Replacement for "Carcinoma";RtM via: Undifferentiated carcinoma;Forced Non-Leaf Node Lookup:undifferentiated carcinoma|TI|MM|169^26^0
10.2307/20094896|*Mesentery|D008643|255|MH|RtM via: Mesentery;Forced Non-Leaf Node Lookup:mesentery|TI|MM|320^9^0
10.2307/20094896|*Death, Sudden|D003645|246|MH|RtM via: Sudden death;Forced Non-Leaf Node Lookup:sudden death|TI|MM|152^12^0
10.2307/20460239|Animals|D000818|29788|CT|Trichostrongyloidea;CT Treecode Lookup: B01.050.500.500 (Trichostrongyloidea);Nematodirus;CT Treecode Lookup: B01.050.500.500 (Nematodirus);Antelopes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Antelopes);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);CT Text Lookup: animal|TI|MM;RC|342^6^0
10.2307/20460239|Male|D008297|29788|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|337^4^0
10.2307/20460239|*Nematodirus|D057808|9149|MH|RtM via: Nematodirus spathiger;Forced Leaf Node Lookup:nematodirus;checkForceMH Boosted|TI|MM|210^21^0
10.2307/20460239|*Larvae|D007814|4162|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|684^6^0;409^6^0;511^6^0;737^6^0
10.2307/20460239|*Nematode Infections|D009349|28788|MH|RtM via: Nematode infections|TI|MM;RC|101^12^0
10.2307/20460239|*Trichostrongyloidea|D014251|18633|MH|RtM via: Camelostrongylus mentulatus|TI|MM;RC|233^27^0;159^27^0
10.2307/20460239|*Antelopes|D000866|4947|MH|RtM via: Antilope cervicapra|TI|MM;RC|529^9^0;128^19^0;117^9^0
10.2307/20460239|*Feces|D005243|3147|MH|RtM via: Feces|TI|MM;RC|655^5^0
10.2307/20460239|*Anthelmintics|D000871|3015|MH|RtM via: Anthelmintics;Forced Non-Leaf Node Lookup:anthelmintics|TI|MM|571^13^0
10.2307/20460239|*Emaciation|D004614|429|MH|RtM via: Emaciation;Forced Non-Leaf Node Lookup:emaciations|TI|MM|289^10^0
10.2307/20094866|Animals|D000818|13082|CT|Goats;CT Treecode Lookup: B01.050.150.900.649.313.500 (Goats)||MM;RC
10.2307/20094866|*Gentamycin|D005839|12082|ET|Entry Term Replacement for "Gentamicins";RtM via: gentamicin;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gentamicins|TI|MM;RC|45^10^0
10.2307/20094866|*Administration, Intravenous|D061605|2415|MH|RtM via: Intravenous|TI|MM|141^11^0
10.2307/20094866|*Goats|D006041|1314|MH|RtM via: Capra falconeri;Forced Non-Leaf Node Lookup:capras|TI|MM;RC|114^15^0;99^13^0;107^5^0
10.2307/20094884|Animals|D000818|16567|CT|Animal Welfare;CT Treecode Lookup: I01.880.604.100 (Animal Welfare);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);CT Text Lookup: animal|TI|MM;RC|42^6^0;306^6^0
10.2307/20094884|*Animals, Wild|D000835|7341|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM;RC|239^8^0
10.2307/20094884|*Animal Welfare|D000827|15567|MH|RtM via: Animal Welfare;Forced Non-Leaf Node Lookup:animal welfare|TI|MM;RC|42^14^0;145^14^0
10.2307/20094884|Animal Husbandry|D000822|740|MH|||RC
10.2307/20094884|*Humanities|D006809|87|MH|RtM via: Humanities|TI|MM|164^6^0
10.2307/20094884|*Movement|D009068|15|MH|RtM via: Movement|TI|MM|171^8^0
10.2307/20094864|Animals|D000818|118671|CT|CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|1238^7^0
10.2307/20094864|*Medetomidine|D020926|117671|MH|RtM via: medetomidine;Forced Leaf Node Lookup:medetomidine;checkForceMH Boosted|TI|MM;RC|1122^12^0;216^12^0;29^12^0
10.2307/20094864|*Ketamine|D007649|32252|MH|RtM via: ketamine;Forced Leaf Node Lookup:ketamine;checkForceMH Boosted|TI|MM;RC|1140^8^0;233^8^0;47^8^0
10.2307/20094864|atipamezole|C050701|24147|NM|RtM via: atipamezole;Forced SCR Leaf Node Lookup:atipamezole|TI|MM|1173^11^0;983^11^0
10.2307/20094864|*Respiratory Rate|D056152|16306|MH|RtM via: Respiratory rate;Forced Leaf Node Lookup:respiratory rates|TI|MM|862^17^0
10.2307/20094864|*Edetic Acid|D004492|15566|MH|Forced Leaf Node Lookup:edta;checkForceMH Boosted|TI|MM|832^4^0
10.2307/20094864|*Heart Rate|D006339|12118|MH|RtM via: heart rate;Forced Leaf Node Lookup:heart rates|TI|MM;RC|656^11^0
10.2307/20094864|*Aspartate Aminotransferase|D001219|10654|ET|Entry Term Replacement for "Aspartate Aminotransferases";RtM via: Aspartate Transaminase;checkForceMH Boosted;Forced Non-Leaf Node Lookup:aspartate aminotransferases|TI|MM;RC|724^26^0
10.2307/20094864|*Urea|D014508|10249|MH|RtM via: urea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:urea|TI|MM;RC|926^4^0
10.2307/20094864|*Temperature|D013696|7783|MH|Forced Leaf Node Lookup:temperatures|TI|MM|676^12^0
10.2307/20094864|*Imidazoles|D007093|24146|HM|RtM via: atipamezole|TI|MM;RC|1173^11^0;983^11^0
10.2307/20094864|Anesthetics, Dissociative|D000778|6278|MH|||RC
10.2307/20094864|*Hematologic Tests|D006403|4656|MH|RtM via: Serum Chemistry Measurement|TI|MM|532^15^0
10.2307/20094864|*Leukocyte Counts|D007958|1452|ET|Entry Term Replacement for "Leukocyte Count";RtM via: White Blood Cell Count procedure;Forced Non-Leaf Node Lookup:leukocyte counts|TI|MM|881^16^0
10.2307/20094864|*Goats|D006041|840|MH|RtM via: Capra falconeri;Forced Non-Leaf Node Lookup:capras|TI|MM;RC|172^15^0
10.2307/20094864|*Muscle Relaxation|D009126|213|MH|RtM via: Muscle relaxation phase;Forced Non-Leaf Node Lookup:muscle relaxations|TI|MM|284^17^0
10.2307/20094864|Creatine Kinase|D003402|1000|MH|Forced Non-Leaf Node Lookup:creatine kinase||MM;RC|909^15^0
10.2307/20094864|Phosphates|D010710|1000|MH|Forced Non-Leaf Node Lookup:inorganic phosphates||MM|939^19^0
10.2307/20094864|Cell Size|D048429|1000|MH|Forced Non-Leaf Node Lookup:cell volumes||MM|697^12^0
10.2307/20094864|Glucose|D005947|1000|MH|Forced Non-Leaf Node Lookup:glucose||MM|800^7^0
10.2307/20094893|Animals|D000818|13921|CT|Tigers;CT Treecode Lookup: B01.050.150.900.649.313.750 (Tigers)||MM;RC
10.2307/20094893|Female|D005260|13921|CT|Forced Lookup:female;Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: estrus;CT Text Lookup: female;CT Text Lookup: uterus;Forced Non-Leaf Node Lookup:females|TI|MM;RC|38^6^0;651^6^0;325^6^0
10.2307/20094893|*Tigers|D046010|11184|MH|RtM via: Tigers;Forced Leaf Node Lookup:panthera tigris;Forced Leaf Node Lookup:tigers;checkForceMH Boosted|TI|MM;RC|52^15^0;45^5^0
10.2307/20094893|*Spleen|D013154|10592|MH|RtM via: Spleen;Forced Leaf Node Lookup:spleen|TI|MM|184^6^0
10.2307/20094893|*Diaphragm|D003964|8153|MH|RtM via: Respiratory Diaphragm;Forced Leaf Node Lookup:diaphragms|TI|MM|192^9^0
10.2307/20094893|*Progestins|D011372|7501|MH|RtM via: Progestins;Forced Leaf Node Lookup:progestagens;checkForceMH Boosted|TI|MM|621^12^0
10.2307/20094893|*Ovary|D010053|7337|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovaries|TI|MM|304^7^0
10.2307/20094893|*Hyperplasia|D006965|3602|MH|Forced Leaf Node Lookup:hyperplasias|TI|MM;RC|582^11^0
10.2307/20094893|*Lymph Nodes|D008198|12921|MH|RtM via: Abdominal lymph node group;Forced Non-Leaf Node Lookup:lymph nodes|TI|MM;RC|244^21^0;254^11^0
10.2307/20094893|*Liver|D008099|9066|MH|RtM via: Liver;Forced Non-Leaf Node Lookup:livers|TI|MM;RC|177^5^0
10.2307/20094893|*Pancreas|D010179|4521|MH|RtM via: Pancreas;Forced Non-Leaf Node Lookup:pancreas|TI|MM|333^8^0
10.2307/20094893|*Lungs|D008168|3084|ET|Entry Term Replacement for "Lung";RtM via: Lung;Forced Non-Leaf Node Lookup:lungs|TI|MM|170^5^0
10.2307/20094893|*Metaplasia|D008679|2319|MH|RtM via: Squamous metaplasia;Forced Non-Leaf Node Lookup:metaplasia|TI|MM|467^19^0;476^10^0
10.2307/20094893|*Uterus|D014599|1776|MH|RtM via: Uterus;Forced Non-Leaf Node Lookup:uterus|TI|MM|566^7^0;325^6^0
10.2307/20094893|*Estrus|D004971|1146|MH|RtM via: Estrus;Forced Non-Leaf Node Lookup:estrus|TI|MM|651^6^0
10.2307/20094893|Carcinoma, Squamous Cell|D002294|1000|MH|Forced Non-Leaf Node Lookup:squamous||MM;RC|467^8^0
