10.2307/2963520|Animals|D000818|38668|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel);Mytilus;CT Treecode Lookup: B01.050.500.644 (Mytilus);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/3100095|*Hydrothermal Vents|D060086|33876|MH|RtM via: Hydrothermal Vents;Forced Leaf Node Lookup:hydrothermal vents|TI|MM;RC|2286^17^0;1203^18^0;340^18^0
10.2307/3100095|Pacific Ocean|D010140|30327|MH|RtM via: Pacific Ocean;Forced Leaf Node Lookup:pacific ocean|TI|MM;RC|383^13^0
10.2307/3100095|*Amphipoda|D033304|23712|MH|RtM via: Ventiella sulfuris;RtM via: Amphipoda;Forced Leaf Node Lookup:amphipods;checkForceMH Boosted|TI|MM|1826^18^0;1806^8^0;1002^8^0
10.2307/3100095|*Predatory Behavior|D011235|21759|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|2222^9^0;1525^9^0;1167^9^0;450^9^0;589^9^0
10.2307/3100095|basalt|C060346|18373|NM|RtM via: basalt;Forced SCR Leaf Node Lookup:basalt|TI|MM|724^6^0
10.2307/3100095|*Octopus|D049831|14157|ET|Entry Term Replacement for "Octopodiformes";RtM via: Octopus;checkForceMH Boosted|TI|MM|843^6^0
10.2307/3100095|*Temperature|D013696|12372|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|633^11^0
10.2307/3100095|*Oxygen|D010100|9930|MH|RtM via: oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM|646^6^0
10.2307/3100095|*Silicates|D017640|18372|HM|RtM via: basalt|TI|MM|724^6^0
10.2307/3100095|*Invertebrates|D007448|17301|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM;RC|2465^13^0;2122^12^0;1335^13^0;1062^13^0
10.2307/3100095|*Seafood|D017747|16527|MH|RtM via: Mussels - dietary;RtM via: Octopus, Dietary;RtM via: Whelks;RtM via: Limpet (Dietary);RtM via: Crab - dietary;RtM via: Crustacean (dietary)|TI|MM|2153^7^0;1147^7^0;843^6^0;831^6^0;2187^7^0;1768^6^0;2014^4^0;1815^10^0
10.2307/3100095|*Mussels|D049872|15615|ET|Entry Term Replacement for "Bivalvia";RtM via: Mussels;Forced Non-Leaf Node Lookup:mussel|TI|MM;RC|2153^7^0;1147^7^0
10.2307/3100095|*Fishes|D005399|11010|MH|RtM via: Fishes;Forced Non-Leaf Node Lookup:fishes|TI|MM;RC|1680^4^0;823^6^0;473^6^0
10.2307/3100095|*Snail|D012908|3516|ET|Entry Term Replacement for "Snails";RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM|1735^5^0
10.2307/3100095|*Sulfides|D013440|900|MH|RtM via: Sulfides;Forced Non-Leaf Node Lookup:sulfides|TI|MM|654^7^0
10.2307/3100095|*Stomach|D013270|894|MH|RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|2019^8^0;1582^7^0
10.2307/2937244|*Picea|D028222|74704|MH|RtM via: Picea mariana;RtM via: Picea glauca;RtM via: Picea engelmannii;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|2372^13^0;2192^12^0;2304^17^0;2252^5^0
10.2307/2937244|*Pinus|D028223|61535|MH|RtM via: Pinus <genus>;RtM via: Pinus contorta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|2629^4^0;2590^14^0;2387^14^0;1650^14^0;51^14^0;28^14^0;1763^5^0
10.2307/2937244|*Abies|D028202|47149|MH|RtM via: Abies lasiocarpa;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM;RC|2265^16^0;2322^5^0
10.2307/2937244|*Trees|D014197|45010|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|2656^4^0;327^4^0;95^4^0
10.2307/2937244|*Pseudotsuga|D028224|44170|MH|RtM via: Pseudotsuga;RtM via: Pseudotsuga menziesii;Forced Leaf Node Lookup:pseudotsugas;checkForceMH Boosted|TI|MM|2479^11^0;2141^21^0;2208^11^0
10.2307/2937244|*Alnus|D029661|24736|MH|RtM via: Alder plant;Forced Leaf Node Lookup:alnus;checkForceMH Boosted|TI|MM|1915^5^0
10.2307/2937244|*Ledum|D029794|24526|MH|RtM via: Ledum groenlandicum;Forced Leaf Node Lookup:ledum groenlandicums;checkForceMH Boosted|TI|MM|2045^19^0
10.2307/2937244|*Arctostaphylos|D029792|23827|MH|RtM via: Bearberry;Forced Leaf Node Lookup:uva-ursi;checkForceMH Boosted|TI|MM|1816^8^0
10.2307/2937244|*Elymus|D031749|23053|MH|RtM via: Elymus canadensis;Forced Leaf Node Lookup:elymus;checkForceMH Boosted|TI|MM|1857^17^0;1868^6^0
10.2307/2937244|*Wildfires|D000075923|17033|MH|RtM via: Wildfires;Forced Leaf Node Lookup:wildfires|TI|MM|402^9^0
10.2307/2937244|*Soils|D012987|14063|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|1315^5^0
10.2307/2937244|*Parks, Recreational|D000068316|13004|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|1204^13^0
10.2307/2937244|Alberta|D000416|12833|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM;RC|2762^7^0;295^7^0
10.2307/2937244|British Columbia|D001955|12767|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM;RC|2771^16^0
10.2307/2937244|*Vaccinium|D029796|12656|MH|RtM via: Vaccinium scoparium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:vacciniums|TI|MM|1995^19^0
10.2307/2937244|*Physiognomy|D010826|11519|MH|RtM via: Physiognomy;Forced Leaf Node Lookup:physiognomy|TI|MM|501^11^0
10.2307/2937244|Montana|D009009|11114|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|2793^7^0
10.2307/2937244|*Forests|D065928|25545|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|2686^7^0;2605^7^0;469^6^0;363^7^0;192^7^0
10.2307/2937244|*Habitats|D017753|21600|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|251^8^0
10.2307/2937244|*Elaeagnaceae|D031263|1383|MH|RtM via: Shepherdia canadensis;Forced Non-Leaf Node Lookup:shepherdias|TI|MM|1778^21^0
10.2307/2937244|*Cluster Analysis|D016000|594|MH|RtM via: statistical cluster;Forced Non-Leaf Node Lookup:cluster analysis|TI|MM|860^16^0
10.2307/2937244|*Hierarchy, Dominance|D012930|228|ET|Entry Term Replacement for "Social Dominance";RtM via: Social Dominance;Forced Non-Leaf Node Lookup:dominance hierarchy|TI|MM|2520^19^0
10.2307/2937244|Tomography, X-Ray Computed|D014057|1000|MH|Forced Non-Leaf Node Lookup:ct||MM|1682^2^0
10.2307/2937095|Humans|D006801|56447484|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|277^5^0;1042^5^0
10.2307/2937095|*Quercus|D029963|4204172|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|568^7^0
10.2307/2937095|*Magnolia|D031566|4200902|MH|RtM via: Magnolia;Forced Leaf Node Lookup:magnolias;checkForceMH Boosted|TI|MM|580^8^0
10.2307/2937095|*Rainforest|D065947|2112163|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM;RC|790^11^0
10.2307/2937095|*Refugium|D000068236|2107096|MH|RtM via: Refugium;Forced Leaf Node Lookup:refugia|TI|MM|802^7^0
10.2307/2937095|*Lakes|D060106|2104189|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|1163^4^0;463^4^0
10.2307/2937095|*Sympatry|D061350|2102791|MH|RtM via: Sympatry;Forced Leaf Node Lookup:sympatry|TI|MM|301^8^0
10.2307/2937095|Venezuela|D014687|2100334|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM|1178^9^0
10.2307/2937095|*Forest|D065928|19776|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1048^6^0;716^6^0;545^6^0;380^6^0
10.2307/2937095|*Climate Change|D057231|6981|MH|RtM via: Climate Change|TI|MM;RC|244^15^0
10.2307/2937095|Panama|D010176|42|MH|RtM via: Panama|TI|MM|498^6^0;170^6^0
10.2307/1942550|Animals|D000818|176811|CT|Malaria, Avian;CT Treecode Lookup: C22 (Malaria, Avian);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
10.2307/1942550|*Malaria, Avian|D008289|175811|MH|RtM via: Malaria, Avian;Forced Leaf Node Lookup:avian malarias|TI|MM;RC|1270^13^0;155^13^0
10.2307/1942550|*Parasites|D010271|48399|MH|RtM via: Hematozoic parasite;RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|347^15^0;1710^8^0;1220^8^0;353^9^0;430^9^0;544^8^0
10.2307/1942550|*Trees|D014197|33136|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|637^4^0;226^4^0
10.2307/1942550|*Introduced Species|D058865|29431|MH|Forced Leaf Node Lookup:introduced species;checkForceMH Boosted|TI|MM;RC|837^18^0
10.2307/1942550|*Parasitemia|D018512|24263|MH|RtM via: Parasitemia;Forced Leaf Node Lookup:parasitemias|TI|MM;RC|1113^11^0
10.2307/1942550|*Seasons|D012621|19298|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|917^6^0
10.2307/1942550|*Prevalence|D015995|17585|MH|RtM via: Statistical Prevalence;RtM via: Low Prevalence;Forced Leaf Node Lookup:prevalences|TI|MM;RC|1098^10^0;1005^16^0;1011^10^0
10.2307/1942550|*Activity Cycles|D000204|15332|MH|RtM via: Activity Cycles;Forced Leaf Node Lookup:activity cycles|TI|MM|487^15^0
10.2307/1942550|*Laboratories|D007753|14726|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|371^10^0;28^10^0
10.2307/1942550|*Immunogenetics|D007125|14525|MH|RtM via: Immunogenetics;Forced Leaf Node Lookup:immunogenetics|TI|MM|1641^13^0
10.2307/1942550|Hawaii|D006254|14300|MH|RtM via: Hawaii;Forced Leaf Node Lookup:hawaii|TI|MM;RC|1332^6^0;93^6^0
10.2307/1942550|Mosquito Vectors|D000072138|2393|MH|Forced Culicidae and Vector: Culicidae||MM;RC
10.2307/1942550|*Plasmodium|D010961|69021|MH|RtM via: Plasmodium <genus>;Forced Non-Leaf Node Lookup:plasmodiums|TI|MM;RC|596^10^0
10.2307/1942550|*Birds|D001717|26256|MH|RtM via: Wild bird;RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|1135^10^0;1613^4^0;1461^5^0;783^5^0;737^5^0;387^4^0;264^5^0;183^5^0;1140^5^0
10.2307/1942550|*Habitat|D017753|16539|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|255^7^0
10.2307/1942550|*Animals, Wild|D000835|12564|MH|RtM via: Wild bird|TI|MM;RC|1135^10^0
10.2307/1942550|*Population Dynamics|D011157|9069|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|1420^19^0
10.2307/1942550|*Forests|D065928|5646|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1454^6^0;776^6^0;972^7^0;176^6^0;1042^7^0
20787440|Animals|D000818|77698|CT|Odonata;CT Treecode Lookup: B01.050.500.131 (Odonata);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
20787440|*Odonata|D063191|76698|MH|RtM via: Anisoptera dragonflies;Forced Lookup:dragonflies;Forced Leaf Node Lookup:dragonflies;checkForceMH Boosted|TI|MM|1089^11^0
20787440|*Animals, Wild|D000835|52669|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|781^8^0
20787440|*Logistic Models|D016015|34859|MH|RtM via: Logistic Regression;Forced Leaf Node Lookup:logistic regressions|TI|MM|992^19^0
20787440|*Ecosystem|D017753|28955|MH|RtM via: Habitat;RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|1345^7^0;1257^9^0
20787440|*Incidence|D015994|27404|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|332^9^0
20787440|*Predatory Behavior|D011235|26996|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|945^9^0;578^9^0
20787440|*Wetlands|D053833|26894|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|750^8^0
20787440|*Temperature|D013696|26621|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|979^11^0
20787440|Alaska|D000413|24536|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|812^6^0
20787440|Proteins|D011506|39821|MH|||RC
20787440|Genomics|D023281|36016|MH|||RC
20787440|*Amphibians|D000663|3528|MH|RtM via: Amphibians;Forced Non-Leaf Node Lookup:amphibians|TI|MM|1462^9^0;1305^9^0;205^9^0;57^10^0
20787440|*Parasite Infection|D010272|1254|ET|Entry Term Replacement for "Parasitic Diseases";RtM via: Parasitic Diseases;Forced Non-Leaf Node Lookup:parasite infection|TI|MM|912^18^0
10.2307/2963523|Animals|D000818|31909|CT|Warblers;CT Treecode Lookup: B01.050.150.900.248 (Warblers);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Passeriformes;CT Treecode Lookup: B01.050.150.900.248 (Passeriformes);Arthropod;CT Treecode Lookup: B01.050.500.131 (Arthropod)||MM;RC
10.2307/2963523|Male|D008297|31909|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|1424^5^0
10.2307/2963523|*Warblers|D020308|30909|ET|Entry Term Replacement for "Songbirds";RtM via: Warblers;checkForceMH Boosted;Forced Non-Leaf Node Lookup:warblers|TI|MM;RC|1298^8^0;911^8^0;250^8^0;139^8^0;1516^8^0
10.2307/2963523|*Predatory Behavior|D011235|30375|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|1174^9^0;1023^9^0
10.2307/2963523|*Territoriality|D013731|15354|MH|RtM via: Territoriality;Forced Leaf Node Lookup:territoriality|TI|MM|1485^14^0
10.2307/2963523|*Rivers|D045483|13353|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|412^5^0
10.2307/2963523|*Arthropod|D001181|10539|ET|Entry Term Replacement for "Arthropods";RtM via: Arthropods;checkForceMH Boosted;Forced Non-Leaf Node Lookup:arthropods|TI|MM|823^9^0
10.2307/2963523|*Water|D014867|8298|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|582^5^0
10.2307/2963523|Tennessee|D013714|7017|MH|RtM via: Tennessee;Forced Leaf Node Lookup:tennessee|TI|MM|402^9^0;434^9^0
10.2307/2963523|*Passeriformes|D046109|25179|MH|RtM via: Prothonotary warbler|TI|MM;RC|1503^21^0;126^21^0;149^19^0
10.2307/2963523|*Habitats|D017753|18258|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1619^7^0;1326^8^0;1252^8^0;1073^7^0;954^7^0;773^7^0;694^8^0;597^7^0;77^7^0;901^8^0;235^7^0;291^7^0;668^7^0;1009^7^0
10.2307/2963523|*Population Dynamics|D011157|12432|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|103^19^0
27646029|Animals|D000818|91189|CT|Iguanas;CT Treecode Lookup: B01.050.150.900.833 (Iguanas);Brachyura;CT Treecode Lookup: B01.050.500.131 (Brachyura);CT Text Lookup: fish|TI|MM;RC|92^4^0
27646029|*Iguanas|D007076|52305|MH|RtM via: Iguanas;Forced Leaf Node Lookup:iguanas;checkForceMH Boosted|TI|MM|857^6^0;56^7^0
27646029|*Brachyura|D003386|51324|MH|RtM via: Crabs;Forced Leaf Node Lookup:crabs;checkForceMH Boosted|TI|MM|1339^5^0;976^4^0;891^4^0;81^5^0;1472^5^0
27646029|*Rosa|D027826|33902|MH|RtM via: Rosa;Forced Leaf Node Lookup:rose;checkForceMH Boosted|TI|MM|991^4^0
27646029|*Islands|D062312|20755|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|157^6^0;174^7^0
27646029|*Climate Change|D057231|20134|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|2118^14^0
27646029|*Laboratories|D007753|19927|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1301^10^0
27646029|*Herbivory|D060434|18043|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|1975^10^0
27646029|*Water|D014867|17215|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|949^5^0;744^5^0
27646029|Ecuador|D004484|16789|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|183^7^0
27646029|Influenza, Human|D007251|90189|MH|||RC
27646029|World Health Organization|D014944|44685|MH|||RC
27646029|*Nutrients|D000078622|1296|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1876^9^0
10.2307/1942557|Animals|D000818|20785|CT|Mosquito;CT Treecode Lookup: B01.050.500.131 (Mosquito);CT Text Lookup: mosquito|TI|MM;RC|1370^8^0
10.2307/1942557|*Foraminifera|D056908|19785|MH|RtM via: Foraminifera;Forced Leaf Node Lookup:foraminifera;checkForceMH Boosted|TI|MM;RC|976^12^0
10.2307/1942557|*Wetlands|D053833|19605|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM;RC|1890^5^0;1447^5^0;1264^5^0;1069^5^0;808^5^0;752^5^0;293^5^0;164^5^0;1511^5^0
10.2307/1942557|*Lakes|D060106|6462|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|827^4^0
10.2307/1942557|*Ponds|D061005|5553|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM|1064^4^0;159^4^0
10.2307/1942557|*Mosquito|D009033|4062|ET|Entry Term Replacement for "Culicidae";RtM via: Culicidae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosquitos|TI|MM;RC|1370^8^0
10.2307/1942557|*Fossils|D005580|3975|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|510^6^0
10.2307/1942557|*Rhizome|D027343|2922|MH|RtM via: Rhizome;Forced Leaf Node Lookup:rhizomes|TI|MM|1004^8^0
10.2307/1942557|*Agriculture|D000383|7032|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM;RC|1357^11^0
10.2307/1942557|*Pollen|D011058|1836|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|1845^6^0;1931^6^0;1543^6^0;1241^6^0;968^6^0;775^6^0;666^6^0;374^6^0;200^6^0;421^6^0;459^6^0;517^6^0
10.2307/1942516|Animals|D000818|36793|CT|Amphibians;CT Treecode Lookup: B01.050.150.900.090 (Amphibians);Reptiles;CT Treecode Lookup: B01.050.150.900.833 (Reptiles)||MM;RC
10.2307/1942516|Humans|D006801|36793|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human;CT Text Lookup: individuals|TI|MM|398^5^0;162^11^0
10.2307/1942516|*Temperature|D013696|8752|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|477^11^0
10.2307/1942516|Thailand|D013785|3868|MH|RtM via: Thailand;Forced Leaf Node Lookup:thailand|TI|MM|145^8^0
10.2307/1942516|*Forest|D065928|35793|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1641^6^0;1357^6^0;750^6^0;628^6^0;526^6^0;69^6^0;99^6^0;829^6^0
10.2307/1942516|*Climate|D002980|13770|MH|RtM via: Climate|TI|MM;RC|1428^7^0;558^7^0
10.2307/1942516|*Amphibians|D000663|6969|MH|RtM via: Amphibians;Forced Non-Leaf Node Lookup:amphibians|TI|MM|205^10^0
10.2307/1942516|*Reptiles|D012104|6003|MH|RtM via: Reptiles;Forced Non-Leaf Node Lookup:reptiles|TI|MM|192^8^0
27646143|Animals|D000818|30942|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
27646143|*Coral Reefs|D057894|21756|MH|RtM via: Coral Reefs;Forced Leaf Node Lookup:coral reefs|TI|MM|2417^10^0
27646143|*Hybrid Vigor|D006823|14940|MH|RtM via: Hybrid Vigor;Forced Leaf Node Lookup:hybrid vigor|TI|MM|2378^12^0
27646143|*Predatory Behavior|D011235|12657|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|1827^9^0;1235^9^0
27646143|*Ecosystem|D017753|12348|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|92^10^0
27646143|*Laboratories|D007753|12318|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1906^10^0;673^10^0;827^10^0
27646143|Guam|D006141|11607|MH|RtM via: Guam;RtM via: Guam, GU;Forced Leaf Node Lookup:guam|TI|MM|481^4^0
27646143|Tissue Engineering|D023822|29942|MH|||RC
27646143|Skin|D012867|26757|MH|||RC
27646143|*Anthozoa|D037421|8553|MH|RtM via: Order Alcyonacea;RtM via: Sinularia polydactyla;RtM via: Sinularia maxima;Forced Non-Leaf Node Lookup:corals|TI|MM|1573^11^0;1491^11^0;441^11^0;2281^9^1;2299^11^1;524^16^0;446^6^0;1496^6^0;1578^6^0
27646143|*Necrosis|D009336|4338|MH|RtM via: Necrosis;Forced Non-Leaf Node Lookup:necrosis|TI|MM|1811^8^0
27646143|*Gametes|D005854|1551|ET|Entry Term Replacement for "Germ Cells";RtM via: Gametes;RtM via: Germ Cells;Forced Non-Leaf Node Lookup:gametes|TI|MM|751^7^0
27646143|*Genotypes|D005838|1485|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM|195^9^0
27646143|Fertilization|D005306|1000|MH|Forced Non-Leaf Node Lookup:fertilizations||MM|690^13^0
27646143|Plant Extracts|D010936|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM|1683^8^0;1954^8^0
10.2307/1942651|Humans|D006801|3362104|CT|Forced Humans: individuals|TI|MM
10.2307/1942651|Animals|D000818|3362104|CT|Astacoidea;CT Treecode Lookup: B01.050.500.131 (Astacoidea);Palaemonidae;CT Treecode Lookup: B01.050.500.131 (Palaemonidae);Colubridae;CT Treecode Lookup: B01.050.150.900.833 (Colubridae);Predation;CT Treecode Lookup: F01.145.113.111 (Predation);Predation;CT Treecode Lookup: F01.145.113.252 (Predation)||MM;RC
10.2307/1942651|Adult|D000328|3362104|CT|Forced Leaf Node Lookup:adults|TI|MM|1983^6^0;2060^6^0;2197^6^0;2474^5^0;2513^5^0
10.2307/1942651|*Eichhornia|D031806|431511|MH|RtM via: Eichhornia;Forced Leaf Node Lookup:water hyacinths;checkForceMH Boosted|TI|MM|403^15^0;260^15^0;160^14^0
10.2307/1942651|*Seasons|D012621|303269|MH|RtM via: Autumn;RtM via: Seasons;RtM via: Summer;RtM via: Winter;RtM via: spring (season);Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|2419^4^0;678^4^0;1920^7^0;657^6^0;687^6^0;713^6^0;761^8^0;960^8^0
10.2307/1942651|*Astacoidea|D003400|292781|MH|RtM via: Astacoidea;Forced Leaf Node Lookup:crayfishs;checkForceMH Boosted|TI|MM;RC|2519^8^0;1242^8^0;1170^8^0
10.2307/1942651|*Wetlands|D053833|288971|MH|RtM via: Marshes;Forced Leaf Node Lookup:marshes;Forced Leaf Node Lookup:swamps|TI|MM|839^7^0;85^5^0
10.2307/1942651|*Palaemonidae|D033541|288122|MH|RtM via: Palaemonidae;Forced Leaf Node Lookup:palaemonid shrimps;checkForceMH Boosted|TI|MM|1140^17^0
10.2307/1942651|*Hyacinthus|D031423|287702|MH|RtM via: Hyacinthus;Forced Leaf Node Lookup:hyacinths;checkForceMH Boosted|TI|MM|802^8^0
10.2307/1942651|*Biomass|D018533|145210|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|282^7^0
10.2307/1942651|*Laboratories|D007753|144238|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|2690^10^0
10.2307/1942651|*Water|D014867|144178|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|879^5^0
10.2307/1942651|Florida|D005431|143539|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|152^7^0
10.2307/1942651|*Food Habits|D005247|29964|ET|Entry Term Replacement for "Feeding Behavior";RtM via: Food Habits;RtM via: Feeding behaviors;Forced Non-Leaf Node Lookup:feeding behavior|TI|MM;RC|995^11^0;1390^16^0
10.2307/1942651|*Colubridae|D017812|26598|MH|RtM via: Liodytes alleni;RtM via: Striped swamp snake|TI|MM;RC|98^13^0;77^19^0
10.2307/1942651|*Predation|D011235|25563|ET|Entry Term Replacement for "Predatory Behavior";RtM via: Predatory Behavior|TI|MM;RC|2290^9^0;608^9^0
10.2307/1942651|*Diets|D004032|16473|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|1498^7^0;1215^7^0;447^5^0
10.2307/1942651|*Food Supply|D005523|4218|MH|RtM via: Food Supply;Forced Non-Leaf Node Lookup:food supply|TI|MM|2671^11^0
10.2307/1942651|Eating|D004435|1000|MH|Forced Non-Leaf Node Lookup:food intake||MM;RC|1899^11^0;2448^11^0
10.2307/2937313|Animals|D000818|15484|CT|Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior);CT Text Lookup: animal;CT Text Lookup: animals;CT Text Lookup: home range;CT Text Lookup: home ranges;CT Text Lookup: mammal;CT Text Lookup: mammalian|TI|MM;RC|88^6^0;764^7^0;3132^11^0;955^7^0;2603^9^0;1968^7^0;3784^7^0;4259^7^0;1325^6^0;3671^6^0;5555^6^0;6242^6^0;6476^6^0
10.2307/2937313|Humans|D006801|15484|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|5782^5^0;5489^5^0
