10.2307/2484573|Female|D005260|5409|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2996071|Humans|D006801|9140032|CT|Forced Humans: families|TI|MM
10.2307/2996071|*Plumbaginaceae|D029606|737308|MH|RtM via: Plumbaginaceae;Forced Leaf Node Lookup:plumbaginaceae;checkForceMH Boosted|TI|MM|1185^14^0;995^14^0;906^14^0;853^14^0;126^14^0
10.2307/2996071|*Wood|D014934|376490|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|987^4^0;763^4^0;58^4^0;792^4^0
10.2307/2996071|*Caryophyllales|D000073559|373568|MH|RtM via: Caryophyllales;RtM via: Nepenthaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllales|TI|MM|537^14^0;688^12^0
10.2307/2996071|*Droseraceae|D031257|370727|MH|RtM via: Droseraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:droseraceae|TI|MM|705^11^0
10.2307/2996071|*Polygonaceae|D019664|369374|MH|RtM via: Polygonaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:polygonaceae|TI|MM|156^12^0
10.2307/2996071|*Silica|D012822|367919|ET|Entry Term Replacement for "Silicon Dioxide";RtM via: silicon dioxide;checkForceMH Boosted;Forced Non-Leaf Node Lookup:silica|TI|MM|325^6^0
10.2307/2996071|*Xylem|D052584|14283|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM;RC|1074^5^0
10.2307/2996071|*Magnoliopsida|D019684|7062|MH|RtM via: Magnoliopsida|TI|MM;RC|1152^12^0
10.2307/2996071|*Cell Wall|D002473|2757|MH|RtM via: perforation plate|TI|MM;RC|176^18^0
10.2307/2996071|*Staining|D013194|414|ET|Entry Term Replacement for "Staining and Labeling";RtM via: Staining method;Forced Non-Leaf Node Lookup:stainings|TI|MM|349^8^0
10.2307/2996179|Humans|D006801|4169|CT|CT Text Lookup: individuals|TI|MM;RC|691^11^0
10.2307/2996179|*Quercus|D029963|3169|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM;RC|254^7^0;111^13^0;117^7^0
10.2307/2996179|*Isoenzymes|D007527|2192|MH|RtM via: Isoenzymes;Forced Leaf Node Lookup:isoenzymes|TI|MM;RC|542^9^0;147^9^0;47^9^0
10.2307/2996179|*Trees|D014197|2134|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|905^5^0
10.2307/2996179|*Peroxidase|D009195|1583|MH|RtM via: peroxidase;checkForceMH Boosted|TI|MM|36^10^0
10.2307/2996179|*Peroxidases|D010544|1221|MH|RtM via: Peroxidases;Forced Non-Leaf Node Lookup:peroxidases|TI|MM|36^10^0
10.2307/2996179|*Cambium|D058506|1164|MH|RtM via: Cambium|TI|MM|28^7^0
10.2307/2996179|*Phenotype|D010641|492|MH|RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|277^9^0
10.2307/2484854|*Trees|D014197|38322|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|365^5^0;106^4^0
10.2307/2484854|*Quercus|D029963|14918|MH|RtM via: Quercus nigra;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM;RC|884^13^0
10.2307/2484854|*Ulmus|D034403|7841|MH|RtM via: Ulmus americana;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|481^15^0
10.2307/2484854|*Forest|D065928|28683|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|143^6^0
10.2307/2484854|*Plant|D010944|3600|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|305^5^0
10.2307/2484854|*Betulaceae|D029401|2862|MH|RtM via: Carpinus caroliniana;Forced Non-Leaf Node Lookup:carpinus|TI|MM|598^20^0
10.2307/2484854|Louisiana|D008145|0|MH|RtM via: Louisiana (geographic location)|TI|MM|124^9^0
10.2307/2484774|*Electron Probe Microanalysis|D004577|29585|MH|RtM via: Electron Probe Microanalysis;Forced Leaf Node Lookup:x-ray microanalysis|TI|MM;RC|208^19^0
10.2307/2484774|*Microscopy, Electron, Scanning|D008855|10829|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|512^28^0;235^29^0
10.2307/2484774|*Oryza|D012275|7413|MH|RtM via: Oryza sativa;Forced Leaf Node Lookup:oryza sativa;Forced Leaf Node Lookup:rice;checkForceMH Boosted|TI|MM;RC|155^12^0;142^11^0
10.2307/2484774|*Electrons|D004583|2054|MH|Forced Leaf Node Lookup:electrons|TI|MM|244^8^0
10.2307/2484774|*Mineral|D008903|1737|ET|Entry Term Replacement for "Minerals";RtM via: Minerals|TI|MM;RC|284^11^0
10.2307/2484774|*Epidermal Cells|D000078404|1617|MH|RtM via: Epidermal cells|TI|MM|129^9^0
10.2307/2484774|*Micromanipulation|D008846|1062|MH|RtM via: Micromanipulation;Forced Non-Leaf Node Lookup:micromanipulations|TI|MM|588^17^0;186^17^0
10.2307/2484774|*Plant Leaves|D018515|999|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|117^4^0
10.2307/2484774|*Epidermis|D004817|510|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|129^9^0
10.2307/2484774|Molar|D008963|1000|MH|Forced Non-Leaf Node Lookup:molars||MM|643^5^0
10.2307/2996085|*Trees|D014197|36873|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1070^5^0
10.2307/2996085|*Soil|D012987|18324|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1318^4^0;740^4^0;749^4^0;761^4^0;841^4^0
10.2307/2996085|*Quercus|D029963|17142|MH|RtM via: Quercus marilandica;RtM via: Quercus stellata;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|1108^19^0;1087^16^0
10.2307/2996085|*Helianthus|D006368|10974|MH|RtM via: Helianthus;Forced Leaf Node Lookup:helianthus;checkForceMH Boosted|TI|MM|1245^10^0
10.2307/2996085|*Limestone|D002119|6510|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:limestone|TI|MM|595^9^0;314^9^0
10.2307/2996085|*Discriminant Analysis|D016002|6393|MH|RtM via: Discriminant Analysis;Forced Leaf Node Lookup:discriminant analysis|TI|MM|707^21^0
10.2307/2996085|*Grassland|D065948|6148|MH|Forced Leaf Node Lookup:prairies|TI|MM;RC|302^7^0;1146^7^0
10.2307/2996085|*Forests|D065928|23082|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|1587^6^0;1162^8^0;685^7^0;266^6^0;53^6^0
10.2307/2996085|*Fire|D005390|16893|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1534^4^0
10.2307/2996085|*Poaceae|D006109|10620|MH|RtM via: Chasmanthium latifolium;RtM via: Danthonia spicata;RtM via: Schizachyrium scoparium|TI|MM|1265^23^0;1226^17^0;1201^23^0
10.2307/2996085|*Cluster Analysis|D016000|2061|MH|RtM via: Hierarchical Clustering;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|390^23^0;403^10^0
10.2307/2996085|*Nutrients|D000078622|1128|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|846^9^0
10.2307/2996085|*Cation|D002412|297|ET|Entry Term Replacement for "Cations";RtM via: Cations;Forced Non-Leaf Node Lookup:cations|TI|MM|812^6^0
10.2307/2996085|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|745^2^0
10.2307/2996085|Illinois|D007087|216|MH|RtM via: Illinois (geographic location)|TI|MM|81^8^0
10.2307/2484492|*Ericaceae|D029791|7814|MH|RtM via: Diplarche;RtM via: Ericaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ericaceae|TI|MM|333^9^0;449^9^0
10.2307/2484492|*Ericales|D020448|13629|MH|RtM via: Diapensia;RtM via: Diapensiaceae;RtM via: Pyxidanthera|TI|MM|48^9^0;370^13^0;62^12^0
10.2307/2484492|*Magnoliopsida|D019684|8748|MH|RtM via: Magnoliopsida|TI|MM;RC|129^12^0
10.2307/2484492|*Plant Leaves|D018515|2388|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|38^6^0
10.2307/2484492|*Neoplasms, Second Primary|D016609|51|MH|RtM via: Secondary Neoplasm|TI|MM|267^11^0
10.2307/2996815|Humans|D006801|7014834|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM|707^5^0;1105^5^0
10.2307/2996815|*Acer|D031002|839025|MH|RtM via: Acer negundo;RtM via: Acer saccharinum;Forced Leaf Node Lookup:acer negundos;checkForceMH Boosted|TI|MM;RC|671^12^0;726^16^0
10.2307/2996815|*Trees|D014197|572111|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|835^4^0;80^4^0
10.2307/2996815|*Salix|D032108|555872|MH|RtM via: Salix nigra;Forced Leaf Node Lookup:salix;checkForceMH Boosted|TI|MM;RC|885^11^0
10.2307/2996815|*Populus|D032107|553526|MH|RtM via: Populus deltoides;Forced Leaf Node Lookup:populus;checkForceMH Boosted|TI|MM;RC|898^17^0
10.2307/2996815|*Rivers|D045483|549290|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1265^5^0;1146^6^0;268^5^0
10.2307/2996815|Ohio|D009820|274021|MH|RtM via: Ohio;Forced Leaf Node Lookup:ohio|TI|MM|1059^4^0;263^4^0;302^4^0
10.2307/2996815|Species Specificity|D013045|294062|MH|||RC
10.2307/2996815|*Forests|D065928|26751|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1035^7^0;224^7^0
10.2307/2997028|*Fagales|D000073567|990|MH|RtM via: Nothofagus|TI|MM|59^10^0
10.2307/2997028|*Plant Leaves|D018515|750|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|184^4^0;101^4^0
10.2307/2997028|*Research|D012106|273|MH|RtM via: Study|TI|MM|327^7^0
10.2307/2996939|*Quercus|D029963|18792|MH|RtM via: Quercus geminata;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|95^16^0;90^3^0;130^3^0
10.2307/2996939|*Pinus|D028223|13188|MH|RtM via: Pinus palustris;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|218^15^0;193^13^0
10.2307/2996939|*Sand|D000080463|6213|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|80^4^0
10.2307/2996939|*Myrtus|D031651|5577|MH|RtM via: Myrtus;Forced Leaf Node Lookup:myrtles;checkForceMH Boosted|TI|MM|123^6^0
10.2307/2996939|Florida|D005431|2556|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM;RC|303^7^0
10.2307/2996939|*Fire|D005390|14310|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|72^4^0
10.2307/2996939|*Forest|D065928|11481|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|295^6^0
10.2307/2996939|*Poaceae|D006109|4557|MH|RtM via: Aristida stricta|TI|MM;RC|240^16^0
10.2307/2996939|*Cynodon|D031744|1278|MH|RtM via: Cynodon dactylon|TI|MM|207^9^0
10.2307/2483077|Humans|D006801|1527070|CT|Forced Humans: university;Forced Humans: college|TI|MM
10.2307/2483077|*Seedlings|D036226|133891|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|475^9^0;265^9^0
10.2307/2483077|*Wheat|D014908|72734|ET|Entry Term Replacement for "Triticum";RtM via: Triticum;RtM via: Triticum aestivum;RtM via: Wheat (Dietary);RtM via: Wheat - grass (plant);checkForceMH Boosted|TI|MM;RC|59^6^0
10.2307/2483077|*Photoperiod|D017440|67256|MH|RtM via: Photoperiod;Forced Leaf Node Lookup:photoperiods|TI|MM;RC|212^12^0
10.2307/2483077|*X-Rays|D014965|65246|MH|RtM via: Roentgen Rays;Forced Leaf Node Lookup:x-rays|TI|MM|46^5^0
10.2307/2483077|*Laboratories|D007753|64079|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1223^10^0
10.2307/2483077|*Universities|D014495|64049|MH|RtM via: College (environment);RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|1376^7^0;1251^10^0
10.2307/2483077|*Edible Grain|D002523|9045|MH|RtM via: Cereals|TI|MM;RC|767^5^0
10.2307/2483077|*Plant Structures|D018514|1860|MH|RtM via: Grains|TI|MM|767^5^0
10.2307/2483077|*Radiography|D011859|1509|MH|RtM via: Diagnostic radiologic examination;RtM via: Plain x-ray;RtM via: Radiographic imaging procedure|TI|MM|46^5^0
10.2307/2483077|*Iatrogenic Disease|D007049|1041|MH|RtM via: Adverse effects|TI|MM|749^14^0
10.2307/2484852|Female|D005260|17878|CT|Forced Lookup:female|TI|MM|578^6^0
10.2307/2484852|Male|D008297|17878|CT|Forced Lookup:male|TI|MM|710^4^0
10.2307/2484852|Humans|D006801|17878|CT|Patient Discharge;CT Treecode Lookup: E02.760 (Patient Discharge);Patient Discharge;CT Treecode Lookup: N02.421.585 (Patient Discharge)|TI|MM
10.2307/2484852|Animals|D000818|17878|CT|Life Cycles;CT Treecode Lookup: B05.500 (Life Cycles);Life Cycles;CT Treecode Lookup: G07.345.500.550.500 (Life Cycles)|TI|MM
10.2307/2484852|*Germination|D018525|10899|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|527^10^0;345^11^0;318^9^0;169^11^0;741^11^0
10.2307/2484852|*Temperature|D013696|9360|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1271^12^0;783^11^0;264^11^0;237^12^0;471^12^0;552^12^0;923^12^0
10.2307/2484852|*Germ Cells, Plant|D055993|7479|MH|RtM via: Gametophytes;Forced Leaf Node Lookup:gametophytes|TI|MM;RC|1217^12^0;1019^12^0;757^12^0;604^12^0;668^12^0
10.2307/2484852|*Patient Discharge|D010351|2565|MH|RtM via: Patient Discharge;Forced Leaf Node Lookup:discharge|TI|MM|1076^9^0
10.2307/2484852|*Pteridaceae|D029625|16878|MH|RtM via: Ceratopteris thalictroides|TI|MM;RC|59^26^0;284^12^0
10.2307/2484852|*Spores|D013170|13389|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM;RC|1089^6^0;520^6^0;303^6^0;735^5^0
10.2307/2484852|*Hot Temperature|D006358|3009|MH|RtM via: High temperature of physical object|TI|MM;RC|916^19^0;457^6^1;471^12^1
10.2307/2484852|*Biological Phenomena|D001686|2220|MH|RtM via: spore germination;RtM via: gametophyte development;RtM via: Tissue Growth|TI|MM|735^17^0;412^24^0;185^24^0;982^6^0;681^5^0;216^7^0
10.2307/2484852|*Life Cycles|D008018|1794|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages;Forced Non-Leaf Node Lookup:life cycles|TI|MM|840^11^0
10.2307/2484843|*Quercus|D029963|15090|MH|RtM via: Quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM;RC|745^3^0;624^4^0;761^3^0;852^3^0
10.2307/2484843|*Liriodendron|D031567|10983|MH|RtM via: Liriodendron tulipifera;Forced Leaf Node Lookup:liriodendron tulipiferas;Forced Leaf Node Lookup:yellow poplars;checkForceMH Boosted|TI|MM;RC|864^13^0;567^13^0;324^13^0;204^23^0;189^13^0
10.2307/2484843|*Forests|D065928|12684|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|668^6^0;504^7^0;84^7^0;293^7^0
10.2307/2484843|*Pinus|D028223|6885|MH|RtM via: Pinus <genus>|TI|MM;RC|773^4^0
10.2307/2484843|*Biological Phenomena|D001686|714|MH|RtM via: Tissue Growth|TI|MM|581^7^0
10.2307/2484843|Appalachia|D001061|297|ET|Entry Term Replacement for "Appalachian Region";RtM via: Appalachian Region|TI|MM|274^11^0
10.2307/2995919|*Terminalia|D029766|2201|MH|RtM via: Terminalia;Forced Leaf Node Lookup:terminalias;checkForceMH Boosted|TI|MM;RC|76^10^0
10.2307/2995919|*Combretaceae|D029764|708|MH|RtM via: Bucida|TI|MM|28^6^0
10.2307/2995919|*Name|D009275|6|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|181^4^0
10.2307/2484539|*Seasons|D012621|264|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|144^8^0
10.2307/2484539|*Bays|D061006|256|MH|Forced Leaf Node Lookup:bay|TI|MM|93^3^0
10.2307/2484539|*Plants|D010944|3123|MH|RtM via: Plants|TI|MM;RC|176^6^0
10.2307/2484539|*Tracheophyta|D064028|1293|MH|RtM via: Tracheophyta|TI|MM|64^15^0
10.2307/2484539|*Geraniaceae|D031314|855|MH|RtM via: California (plant)|TI|MM|105^10^0
10.2307/2484539|California|D002140|3|MH|RtM via: California|TI|MM|105^10^0
10.2307/2996624|*Solidago|D036624|5079|MH|RtM via: Solidago shortii;Forced Leaf Node Lookup:solidago;checkForceMH Boosted|TI|MM;RC|28^16^0
10.2307/2996624|*Asteraceae|D019659|4389|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM;RC|54^10^0
10.2307/2996624|Plant Extracts|D010936|42|MH|||RC
10.2307/2996624|*Burkitt Lymphoma|D002051|18|MH|RtM via: African Burkitt's lymphoma|TI|MM|69^7^0
10.2307/2995976|*Solidago|D036624|11412|MH|RtM via: Solidago sempervirens;Forced Leaf Node Lookup:goldenrods;Forced Leaf Node Lookup:solidago;checkForceMH Boosted|TI|MM|69^21^0;58^9^0
10.2307/2995976|*Trees|D014197|9127|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|813^4^0
10.2307/2995976|*Biomass|D018533|8102|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1270^7^0;469^7^0;216^7^0
10.2307/2995976|*Inflorescence|D056626|4175|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|720^14^0
10.2307/2995976|New Jersey|D009515|2597|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM|168^10^0
10.2307/2995976|*Gene-Environment Interaction|D059647|2594|MH|Forced Leaf Node Lookup:environment interaction|TI|MM|1390^23^0
10.2307/2995976|*Habitat|D017753|11145|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|104^7^0
10.2307/2995976|*Reproduction|D012098|11028|MH|RtM via: Reproduction|TI|MM;RC|1085^12^0;850^12^0;658^12^0;416^12^0;240^12^0
10.2307/2995976|*Fecundity|D005298|9039|ET|Entry Term Replacement for "Fertility";RtM via: Fertility;Forced Non-Leaf Node Lookup:fecundity|TI|MM;RC|1294^9^0;1109^9^0
10.2307/2995976|*Plant Leaves|D018515|1284|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|899^6^0
10.2307/2995976|Genotype|D005838|1000|MH|Forced Non-Leaf Node Lookup:genotypes||MM|1380^8^0
10.2307/2995976|*Islands|D062312|3090|MH|RtM via: Islands|TI|MM|143^6^0
10.2307/2996320|*Quercus|D029963|22246|MH|RtM via: Quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM;RC|1047^4^0
10.2307/2996320|*Seedlings|D036226|14434|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1616^8^0
10.2307/2996320|*Lichens|D008011|13384|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|1151^7^0;1009^7^0
10.2307/2996320|*Rosmarinus|D027542|11860|MH|RtM via: Rosemary;Forced Leaf Node Lookup:rosemary;checkForceMH Boosted|TI|MM|2251^8^0;2206^8^0;1574^8^0;1410^8^0;1107^8^0;808^8^0;274^8^0
10.2307/2996320|*Life History Traits|D000071421|10331|MH|RtM via: Life History Strategies;Forced Leaf Node Lookup:life history strategies|TI|MM|44^23^0
10.2307/2996320|*Fire|D005390|42318|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|2340^4^0;2019^4^0;1769^4^0;1639^4^0;1484^4^0;1320^4^0;976^4^0;862^4^0;107^4^0
10.2307/2996320|*Habitat|D017753|26673|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1963^7^0
10.2307/2996320|*Pinus|D028223|8589|MH|RtM via: Pinus <genus>|TI|MM;RC|691^4^0
10.2307/2482189|*Intention|D033182|1945|MH|RtM via: Intention - mental process;Forced Leaf Node Lookup:intentions|TI|MM|58^9^0
10.2307/2482189|*Hyphomycetes|D003904|2646|ET|Entry Term Replacement for "Mitosporic Fungi";RtM via: Hyphomycetes;Forced Non-Leaf Node Lookup:hyphomycetes|TI|MM|1123^12^0
10.2307/2482189|*Opinion|D001290|1989|ET|Entry Term Replacement for "Attitude";RtM via: Opinions|TI|MM|518^7^0
10.2307/2482189|*Emotions|D004644|1716|MH|RtM via: doubt|TI|MM|324^5^0
10.2307/2482189|*Hope|D065026|1008|MH|RtM via: Hope (emotion)|TI|MM|947^5^0
10.2307/2482189|*Personal Communication|D003142|813|ET|Entry Term Replacement for "Communication";RtM via: Personal Communication;Forced Non-Leaf Node Lookup:personal communication|TI|MM|916^22^0
10.2307/2483952|*Karyotyping|D007621|6414|MH|RtM via: Karyotype determination procedure|TI|MM;RC|129^10^0
10.2307/2483952|*Karyotypes|D059785|5901|ET|Entry Term Replacement for "Karyotype";RtM via: Karyotype (cell structure)|TI|MM;RC|129^10^0
10.2307/2483952|*Diploidy|D004171|2022|MH|RtM via: Diploid Cell|TI|MM;RC|28^7^0
10.2307/2482282|United States|D014481|18638|CT|RtM via: United States;Forced Non-Leaf Node Lookup:united states|TI|MM;RC|657^13^0
10.2307/2482282|Mexico|D008800|17638|MH|RtM via: Mexico;RtM via: Baja California;RtM via: Mexican;Forced Lookup:baja california;Forced Leaf Node Lookup:baja california;Forced Leaf Node Lookup:yucatan;Forced Leaf Node Lookup:mexico|TI|MM;RC|305^6^0;444^15^0;415^7^0;239^7^0;554^6^0
10.2307/2482282|*Eragrostis|D031750|3836|MH|RtM via: Eragrostis;Forced Leaf Node Lookup:eragrostis;checkForceMH Boosted|TI|MM|65^16^0;71^10^0
10.2307/2482282|Guatemala|D006166|3715|MH|RtM via: Guatemala;Forced Leaf Node Lookup:guatemala|TI|MM;RC|565^9^0
10.2307/2482282|*Grass|D006109|2206|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM|59^5^0
10.2307/2482282|Northern America|D009656|11391|ET|Entry Term Replacement for "North America";RtM via: Northern America|TI|MM;RC|316^8^1;333^7^1
10.2307/2482282|Central America|D002489|8415|MH|RtM via: Central America;Forced Non-Leaf Node Lookup:central america|TI|MM;RC|325^15^0
10.2307/2482282|America|D000569|3366|ET|Entry Term Replacement for "Americas";RtM via: Americas|TI|MM;RC|163^7^0
10.2307/2482282|*Environment|D004777|993|MH|RtM via: Michoacan|TI|MM|543^9^0
10.2307/2484560|Humans|D006801|4595332|CT|Forced Humans: individuals|TI|MM
10.2307/2484560|*Fragaria|D031985|372272|MH|RtM via: Fragaria x ananassa;RtM via: Strawberries;Forced Leaf Node Lookup:strawberry;checkForceMH Boosted|TI|MM|28^10^0
10.2307/2484560|*Pistils|D035264|4581|ET|Entry Term Replacement for "Flowers";RtM via: Pistil|TI|MM;RC|184^10^0
10.2307/2484560|*Geraniaceae|D031314|2058|MH|RtM via: California (plant)|TI|MM|78^10^0
10.2307/2484560|*Plants|D010944|1554|MH|RtM via: Plants|TI|MM;RC|148^6^0;39^6^0
10.2307/2484560|*Disorders of Sex Development|D012734|186|MH|RtM via: Hermaphroditism|TI|MM|333^13^0;255^14^0
10.2307/2484560|California|D002140|3|MH|RtM via: California|TI|MM|78^10^0
10.2307/2484084|*Fagus|D029964|10271|MH|RtM via: Beech;Forced Leaf Node Lookup:beechs;checkForceMH Boosted|TI|MM;RC|96^5^0
10.2307/2484084|*Acer|D031002|4433|MH|RtM via: Acer;Forced Leaf Node Lookup:maples;checkForceMH Boosted|TI|MM|102^5^0
10.2307/2484084|*Reproducibility of Results|D015203|1393|MH|Forced Lookup:reproducibility|TI|MM|2345^15^0
10.2307/2484084|*Forest|D065928|12339|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|108^6^0
10.2307/2484084|*Tracheophyta|D064028|2961|MH|RtM via: Tracheophyta|TI|MM|44^15^0
10.2307/2484084|*Running|D012420|33|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|1376^7^0
10.2307/2483824|*Tetraploidy|D057891|16611|MH|RtM via: Tetraploidy;Forced Leaf Node Lookup:tetraploids|TI|MM;RC|316^11^0
10.2307/2483824|*Agropyron|D031702|15726|MH|RtM via: Genus Agropyron;Forced Leaf Node Lookup:agropyrons;checkForceMH Boosted|TI|MM|1227^9^0
10.2307/2483824|*Elymus|D031749|11601|MH|RtM via: Elymus;Forced Leaf Node Lookup:elymus;checkForceMH Boosted|TI|MM|1238^6^0
10.2307/2483824|*Metaphase|D008677|11058|MH|RtM via: Metaphase;RtM via: Mitotic Metaphase;Forced Leaf Node Lookup:metaphase|TI|MM|542^9^0
10.2307/2483824|*Anaphase|D000705|10596|MH|RtM via: Anaphase;RtM via: Mitotic Anaphase;Forced Leaf Node Lookup:anaphases|TI|MM|674^8^0
10.2307/2483824|*Meiotic Prophase I|D049469|7995|MH|RtM via: Diakinesis;Forced Leaf Node Lookup:diakinesis|TI|MM|430^10^0
10.2307/2483824|*Stains|D004396|4005|ET|Entry Term Replacement for "Coloring Agents";RtM via: Stains;checkForceMH Boosted|TI|MM|874^9^0
10.2307/2483824|*Chromosome Pairing|D023902|16125|MH|RtM via: Chromosome Pairing;Forced Non-Leaf Node Lookup:chromosome pairings|TI|MM;RC|1047^18^0;487^18^0
10.2307/2483824|*Chromosomes|D002875|6447|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM;RC|620^11^0;384^10^0
10.2307/2483824|*Pollen|D011058|3093|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|884^6^0;779^6^0;160^6^0
10.2307/2483824|*Plants|D010944|2706|MH|RtM via: Plants|TI|MM;RC|218^6^0
10.2307/2483824|*Seeds|D012639|2490|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|971^4^0;920^5^0;77^5^0
10.2307/2483824|*Hybrid Cells|D006822|1296|MH|RtM via: Hybrid Cells;Forced Non-Leaf Node Lookup:hybrid cells|TI|MM;RC|414^12^0
10.2307/2482595|United States|D014481|3973|CT|RtM via: United States;Forced Non-Leaf Node Lookup:united states|TI|MM|100^13^0
