10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
20110841|Usnea flammea is reported as new to North America, based on four specimens from coastal Maine.
10.2307/3242172|Range extensions of Umbilicaria polyrrhiza (L.) Ach., Umbilicaria virginis Schaer., Dermatocarpon squamellum (Nyl.) Herre, Heppia lutosa (Ach.) Nyl., Pannaria leucostictoides Ohlsson and Parmeliopsis ambigua (Wulf.) Nyl. are noted. Umbilicaria deusta (L.) Baumg., Koerberia biformis Mass., Lecanora supertegens (Arn.) Zahlbr., Toninia tristis (Th.Fr.) Th.Fr., Lecidea paddensis (Tuck.) Zahlbr. and Parmeliopsis hyperopta (Ach.) Arn. are newly reported from California.
10.2307/3244478|Two localities of Sphagnum viride Flatb. are reported as new to the Iberian Peninsula moss flora. The sites and habitats of the peatmoss are described and the morphological characteristics outlined.
10.2307/3243119|Epipterygium, a small genus of the Bryaceae, is represented by four American species, which occur north of Colombia. Leaves in Epipterygium are arranged in a 2/5 phyllotaxy, and the degree of leaf dimorphism varies both within and between species. Epipterygium tozeri and E. wrightii are rather distinct, but E. mexicanum and E. immarginatum of Mexico and Central America inter grade morphologically. Analysis of variance of each of 18 morphological characters shows that the two species differ significantly in leaf cell width, length to width ratio, and border development. Epipterygium mexicanum is the correct name for plants formerly known as E. immarginatum. Descriptions and illustrations are provided for the four Epipterygium species of North and Central America and the West Indies.
10.2307/3242886|Bartramia ithyphylla and Oligotrichum hercynicum are reported from Nova Scotia for the first time. Additional distributional reports of Barbula reflexa, Fontinalis flaccida, F. sullivantii, and Weissia hedwigii, all rare in Nova Scotia, are given. The reports of F. sullivantii and W. hedwigii represent northern extensions of their ranges in eastern North America. Recent reports to the contrary, the seta of O. hercynicum is found to be variable in color.
10.2307/3241758|Brachymenium andersonii is described as a new species from Macon County, North Carolina. Its outstanding features include widely spaced leaves that are spirally twisted when dry and that have a lax areolation and strong marginal serration.
10.2307/3240489|Ramalina pollinaria (Westr.) Ach. is designated as the lectotype of both Platisma [Hill?] Adans. (1763) and Platysma [Hill] Hill (1773). Platisma Hoffm. (1790) is typified by the lectotype Cetraria sepincola (Ehrh.) Ach. but, illegitimate as a later homonym, Platisma Hoffm. does not replace Cetraria Ach. (1803). The generic name Platisma [Hill?] Adans. is proposed for addition to the list of nomina rejicienda versus the well known generic name Ramalina Ach. (1810), a name which has already been conserved.
3244865|The genus Philonotis is generally considered taxonomically difficult because of high levels of phenotypic variation and frequent intergradation between species. Philonotis fontana and P. caespitosa, two poorly understood taxa that appear to be widespread across Europe and North America, are difficult to distinguish and some authors consider them two varieties of one species or even synonyms. Isozyme variation at 13 putative loci among 22 European samples representing these two species indicates that the two taxa are genetically distinct although closely related (Nei's genetic identity = 0.84). In a second part of the study, ten individuals were sampled from each of four populations from the Czech Republic; one population was clearly P. fontana (based on morphology), one was P. caespitosa, and two populations were morphologically aberrant and could not easily be assigned to one species or the other. This second study tested alternative hypotheses that the intermediate phenotypes reflect morphological plasticity, or that they result from interspecific hybridization. The results corroborate genetic differences between P. fontana and P. caespitosa, but the two morphologically aberrant populations contained alleles from both species. Plants in one of the morphologically aberrant populations were more distinct genetically from both P. caespitosa and P. fontana than were the two species from one another. The other morphologically aberrant population could be viewed as either intermediate between the two species in terms of its isozymes, or it could be included in a broadly circumscribed P. caespitosa. The results are consistent with interspecific hybridization, although phenotypic plasticity probably also contributes to morphological variation.
10.2307/3241969|Mosses desiccate rapidly during daylight hours after a major summer rainfall in the Sonoran Desert. Probably less than 9 hours are available for net photosynthesis, although microhabitat differences may increase this time slightly for certain colonies.
20061073|Protein Kinase C-like activity was established in Marchantia polymorpha. Different concentrations were detected in young and old tissue extracts from untreated and spermine-treated thalli after agarose gel electrophoresis in the presence of a PKC-specific fluorescent tags. Cytosolic putative PKC concentrations (nmol/g tissue) in untreated young thalli were higher than concentrations in old tissue. Old spermine-treated tissue possessed higher cytosolic putative PKC concentrations than young untreated thalli. Both young and old spermine-treated tissue extracts possessed higher total protein levels than young and old untreated tissue extracts. The data suggest that spermine-treatment evoked a qualitative and quantitative decrease in senescence.
10.2307/3240782|The known distribution of the two species of Scopelophila in North, Central, and South America is summarized. Scopelophila cataractae (Mitt.) Broth. is reported as new to North Carolina and is redescribed. Tortula williamsii Bartr. and Merceyopsis mexicana Bartr. are placed in synonymy with S. cataractae. The name Scopelophila (Mitt.) Lindb. is retained and Merceya Schimp. reduced to synonymy.
10.2307/3241190|Mycobionts of Hawaiian lichens in culture produced the same basic type of colonies as other lichen fungi and a variety of metabolic products. Most Hawaiian mycobionts formed gelatious sheaths around the hyphae and some excreted large amounts of viscous material into the culture medium. Phaeographina fulgurata formed abundant conidia which could not be related to those of free-living fungi. A study of five mycobionts revealed deficiencies for biotin and thiamine. Maltose and lactose were the most favored carbon sources for nine tested mycobionts. Attempts to synthesize a lichen from two Hawaiian mycobionts and a Trentepohlia phycobiont isolated from a lichen from Massachusetts, were partially successful. Seven hundred single-spore cultures of Cladonia cristatella mycobionts showed wide variations in form, size, and pigmentation, which indicated, for this lichen at least, a sexual mechanism including fusion of nuclei with different genetic factors. The presence of mating types was not detected and chemical tests showed that these fungi did not produce lichen substances. Pycnidia were formed by several species of Buellia mycobionts, but there is no direct evidence to support their suggested role in sexual reproduction.
3244691|The pyrenocarpous lichen Henrica americana is described as new. It is the second known species of the genus that is related to Polyblastia. The new species is characterized by small, brown, umbilicate squamules on a black hypothallus; black, double-walled perithecia perched on the squamules or on the stipes; and brown muriform ascospores. It is known only from a single locality in Montana.
3244842|We studied the chemistry and morphology of the Moroccan Usnea collections in R.-G. Werner's herbarium (BC-Herb.Werner). Seven taxa we believe have now been correctly identified and the collections annotated: Usnea dasaea, U. esperantiana, U. glabrata (undetected by Werner), U. lapponica, U. subscabrosa, U. substerilis, and U. wasmuthii. Among these taxa, Usnea dasaea, U. esperantiana, U. glabrata, U. subscabrosa, and U. wasmuthii are here reported from Morocco for the first time. The nomenclature of an additional three taxa has been updated: Usnea filipendula, U. mutabilis, and U. subfloridana. Five taxa have been excluded because they were misidentified: Usnea articulata var. intestiniformis, U. ceratina var. subceratina, U. florida subsp. pseudostrigosa, U. fulvoreagens, and U. hirta. Intraspecific chemical variability was found in Usnea subfloridana and U. substerilis. The specificity of lichen substances is shown to be an essential tool for the identification of Usnea species, and the value of morphological characteristics in the delimitation of the species is discussed.
10.2307/3241149|The known Wisconsin distributions of 20 locally rare species are given, ten of which are new to the state: Amphidium lapponicum (Hedw.) Schimp., A. mougeotii (B.S.G.) Schimp., Cynodontium strumiferum (Ehrh.) De Not., Helodium paludosum (Sull.) Aust., Hylocomium pyrenaiceum (Spruce) Lindb., Plagiothecium denticulatum var. tenellum B.S.G., P. elegans (Hook.) Sull., Pterigynandrum filiforme Hedw., Schistostega pennata (Hedw.) Hook. & Tayl., and Seligeria campylopoda Kindb.
10.2307/3242625| Entodon hampeanus C. Mll., a Mexican-Andean moss, is reported for the first time from the United States. It was collected in Oconee County, South Carolina, in 1958, by Wilfred B. Schofield, but remained unidentified until recently. The creation of Lake Jocassee has since flooded the site and the moss is now extinct there. Nevertheless E. hampeanus can be added to a growing list of tropical American bryophytes that are disjunctive to the Southern Appalachian Mountains. A description and illustrations of the moss are provided. 
3244794| Five new species of foliicolous lichens are described from the montane forest in the States of Oaxaca and Puebla of Mexico. All new taxa belong to the family Gomphillaceae (Ostropales): Gyalectidium nashii sp. nov., G. paolae sp. nov., G. rosae-emiliae sp. nov., Gyalideopsis applanata sp. nov. (also known from Costa Rica and Guyana), and Tricharia oaxacae sp. nov. In addition, pycnidia are described for Fellhanera naevia (Vain.) Lcking & Cceres, and diahyphae for Tricharia subalbostrigosa Lcking. 
41289816|The moss genus Sciuro-hypnum (Hampe) Hampe is revised for the Mediterranean area. A key to the species of the Mediterranean area and Europe, descriptions, illustrations and distribution data for the nine species recognized are provided. New records for countries of the study area are reported.
20110749|The new saxicolous species introduced by Josiah Lowe from his collections from the Adirondack Mountains, New York are reassessed. Lecidea albonigra J. Lowe, L. columnata J. Lowe, L. furva J. Lowe, L. humilis J. Lowe, L. marciensis J. Lowe, L. rugosa J. Lowe, L. soredifera J. Lowe, L. suberratica J. Lowe, and L. subramosa J. Lowe are reduced to synonymy with other, previously described taxa and must be removed from the North American lichen checklist. Lecidea nemoralis J. Lowe is a member of the Lecidea hypnorum group closely allied to L. ahlesii (Krb.) Nyl., and is here treated as L. ahlesii var. nemoralis. The status of some other lecideoid lichens in North America is also reassessed and L. marylandensis H. Magn. is shown to be a synonym of Miriquidica leucophaea (Rabenh.) Hertel & Rambold, Lecidea planetica Tuck. ex Willey to be a synonym of Micarea erratica, and the single North American collection of Micarea melanabola is shown to be a misidentification of Lecidea tugidula Fr. The new combination Porpidia subsimplex (H. Magn.) Fryday is made and shown to be an earlier name for P. tahawasiana Gowan. Lecidella subviridis Tnsberg, Toninia squalescens (Nyl.) Th. Fr., and the lichenicolous fungus Endococcus verrucosporus Alstrup are reported for the first time from North America, and Micarea elachista (Krb.) Coppins & R. Sant. is confirmed as occurring in North America. The author citations of four species described by Willey in the Appendix of Tuckerman's Synopsis of North American Lichens (Biatora furvonigrans, B. meadii, Lecidea micytho, and L. planetica) are corrected to Tuck. ex Willey.
10.2307/3241230|The asci of the lichen-forming fungi can be classified into two principal groups, the archaeascal type and the bitunicate type. In the archaeascal type, found almost exclusively in discolichens of the order Lecanorales, the wall is thick and is made of a thin refractive exoascus (covered with a gelified layer that often stains blue with iodine) and a thick endoascus that is often two-layered, the internal layer becoming thicker towards the top where it forms an apical dome. Several formations, some lamellate and staining blue with iodine, differentiate inside the apical dome, which is hollowed out at its base, forming an ocular chamber in which is often lodged an apical nasse. The dehiscence is usually bivalvate or rostrum-like, rarely of the jack-in-the-box type. The bitunicate type, which is also known among numerous nonlichen-forming Ascomycetes, is found in the pyrenolichens and in diverse discolichens of the order Graphidales. The ascal wall is also two-layered, the apical dome is thick and lamellate but not amyloid, there is an apical nasse, and dehiscence is of the jack-in-the-box type.
10.2307/3242570|The cryptogamic vegetation on neoglacial till at eleven sites in the Teton Range, Grand Teton National Park, Wyoming, was investigated. Nine of the sites are moraines fronting glaciers, while two sites are rock glaciers. The distribution and abundance of terricolous cryptogams is strongly correlated with aspect: north and northeast facing sites support better developed vegetation than south and southeast facing sites. Distribution of saxicolous lichens is controlled more by substrate age and type than aspect. The steep moraine slopes are too dry and unstable to allow the establishment of terricolous cryptogams.
20110940|Primer sequences are provided for amplification of 21 microsatellite-containing loci in Sphagnum. Although these primers were developed for species in Sphagnum section Subsecunda, they amplify microsatellite loci in most species that have been tested across the genus Sphagnum. Results are described from a survey of genetic variation in three species of Sphagnum collected in China: S. junghuhnianum in section Acutifolia, and S. palustre and S. imbricatum in section Sphagnum. Six and eight multilocus genotypes were detected within one population each of S. junghuhnianum and S. palustre, respectively. Four populations of S. imbricatum were sampled; they vary substantially in allele frequencies and in the amount of genetic diversity detected; overall, approximately 40% of the genetic variation sampled within S. imbricatum could be attributed to differentiation among populations. Microsatellite profiles indicate that S. palustre gametophytes are diploid whereas those of S. junghuhnianum and S. imbricatum are haploid.
10.2307/3241948|The moss flora of the Uxpanapa Valley includes a high proportion of epiphytes and a smaller number of rock inhabitants. The majority of the moss species are taxa of widespread tropical distribution with practically no endemics in the region. Seven species are reported as new to the Mexican moss flora.
40982954|Entodon is taxonomically revised for East Asia. All taxa previously considered to occur in this region were studied. Among the morphological observations, special attention is paid to peristome structure by means of the scanning electron microscope. Thirty-three species are recognized for East Asia. Nineteen new synonyms are proposed at the specific level. A key to the identification of the species is provided, and for each species synonymy, illustrations, descriptions, habitat, distribution and representative specimens examined are given.
40982958|An analysis of liverwort diversity in Rio de Janeiro state has been done, with the objective to elucidate the richness and floristic composition of the different formations of the Atlantic Forest, and the influence of the altitudinal gradient on the liverworts. For this, data from literature, herbarium, floristic inventories and data bank of the state's flora were combined. The liverwort flora is composed of 360 taxa distributed among 102 genera and 31 families, emphasizing the importance of the remaining part of Rio de Janeiro's tropical rainforest for the conservation of the liverwort diversity in Brazil. In the state's remaining tropical rainforests 50% of the liverwort flora of the country and 72% of that of the Atlantic Forest are found. The flora is not uniform, presenting differences in species richness and floristic composition in different formations of the state's Atlantic Forest, in addition to a floristic gradient along the altitudinal gradient. The Montane formation has higher species richness (238), number of exclusive taxa (63) and endemics (27), followed by the Upper Montane formation (173, 58 and 21, respectively). Lejeuneaceae stands out as the richest family in all formations, whereas other families are exclusive to certain formations. As is true for mosses, several liverworts appear as diagnostic features of altitudinal belts in Atlantic Forest, corroborating the use of bryophytes as indicators of altitudinal zonation in tropical rainforests.
10.2307/3243525|Brachydontium olsonii, a new species from Honduras, differs from all other species of the genus by its shorter setae, longer, broader, and smooth capsules, and its leaves that have narrowly recurved margins and obtuse apices. Gametophytically the species appears closest to the Australian B. intermedium. Sporophytically the species is most similar to the South American-African B. flexisetum and the Mexican B. curvisetum. The type collection appears to have been collected on bark. It may, however, represent a mixed gathering; thus the substrate on which the species was found needs verification.
41486745|Bryoria divergescens, which was previously known only from the 19 th century holotype collection, has been rediscovered in various localities in Yunnan and also in Sichuan, southern China. This species should now be considered an endemic to the Hengduan Mountains region. It is characterized by its erect thallus, 3-8 cm tall, main branches 1-2 mm in diam., true lateral spinules, sparse pseudocyphellae,  ciliate apothecia, the presence of rumarprotocetraric and lobaric acids. It usually grows on branches of conifers.
10.2307/3240991| The new species Cetraria chicitae produces atranorin and alectoronic and -collatolic acids. It is widely distributed and locally common in eastern North America and eastern Asia but is apparently rare in Europe where it is known from a single locality in France. 
10.2307/3240516|Penzigiella (?) robusta Broth., originally referred to the Pterobryaceae, is conspecific with Neodolichomitra gigantea Nog. of the Hypnaceae. The new combination N. robusta (Broth.) Nog. is required.
10.2307/3243841| Jonesiobryum is removed from the Funariaceae and placed in the Rhachitheciaceae. The names Jonesiobryum Bizot & Pcs ex Allen & Pursell, J. cerradense, Vital ex Allen & Pursell, J. sphaerocarpum Bizot ex Allen & Pursell, and J. termitarum Vital ex Allen & Pursell are validated. A key to the species is provided. 
10.2307/3242739| Levierella perserrata P.-Varde & Leroy was collected in Michoacn, Mexico and represents a genus and species new to Mexico and the Americas. Both Levierella and L. perserrata are described and the latter is illustrated. Its disjunct distribution from Africa cannot be explained by continental displacement alone; further research in Mexico and elsewhere should add supporting information to explain this pattern of distribution. 
10.2307/3243436| In southern Africa the subfamily Macromitrioideae (Orthotrichaceae) consists of four genera, 11 species, and one subspecies. The following taxa are recognised: Macrocoma, consisting of M. lycopodioides (Schwaegr.) Vitt, M. pulchella (Hornsch.) Vitt, and M. tenue (Hook. & Grev.) Vitt subsp. tenue; Macromitrium, consisting of M. lebomboense Van Rooy, M. levatum Mitt., M. macropelma C. Mll., M. richardii Schwaegr., and M. serpens (Hook. & Grev.) Brid.; Schlotheimia, consisting of S. ferruginea (Hook. & Grev.) Brid., S. percuspidata C. Mll., and S. rufopallens C. Mll.; and Cardotiella secunda (C. Mll.) Vitt. Lectotypes are selected for several of the southern African names. 
10.2307/3242220|A new species, Tortula ammonsiana, is described from the state of West Virginia. In the relationship of T. laevipila (Brid.) Schwaegr. and T. pagorum (Milde) DeNot., its distinguishing characteristics include a reddish costa shortly excurrent as a yellowish or reddish apiculus and clusters of costate, smoothly apiculate brood leaves produced on branched stalks in leaf axils.
20485779|Ten species of lichenicolous fungi on Collemataceae in the Iberian Peninsula are recorded. A new species, Pronectria pilosa, on Collema furfuraceum is proposed and three new records from the Iberian Peninsula are indicated, Endococcus pseudocarpus, Nectria brutia and Toninia leptogii. The known distribution of several treated species is enlarged notably.
10.2307/3241202| Seven species of Hookeriaceae, not treated in the previous papers pertinent to North America and the West Indies nor indicated in the lists of taxa for the same, are included in this study: Callicostella scabriseta (Hook.) Jaeg., Mexico and West Indies; Daltonia splachnoides (Sm.) Hook. & Tayl., British Columbia; Hookeriopsis guadalupensis (Brid.) Jaeg., Mexico; H. heteroica Card., United States; Hypnella pilifera (Hook, & Wils.) Jaeg., Mexico; Lepidopilum subtortifolium Bartr., Mexico; and Leskeodon cubensis (Mitt.) Thr., Mexico. Two species, Daltonia splachnoides and Hypnella pilifera, are described and illustrated as new records. An appendix includes additions and corrections noted since the previous publications in the series and a list of excluded species which have been cited for North America and the West Indies. 
10.2307/3240579|Aulacopilum brittoneae and Erpodium acrifolium are described as new from Mexico. The similarities and differences between E. coronatum and E. pringlei are discussed; E. coronatum is reported as new to the flora of Guatemala and Mexico. Erpodium balansae is synonymous with E. glazioui, which is reported as new to Mexico. Erpodium opuntiae is reduced to synonymy under E. paraguense, and E. latifolium is reduced to synonymy under Solmsiella biseriata, a species for which the range is extended to include Cuba and Venezuela.
10.2307/3244459| Pyrenocollema japonicum H. Harada is described as new on the basis of a specimen from Iwate-ken, northern Japan. It is characterized by having a purplish-brown, smooth thallus;  sessile (or immersed only at base),  globose, black perithecia without thalline cover; 1-septate ascospores (20 x 5 m); and ellipsoid pycnoconidia (2-3 x ca 1 m). It occurs on periodically submerged rocks in forested gorges. 
10.2307/3242594|Two crustose lichens belonging to the family Roccellaceae from Ascension Island in the South Atlantic Ocean, are discussed. Roccellina jamesii, newly described, is closely related to R. capensis and R. expectata from South Africa and Tasmania respectively. Dirina insulana previously only known from Madeira occurs on Ascension in both its fertile and sorediate states. Roccellina jamesii is a partial parasymbiont of Dirina insulana (esp. f. sorediata). The phytogeographical significance and implications of both species are discussed.
10.2307/3242298|Pterigynandrum, since its inception, has been an unnatural genus. All the species in the genus, except P. filiforme, are transferred to other genera, leaving Pterigynandrum monotypic. Pterigynandrum sinense and Leucodon thomsonii are transferred into Forsstroemia, the former as F. leptodontoidea nom. nov. Forsstroemia is placed in the resurrected Leptodontaceae, along with Leptodon, Leucodontopsis and Pseudocryphaea. Other heterogeneous elements in the Leucodontaceae and Cryphaeaceae are discussed. Pterigynandrum decolor is transferred into Leptopterigynandrum. Garysmithia bifurcata is synonymized with L. austro-alpinum and L. clavatum Buck & Crum is described as new; P. brandisii is the same as Eurohypnum leptothallum. Pterigynandrum sharpii is placed in Mittenothamnium. Pterigynandrum filiforme var. mexicanum is transferred into the Sematophyllaceae in the new genus Horridohypnum as H. mexicanum.
23321067|The taxonomic status of two poorly known Andean species is reviewed. Their diagnostic characters are illustrated and discussed. Bartramia microbasis Mll. Hal. is proposed as a new synonym of Anacolia laevisphaera (Taylor) Flowers and Mielichhoferia modesta Mll. Hal. is reduced to synonymy of Pohlia wahlenbergii (F. Weber & D. Mohr) A. L. Andrews. Four new lectotypes are selected, including for Glyphocarpa laevisphaera Taylor and Bartramia subsessilis Taylor.
10.2307/3243990|The seven species of Geocalycaceae (Hepaticae) in North America west of the hundredth meridian are discussed, keyed, and provided with distribution maps. Chiloscyphus polyanthus is reported new to Arizona and Saskatchewan, Geocalyx graveolens new to Colorado, Northwest Territories, and Saskatchewan, Lophocolea bidentata new to Northwest Territories, L. heterophylla new to Alaska and Arizona, and L. minor new to Arizona.
10.2307/3241494|Lichen determinations were made on aspect samples of bark of Populus tremuloides growing in forest and parkland conditions in three locations -the foothills near Waterton Park (Alberta), the Cypress Hills of southwestern Saskatchewan, and the Aspen Parkland north of Biggar, Saskatchewan. Of 30 lichen species, only seven occurred in all of the areas and on more than 10% of the samples. Species occurrence and abundance could be correlated with measured differences in aspect (several species showing north-side preference), and with generally observed differences in annual precipitation, conditions of bark, and possibly with supply of nutrients. In lichen-aspen community, the Cypress Hills showed more similarity to the Aspen Parkland of Central Saskatchewan than to the foothills area of the Rocky Mountains.
10.2307/3243200| Thalli of Umbilicaria muhlenbergii randomly collected from five collection sites in the Muskoka region of Ontario, Canada were sorted into six morphological classes on the basis of vegetative and apothecial characters. These thalli were pretreated with acetone to remove extracellular phenolics and subsequently crude protein extracts from them were subjected to isoelectric focusing and specific enzyme staining. Relative band frequencies were determined and transformed to arcsine values and paired t-tests were performed to determine whether there were significant frequency differences among different morphological types. There were 57 bands of enzyme activity in the eight enzyme systems assayed and of these 23 were consistently present in all samples. At p  0.05 there were no significant differences in banding patterns among morphological classes nor were there differences among collection sites. Cluster analysis, however, showed five distinct groups corresponding to groups of thalli collected at the five sites. Morphological classes appeared to represent different stages in development. 
3244654|Using rope techniques for access, we surveyed epiphytes on five Sitka spruce trees up to 92 m tall in an old-growth redwood forest. We quantified epiphyte diversity by sampling 5% of each tree's surface area of axes (branches >5 cm diameter) and branchlets (branches <5 cm diameter, including foliage). Epiphyte communities included 57 macrolichen, 15 crustose lichen, 17 bryophyte, and two fern species. The five most abundant species-Isothecium myosuroides, Polypodium scouleri, Polypodium glycyrrhiza, Lobaria pulmonaria, and Frullania nisquallensis-contributed 42.1, 13.3, 8.4, 6.7, and 4.7% of the total epiphyte biomass, respectively. There was an average of 36.2 kg of bryophytes, 9.9 kg of lichens, 12.7 kg of ferns, and 131 kg of associated dead organic matter per tree. Axes supported 83% of the biomass and 98% of the dead organic matter. At the whole-tree level, bryophyte biomass was 11.3 times higher and lichen biomass was 2.5 times lower on axes than branchlets. Ferns were restricted to axes. Ordination analysis revealed one dominant gradient in epiphyte composition that was positively correlated with height and lichen diversity, and negatively correlated with bryophyte diversity. Chlorolichens dominated the exposed portion of the gradient with equivalent amounts of cyanolichens and bryophytes. Mosses dominated the intermediate portion of the gradient with equivalent amounts of liverworts, cyanolichens, and chlorolichens. There was very little lichen cover in the sheltered portion of the gradient, which was dominated by bryophytes. Extensive bryophyte mats with large quantities of dead organic matter promote biological diversity on Sitka spruce in redwood forest canopies by storing water and serving as habitats for desiccation-sensitive organisms.
40732288|Verrucaria mundula P. M. McCarthy var. mundula is recorded for the first time for the Northern Hemisphere. Differences between Iberian specimens and the Australian type material are indicated, and the species is compared to other freshwater Verrucaria species found in Europe.
10.2307/3242988|Meiotic studies were made of six species belonging to three genera included in three families. Three species, namely, Brothrella erythrocaulis (Mitt.) Fleisch. (n = 10), B. falcata (Doz. et Molk.) Fleisch. (n = 10), and B. harveyana (Mitt.) Dix. (n = 10) are studied cytologically for the first time. Chromosome counts for Eurhynchium pulchellum (Hedw.) Jenn. (n = 11) and Macrothamnium submacrocarpum (Renn. & Card.) Fleisch. (n = 19) are different from earlier reports for these species. Erratic meiotic cycle resulting in the formation of triads was observed in Brothrella harveyana.
10.2307/3241921|Cyathodium tuberculatum Udar et Singh sp. nov. from Darjeeling (Eastern Himalayas) India is described. The species is characterized by tuberculate spores with considerable variation in size and usually tetraspiral elaters.
10.2307/3243510| A new species, Mittenothamnium deguchii Nishimura & Kanda, is described from Aisn, Chile. This species is closely related to M. scalpellifolium (C. Muell.) Crum, but is distinguished by secund branch leaves, minute and dentate pseudoparaphyllia, and no central strand in the stem. Distinguishing features between the new species and Hygrohypnum reduncum (Mitt.) Nishimura are also given. 
41289794|Three sorediate and four primarily fertile species of the lichen genus Hypogymnia are accepted for Chile in the present study, and only two of these correspond to species listed in current checklists. Hypogymnia antarctica, H. lugubris and H. subphysodes are considered to be common; the former has previously been poorly understood. Hypogymnia pulverata and H. bitten are reported here as new to Chile, the latter also as new to austral areas. The former is not convincingly well separated from H. subphysodes. Hypogymnia enteromorphoides and H. solidepedicellata are also accepted here, based on literature reports, whereas six species reported rather recently from southern South America are not accepted here for this area. Sorediate species are much more widely distributed than primarily fertile ones, not only in the present study area, but also on a global scale. Vittatolic, 2'-O-methylphysodic, and 3-hydroxyphysodic acids were found to be reliable differential compounds between some of the species studied. The superficially similar genera Hypogymnia and Menegazzia are of strong biogeographical interest, as they show parallel distribution patterns, although they have probably originated in different hemispheres.
10.2307/3241728|Abnormal receptacles, bearing both archegonia and antheridia, are described and illustrated in Marchantia polymorpha from India.
10.2307/3244527|Relationships between the species of the genus Orthotrichum (Musci, Orthotrichaceae) are analyzed with cladistic methods. As a result, a new phylogeny is presented: Orthotrichum paraguense is moved to a genus of its own, Sehnemobryum gen.nov. and the remaining species are shown to make up a monophyletic group, which is tentatively divided into eight subgroups to which no formal names have been assigned. Orthotrichum callistomum (with immersed stomata) is shown to be closer related to species with superficial stomata in sect. Leiocarpa, than to any species with immersed stomata, and O. cyathiforme (with superficial stomata) seems related to species with immersed stomata in subg. Pulchella. The earlier proposed relationship between O. obtusifolium and O. exiguum is supported, whereas no support is given for a separation of the species O. gymnostomum and O. obtusifolium into a genus of their own. Immersed stomata most likely developed twice within the genus, whereas a doubling of the chromosomes from a basic number of n = 6 followed by subsequent loss of one chromosome to n = 11 may have happened once or twice. The study supports the earlier assumption that the genus Orthotrichum probably originated in the Southern Hemisphere, and that the ancestral species most likely was an epiphyte having superficial stomata, a chromosome number of n = 6, symmetric division of the IPL, well developed endostome segments with a complete median line on the outside, prostomes, the dry exostome teeth recurved, capsules not being constricted below the mouth when dry, and medium-sized leaves. The taxonomic position was confirmed for O. bolanderi, whereas it was changed for O. pulchrum, O. speciosum, O. latimarginatum, and O. anaglyptodon. The systematic position of Orthotrichum cyathiforme is still not clear. The species Orthotrichum callistomum, O. cyathiforme, and O. exiguum seem essential to the understanding of the infrageneric evolution.
10.2307/3242676| Grimmia obtusifolia was described from Tibet, China in 1981, while Schistidium obtusifolium was described from Quebec, Canada in 1984. These two species are superficially similar in having small plants with rounded-obtuse, concave, oblong-ovate leaves. They differ in the former possessing bistratose upper leaf cells, 5 to 7 m in width and differentiated alar cells, while S. obtusifolium has unistratose upper leaf cells (with bistratose margins) 7 to 9 m in width and undifferentiated alar cells. Grimmia obtusifolia has not been found with sporophytes, while the systylious condition has not been verified in S. obtusifolium. Even though the generic position of these two taxa is not clear, they are distinct, but superficially similar species. 
10.2307/3242005|Sphagnum angermanicum Mel., an amphiatlantic, oceanic species, was found at the margin of a clear pond in the White Mountains of New Hampshire. The species is thus considered a disjunct with a distribution pattern similar to that of other coastal species with rare and local outposts in the mountains.
43188824|Summarized are results of field studies of small, cushion-forming species of Grimmia in high altitude mountain areas of New York State, Vermont, New Hampshire, and Maine, and of associated research with herbarium specimens from these regions. We here report eight species. Grimmia anodon is added to the flora of the Northeast, and new records and clarifications are presented for G. donniana, G. incurva, G. longirostris, G. milleri, G. sessitana, and G. trichophylla. Collections of these species came from rock types of varying composition (calcareous to acidic), sometimes different vegetation, and varying altitudinal ranges. In spite of these advancements in knowledge, Grimmia of the northeastern United States remains incompletely understood, taxonomically and ecologically.
40732298|The new species Graphis colinsiae Lucking & Lumbsch is described from the Fiji Islands.The species belongs to the G. insulana aggregate and is intermediate between G. insulana (Mll.Arg.) Lucking & Sipman and G. subhiascens (Mll. Arg.) Lucking. All three species have a similar thallus and lirellae morphology and anatomy and ascospore-type, but differ in hymenial and chemical characters: G.insulana has an inspersed hymenium and contains norstictic acid, whereas G.subhiascens lacks inspersions and secondary substances. The new species, G.collinsiae, agrees with G.insulana in having an inspersed hymenium, but it lacks secondary metabolites.
40982986|Erpodium cubense, previously known only from Cuba, was found in the Dominican Republic as misidentified collections of E. domingense. Fissidens cryptoneuron, previously known from tropical Africa and eastern Brazil, is reported from Bolivia. The actual or real range of a species depends upon a number of physical and biological factors. The perceived range of a species approximates the actual range; its propinquity to the actual range is dependent on correct specimen identification and scope of collecting activity.
23321032|We report the results of recently investigated collections from Everglades National Park and Biscayne National Park that have yielded several new additions to the North American lichen checklist, and Caloplaca lecanorae, a new lichenicolous lichen found on the thallus of Lecanora leprosa. Those species new to North America include Arthonia compensatula, A. ochrospila, Bacidina pallidocarnea, Byssoloma absconditum, Coenogonium isidiigerum, C. isidiosum, Enterographa pallidella, Lecanora hypocrocina, L. tropica, Monoblastia palmicola and Parmotrema wrightii. Both Lecanora species have been reported from Mexico, which is excluded from the aforementioned checklist.
