41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941177|*Fruit|D005638|11918|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|7597^5^0;7645^8^0;5319^8^0;1590^6^0
41941177|*Seed Dispersal|D058614|9412|MH|RtM via: Seed Dispersal;Forced Leaf Node Lookup:seed dispersals|TI|MM|5359^14^0
41941177|*Language|D007802|8566|MH|RtM via: figurative;RtM via: Languages;Forced Leaf Node Lookup:languages|TI|MM|2389^7^0;7167^9^0
41941177|*Hypocotyl|D018546|6916|MH|RtM via: Hypocotyl;Forced Leaf Node Lookup:hypocotyls|TI|MM|1634^10^0
41941177|Argentina|D001118|6676|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|6783^9^0;1446^9^0
41941177|Paraguay|D010239|6628|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|6592^8^0
41941177|*American Natives|D000086562|5566|MH|Forced New Lookup:native american|TI|MM|7151^15^0
41941177|*Names|D009275|6519|MH|RtM via: Common Name;RtM via: Generic Name;RtM via: Name;RtM via: Person Name|TI|MM|7127^12^0;329^5^0
41941177|*Biological Evolution|D005075|6123|MH|RtM via: Biological Evolution|TI|MM|5725^12^0
41941177|*Hybridization, Genetic|D006824|5490|MH|RtM via: Crossbreeding|TI|MM|1929^13^0
41941177|*Chromosome Structures|D022004|3366|MH|RtM via: Chromosome Structures|TI|MM|5421^24^0
41941177|*Clustering|D016000|3027|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|2620^10^0;2303^10^0
41941177|*Fertility|D005298|2877|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|3011^9^0
41941177|*Reproduction|D012098|2274|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|7626^13^0;5293^12^0
41941177|*Infertility|D007246|1521|MH|RtM via: Infertility;Forced Non-Leaf Node Lookup:infertility|TI|MM|5490^11^0;2248^13^0;2189^11^0;5585^11^0;5657^11^0
41941177|*Plant Leaves|D018515|1506|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|7704^6^0
41941177|*Systems, Reproductive|D005835|1029|ET|Entry Term Replacement for "Genitalia";RtM via: Genitalia;Forced Non-Leaf Node Lookup:reproductive systems|TI|MM|5262^20^0
41941177|*Pollen|D011058|924|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|2241^6^0
41941177|*Civilization|D002962|852|MH|RtM via: Civilization;Forced Non-Leaf Node Lookup:civilizations|TI|MM|7250^12^0
41941177|*Habit|D006184|348|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|5328^5^0;3076^5^0
41941142|*Paullinia|D032126|7193|MH|RtM via: Paullinia pinnata;Forced Leaf Node Lookup:paullinia pinnatas;checkForceMH Boosted|TI|MM;RC|142^17^0
41941142|Cupania|C000633709|5289|NM|RtM via: Cupania;Forced SCR Leaf Node Lookup:cupania|TI|MM|190^7^0
41941142|*Sapindaceae|D029631|5288|HM|RtM via: Cupania;RtM via: Houssayanthus;RtM via: Urvillea|TI|MM|190^7^0;206^13^0;229^8^0
41941144|Animals|D000818|2298|CT|Ctenophora;CT Treecode Lookup: B01.050.500.325 (Ctenophora);Gills;CT Treecode Lookup: A13.421 (Gills)||MM;RC
41941144|*Prosopis|D029862|1298|MH|RtM via: Prosopis sericantha;RtM via: Prosopis <angiosperm>;Forced Leaf Node Lookup:prosopis;checkForceMH Boosted|TI|MM;RC|170^19^0;48^8^0
41941144|Paraguay|D010239|382|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM;RC|248^8^0;108^8^0
41941144|*Cordia|D031213|326|MH|RtM via: Cordia;Forced Leaf Node Lookup:cordias;checkForceMH Boosted|TI|MM|21^6^0
41941144|*Gills|D005880|115|MH|RtM via: Gill structure;Forced Leaf Node Lookup:gill|TI|MM|190^4^0
41941144|*Ctenophora|D037302|297|MH|RtM via: Nuda|TI|MM|57^4^0
41941144|*Record|D011996|12|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|216^8^0
41941129|Adult|D000328|6211|CT|Forced Leaf Node Lookup:adults|TI|MM|400^5^0
41941129|Humans|D006801|6211|CT|Lookup: Aged Rule|Lookup: Aged Rule|MM
41941129|*Nectars|D057048|1481|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM|1494^9^0
41941129|*Plant Leaves|D018515|5211|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|431^4^0;414^6^0
41941129|*Magnoliopsida|D019684|3714|MH|RtM via: Magnoliopsida|TI|MM;RC|323^6^0
41941129|*Malvaceae|D019660|1419|MH|RtM via: Byttneria|TI|MM|1973^9^0;1265^9^0;755^9^0;262^9^0;92^9^0
41941129|*Organization|D009938|732|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|3187^12^0
41941191|*Candida|D002175|763|MH|RtM via: Candida (fungus);checkForceMH Boosted;Forced Non-Leaf Node Lookup:candida|TI|MM|599^7^0;24^7^0
41941191|*Cytogenetic Analysis|D020732|5283|MH|RtM via: Cytogenetic Analysis;Forced Non-Leaf Node Lookup:cytogenetic analysis|TI|MM;RC|348^20^0;203^11^0
41941191|*Genome|D016678|4098|MH|RtM via: Genome|TI|MM;RC|636^6^0;480^7^0;448^6^0
41941191|*Cytogenetic|D003582|2754|ET|Entry Term Replacement for "Cytogenetics";RtM via: Cytogenetics|TI|MM|203^11^0
41941191|*Genomics|D023281|1056|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM|480^7^0
41941122|*Arachis|D010367|487|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM|78^7^0
41941122|*Environment|D004777|162|MH|RtM via: Para (geographic area)|TI|MM|139^4^0
41941197|Animals|D000818|1540|CT|Manduca;CT Treecode Lookup: B01.050.500.131 (Manduca);Cladocera;CT Treecode Lookup: B01.050.500.131 (Cladocera)||MM;RC
41941197|*Sida Plant|D000076248|540|MH|RtM via: Sida <angiosperm>|TI|MM|141^4^0
41941197|*Malvaceae|D019660|480|MH|RtM via: Peltaea obsita|TI|MM|41^14^0
41941197|*Manduca|D018402|33|MH|RtM via: Colla (invertebrate)|TI|MM|164^5^0;66^5^0
41941197|*Cladocera|D033361|18|MH|RtM via: Sida <Cladocera>|TI|MM|141^4^0
43574278|Paraguay|D010239|1766|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM;RC|181^8^0;93^8^0
43574278|Argentina|D001118|1763|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|301^9^0;131^9^0;79^9^0
43574278|Cladonia ramulosa|C000667203|234|NM|Forced New Lookup:cladonia ramulosa|TI|MM|191^17^0
43574278|Cladonia subradiata|C000667249|234|NM|Forced New Lookup:cladonia subradiata|TI|MM|21^19^0
43574278|*Ascomycota|D001203|1623|MH|RtM via: Cladonia ramulosa;RtM via: Cladonia subradiata|TI|MM;RC|191^17^0;21^19^0
43574298|*Sapium|D031287|1665|MH|RtM via: Sapium;Forced Leaf Node Lookup:sapiums;checkForceMH Boosted|TI|MM|195^6^0;159^6^0
43574298|*Fruit|D005638|1425|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|149^6^0
43574298|*Wood|D014934|1131|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|55^4^0
43574298|*Plant Leaves|D018515|2478|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|40^4^0
43574298|*Pollen|D011058|501|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|21^6^0
43574298|*Research|D012106|327|MH|RtM via: Study|TI|MM|237^7^0
41941365|Humans|D006801|1465|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941365|Paraguay|D010239|465|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|372^8^0;188^8^0
41941365|*Hispanic Americans|D006630|411|MH|RtM via: Paraguayan|TI|MM|76^10^0
41941365|*Magnoliopsida|D019684|240|MH|RtM via: Loasaceae;RtM via: Mentzelia;RtM via: Mentzelia aspera|TI|MM|478^9^0;173^9^0;441^9^0;21^9^0;318^16^0
41941365|*Environment|D004777|192|MH|RtM via: Para (geographic area)|TI|MM|354^4^0
41941321|*Vernonia|D035741|1430|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM|383^8^0;58^8^0
41941321|*Eupatorium|D036602|1340|MH|RtM via: Eupatorium (plant);Forced Leaf Node Lookup:eupatoriums;checkForceMH Boosted|TI|MM|348^10^0;21^10^0
41941321|Argentina|D001118|328|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|336^9^0;135^9^0
41941321|*Environment|D004777|132|MH|RtM via: Para (geographic area)|TI|MM|480^4^0;322^4^0
41941321|*Record|D011996|81|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|103^8^0
41941321|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|441^3^0
41941189|*Chromosomes|D002875|1362|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|407^17^0
41941189|Phylogeny|D010802|62|MH|||RC
41941189|*Malvaceae|D019660|54|MH|RtM via: Gaya|TI|MM|161^4^0;133^4^0
41941224|*Rubiaceae|D019666|5826|MH|RtM via: Galianthe peruviana;RtM via: Borreria|TI|MM;RC|191^19^0;351^8^0;235^8^0;105^9^0;74^9^0;40^9^0
41941224|*Name|D009275|27|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|329^4^0
41941139|Animals|D000818|2395|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
41941139|*Sterculiaceae|D019660|1346|ET|Entry Term Replacement for "Malvaceae";RtM via: Ayenia;RtM via: Byttneria;RtM via: Malvaceae;RtM via: Rayleya;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sterculiaceae|TI|MM|306^6^0;189^9^0;40^13^0;21^7^0
41941139|Brazil|D001938|287|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|121^6^0
41941139|*Malvales|D000077142|1395|MH|RtM via: Family Sterculiaceae|TI|MM|40^13^0
41941139|*Gastropoda|D049851|570|MH|RtM via: Bahiensis|TI|MM|100^9^0
41941151|Animals|D000818|1664|CT|Heteroptera;CT Treecode Lookup: B01.050.500.131 (Heteroptera)||MM;RC
41941151|*Heteroptera|D020062|585|MH|RtM via: Macrolophus|TI|MM;RC|207^11^0
41941151|*Sapindaceae|D029631|126|MH|RtM via: Urvillea;RtM via: Houssayanthus|TI|MM|30^8^0;75^13^0
41941151|*Name|D009275|45|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|329^4^0
41941151|*Serogroup|D065288|30|MH|RtM via: Australis|TI|MM|380^9^0
41941151|*Chromosomes|D002875|87|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|270^17^0
41941193|Animals|D000818|5630|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)|TI|MM
41941193|*Arachis|D010367|4630|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM;RC|721^7^0;300^7^0;120^7^0
41941193|*Gastropoda|D049851|1821|MH|RtM via: Retusa|TI|MM|219^6^0
41941193|Phylogeny|D010802|829|MH|||RC
41941193|*Chromosomes|D002875|1935|MH|RtM via: Chromosome number;RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|21^18^0;650^11^0;603^11^0;135^10^0
41941214|*Trees|D014197|4700|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|52^4^0
41941214|*Colubrina|D031953|2630|MH|Forced Leaf Node Lookup:colubrinas;checkForceMH Boosted|TI|MM|141^9^0
41941214|*Fabaceae|D007887|12240|MH|RtM via: Anadenanthera colubrina;RtM via: Parapiptadenia|TI|MM;RC|127^23^0;212^14^0
41941214|*Karyotype|D059785|7410|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|334^9^0;113^10^0
41941214|*Karyotyping|D007621|3795|MH|RtM via: Karyotype determination procedure|TI|MM;RC|334^9^0;113^10^0
41941214|*Diploidy|D004171|2943|MH|RtM via: Diploid Cell|TI|MM;RC|25^7^0
41941101|*Cotyledon|D018548|2659|MH|RtM via: Cotyledon plant;Forced Leaf Node Lookup:cotyledons|TI|MM|1548^10^0;1436^10^0
41941101|*Indican|D007200|1874|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|509^7^0
41941101|*Cation|D002412|1143|ET|Entry Term Replacement for "Cations";RtM via: Cations;Forced Non-Leaf Node Lookup:cations|TI|MM|1581^6^0;1633^6^0
41941101|*Respiration|D012119|996|MH|RtM via: Respiration;Forced Non-Leaf Node Lookup:respiration|TI|MM|1598^11^0;1501^11^0;1368^11^0;1101^11^0
41941101|*Doxorubicin|D004317|708|MH|RtM via: Doxorubicin/Vinorelbine Regimen|TI|MM|1578^2^0
41941101|*Water|D014867|618|MH|RtM via: Distilled water;RtM via: water;Forced Non-Leaf Node Lookup:water|TI|MM|954^15^0;88^4^0;964^5^0
41941390|Animals|D000818|2707|CT|CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|230^7^0
41941390|*Ethnobotany|D019448|1707|MH|RtM via: Ethnobotany|TI|MM|139^14^0
41941390|*Ethnopharmacology|D020834|1443|MH|RtM via: Ethnopharmacology|TI|MM|158^20^0
41941390|*Environment|D004777|504|MH|RtM via: Para (geographic area)|TI|MM|1418^4^0
41941390|*Ethnography|D000884|447|ET|Entry Term Replacement for "Anthropology, Cultural";RtM via: Ethnography|TI|MM|360^14^0;123^14^0
41941390|*Fears|D005239|180|ET|Entry Term Replacement for "Fear";RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fears|TI|MM|714^5^0
41941390|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1312^3^0
41941406|Humans|D006801|19769962|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|1033^5^0
41941406|*Language|D007802|733878|MH|RtM via: Languages;RtM via: Diegueno - Language;Forced Leaf Node Lookup:languages|TI|MM|366^9^0;1082^5^0
41941406|*Clergy|D002977|733842|MH|RtM via: Priests;Forced Leaf Node Lookup:priests|TI|MM|235^7^0
41941406|Argentina|D001118|733659|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|1120^9^0;67^9^0
41941406|*Names|D009275|2637|MH|RtM via: Name;RtM via: Person Name|TI|MM|380^5^0
41941406|*Program Evaluation|D015397|1734|MH|RtM via: Program Evaluation|TI|MM|505^22^0
41941406|*Anthropology|D000883|1554|MH|RtM via: Anthropology|TI|MM|575^15^0
41941406|*Ethnography|D000884|1221|ET|Entry Term Replacement for "Anthropology, Cultural";RtM via: Ethnography|TI|MM|308^12^0
41941406|*Hispanic|D006630|1113|ET|Entry Term Replacement for "Hispanic Americans";RtM via: Hispanics;Forced Non-Leaf Node Lookup:hispanics|TI|MM|170^8^0
41941406|*Ethnomedicine|D008519|780|ET|Entry Term Replacement for "Medicine, Traditional";RtM via: Ethnomedicine;Forced Non-Leaf Node Lookup:ethnomedicine|TI|MM|647^13^0;21^13^0
41941406|*Natural Resources|D000067936|771|MH|RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|724^17^0
41941406|*Phytochemical|D064209|582|ET|Entry Term Replacement for "Phytochemicals";RtM via: Phytochemicals;Forced Non-Leaf Node Lookup:phytochemical|TI|MM|843^13^0
41941301|Animals|D000818|2935|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)||MM;RC
41941301|*Asteraceae|D019659|1075|MH|RtM via: Asteraceae;RtM via: Vernonieae;RtM via: Chronopappus;RtM via: Lychnophora;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lychnophoras|TI|MM|582^10^0;70^10^0;570^10^0;58^10^0;985^12^0;729^12^0;497^12^0;246^12^0;960^11^0;748^11^0;472^11^0;267^11^0
41941301|Brazil|D001938|913|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|645^6^0;145^6^0
41941301|*Turbinates|D014420|388|MH|RtM via: Nasal turbinate bone structure;Forced Leaf Node Lookup:turbinates|TI|MM|444^9^0
41941301|*Lepidoptera|D007915|1935|MH|RtM via: Grais|TI|MM|638^5^0;138^5^0
41941301|*Kidney Glomerulus|D007678|732|MH|RtM via: Kidney Glomerulus|TI|MM|412^10^0;320^10^0
41941301|*Kidney Diseases|D007674|225|MH|RtM via: Renal glomerular disease|TI|MM|412^10^0;320^10^0
41941301|*Urinary Tract|D014551|207|MH|RtM via: Renal glomerular disease|TI|MM|412^10^0;320^10^0
41941256|Brazil|D001938|298|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|248^6^0;115^6^0
41941256|*Rubiaceae|D019666|699|MH|RtM via: Galianthe|TI|MM;RC|191^9^0;154^9^0;60^9^0;21^9^0
41941256|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|256^3^0
41941231|*Fabaceae|D007887|3637|MH|RtM via: Fabaceae;RtM via: Galactia;RtM via: Galactia marginalis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM;RC|63^8^0;53^8^0;146^19^0
41941231|*Karyotypes|D059785|15723|ET|Entry Term Replacement for "Karyotype";RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|445^10^0;299^10^0
41941231|*Karyotyping|D007621|13356|MH|RtM via: Karyotype determination procedure|TI|MM;RC|445^10^0;299^10^0
41941227|*Germination|D018525|24070|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|480^11^0
41941227|*Eugenia|D000068856|22423|MH|RtM via: Eugenia myrcianthes;RtM via: Euginia uniflora;checkForceMH Boosted|TI|MM;RC|225^18^0;204^16^0
41941227|*Myrtaceae|D027822|20494|MH|RtM via: Myrtaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myrtaceae|TI|MM;RC|276^9^0
41941227|*Euphorbiaceae|D019665|18649|MH|RtM via: Euphorbiaceae;RtM via: Sebastiania brasiliensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM;RC|414^13^0;380^24^0
41941227|*Seedlings|D036226|16103|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|496^9^0;47^9^0
41941227|*Sapotaceae|D029632|13150|MH|RtM via: Sapotaceae;RtM via: Chrysophyllum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sapotaceae|TI|MM|191^10^0;124^13^0
41941227|*Sapium|D031287|12221|MH|RtM via: Sapium;Forced Leaf Node Lookup:sapiums;checkForceMH Boosted|TI|MM|344^6^0
41941227|*Polygala|D031801|11471|MH|RtM via: Polygala;Forced Leaf Node Lookup:polygala;checkForceMH Boosted|TI|MM|288^8^0
41941227|*Polygalaceae|D029608|9397|MH|RtM via: Polygalaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:polygalaceae|TI|MM|329^12^0
41941227|Argentina|D001118|4507|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|101^9^0
41941227|*Seeds|D012639|7122|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|464^5^0
41941227|*Woods|D014934|501|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|71^5^0
41941227|*Environment|D004777|483|MH|RtM via: Woods|TI|MM|71^5^0
41941286|Female|D005260|6999|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Ovarian Follicle;CT Treecode Lookup: A05.360.319 (Ovarian Follicle);CT Text Lookup: ovary|TI|MM;RC|226^5^0
41941286|*Ovary|D010053|5999|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|226^5^0
41941286|*Sterculia|D032361|5224|MH|RtM via: Sterculia (plant);Forced Leaf Node Lookup:sterculias;checkForceMH Boosted|TI|MM|1465^9^0;21^9^0
41941286|*Ovule|D056771|4252|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|926^5^0;738^5^0;682^5^0;610^5^0;369^6^0
41941286|origen|C009784|3080|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|2817^6^0;2200^6^0
41941286|*Fruit|D005638|2609|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1348^5^0
41941286|*Ovarian Follicle|D006080|4434|MH|RtM via: Ovarian Follicle|TI|MM|1359^8^0
41941286|*Azocines|D001392|3079|HM|RtM via: origen|TI|MM|2817^6^0;2200^6^0
41941286|*Integumentary System|D034582|2667|MH|RtM via: Integumentary system|TI|MM|1045^10^0;452^10^0
41941286|*Skin|D012867|2466|MH|RtM via: Skin;RtM via: Skin, Human|TI|MM|1045^10^0;452^10^0
41941286|*Seed|D012639|930|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1242^4^0;936^4^0;800^4^0
41941286|Fertilization|D005306|1000|MH|Forced Non-Leaf Node Lookup:fertilizations||MM|877^13^0
41941286|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1527^3^0;1706^3^0
41941167|Peru|D010568|2585|MH|RtM via: Peru;Forced Leaf Node Lookup:peru|TI|MM;RC|229^4^0;81^4^0
41941167|Brazil|D001938|2082|MH|RtM via: Amazonas|TI|MM;RC|71^8^0
41941167|*Malvaceae|D019660|57|MH|RtM via: Ayenia|TI|MM|206^6^0;159^6^0;143^6^0;21^6^0
41941167|GZMB protein, human|C509213|28|NM|RtM via: GZMB protein, human|TI|MM|137^4^0
41941167|*Granzymes|D053804|27|HM|RtM via: GZMB protein, human|TI|MM|137^4^0
41941342|*Convolvulaceae|D027722|8157|MH|RtM via: Convolvulaceae;RtM via: Jacquemontia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:convolvulaceae|TI|MM;RC|42^14^0;235^12^0;105^12^0
41941342|*Ipomoea|D027741|4194|MH|RtM via: Ipomoea vivianae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ipomoea|TI|MM;RC|217^16^0;87^16^0
41941342|Argentina|D001118|732|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|206^9^0;62^9^0
41941218|*Sapindaceae|D029631|375|MH|RtM via: Urvillea|TI|MM;RC|41^8^0
41941218|Chromosomes, Plant|D032461|166|MH|||RC
41941074|lime|C016538|7957|NM|RtM via: calcium oxide;Forced SCR Leaf Node Lookup:lime|TI|MM|1028^4^0;694^4^0
41941074|*Medicago sativa|D000455|4791|MH|RtM via: Alfalfa;Forced Leaf Node Lookup:medicago sativa;Forced Leaf Node Lookup:alfalfa;Forced Leaf Node Lookup:lucerne;checkForceMH Boosted|TI|MM|619^7^0;628^15^0;100^7^0;109^15^0
41941074|*Clay|D000077215|3681|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM|800^4^0
41941074|*Powders|D011208|3381|MH|RtM via: Powder dose form;Forced Leaf Node Lookup:powder;checkForceMH Boosted|TI|MM|1037^6^0;703^6^0
41941074|*Soil|D012987|1968|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|725^4^0
41941074|*Rhizobium|D012231|1344|MH|RtM via: Rhizobium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rhizobium|TI|MM|483^9^0
41941074|*Calcium Compounds|D017610|7956|HM|RtM via: calcium oxide|TI|MM|1028^4^0;694^4^0
41941074|*Oxides|D010087|3927|HM|RtM via: calcium oxide|TI|MM|1028^4^0;694^4^0
41941074|*Phosphorus|D010758|1209|MH|RtM via: phosphorus|TI|MM|745^10^0
41941074|*Seed|D012639|1068|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1006^4^0
41941074|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|309^2^0;836^2^0
41941201|Female|D005260|23399|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|667^5^0
41941201|*Nectars|D057048|22399|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM;RC|1120^9^0;889^9^0
41941201|*Turnera|D029647|5870|MH|RtM via: Turnera (plant);Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM;RC|21^7^0
41941201|*Fruit|D005638|3355|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1308^5^0
41941201|*Ovary|D010053|1867|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|974^5^0;667^5^0
41941201|*Flowers|D035264|8838|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|816^7^0;626^7^0;954^7^0
41941201|*Plant Leaves|D018515|3513|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|611^6^0
41941201|*Seeds|D012639|1341|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1015^5^0;694^5^0
41941201|*Environment|D004777|648|MH|RtM via: Sylvatic|TI|MM|389^8^0
41941201|Africa|D000349|471|MH|RtM via: Africa|TI|MM|131^6^0
41941140|*Phloem|D052585|17273|MH|RtM via: Phloem;Forced Leaf Node Lookup:phloems|TI|MM;RC|789^6^0;389^6^0;826^6^0
41941140|*Trichomes|D064201|16526|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM;RC|262^9^0
41941140|*Wood|D014934|4982|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|1775^4^0;204^4^0
41941140|*Nectars|D057048|4298|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM|1799^9^0;1469^9^0;293^9^0
41941140|Plant Vascular Bundle|D058526|0|MH|Plants Found: vascular bundle||MM;RC
41941140|*Xylem|D052584|19704|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM;RC|779^5^0
41941140|*Malvaceae|D019660|7695|MH|RtM via: Ayenia;RtM via: Byttneria;RtM via: Rayleya|TI|MM|1886^6^0;1637^6^0;1897^9^0;1623^9^0;1791^7^0;1611^7^0;123^7^0
41941140|*Plant Leaves|D018515|7002|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|220^4^0
41941140|*Veins|D014680|2508|MH|RtM via: Veins|TI|MM|1317^5^0;1117^5^0
41941140|*Epidermis|D004817|1347|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|1556^9^0;1100^9^0;251^9^0;1160^9^0
41941141|Animals|D000818|59362|CT|Cladocera;CT Treecode Lookup: B01.050.500.131 (Cladocera)||MM;RC
