42901758|Animals|D000818|6458|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
42901584|Humans|D006801|7186|CT|Lookup: Aged Rule||MM;RC
42901584|Adult|D000328|7186|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|185^5^0;1407^5^0
42901584|*Thermotolerance|D000071436|6186|MH|RtM via: Thermotolerance;Forced Leaf Node Lookup:heat tolerance|TI|MM|346^14^0
42901584|*Temperature|D013696|5991|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1768^12^0;118^12^0;1899^11^0
42901584|*Wind|D014919|5730|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:winds|TI|MM|1231^4^0;871^4^0;576^4^0;139^5^0
42901584|*Proteaceae|D039105|4587|MH|RtM via: Proteaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:proteaceae|TI|MM|3573^10^0;1052^10^0
42901584|*Soil|D012987|2946|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|891^4^0;598^5^0
42901584|*Myrtaceae|D027822|2853|MH|RtM via: Myrtaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myrtaceae|TI|MM|3647^9^0;1168^9^0
42901584|*Heat Stress Disorders|D018882|6060|MH|RtM via: Heat Stress Disorders|TI|MM|1692^11^0
42901584|*Hot Temperature|D006358|3630|MH|RtM via: Temperature extreme;RtM via: Hot Temperature|TI|MM|1891^19^0;1820^7^0;937^3^0;135^3^0
42901584|*Stress, Heat|D018869|2841|ET|Entry Term Replacement for "Heat-Shock Response";RtM via: Heat Shock Stress;Forced Non-Leaf Node Lookup:heat stress|TI|MM|1692^11^0
42901584|*Cold Temperature|D003080|2298|MH|RtM via: Cool - action|TI|MM|1801^7^0
42901584|*Habitats|D017753|1347|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|4282^8^0;1643^8^0
42901584|*Clustering|D016000|1053|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM|413^10^0
42901584|*Plant Leaves|D018515|588|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|1964^4^0;1763^4^0;1350^4^0;1326^4^0;905^6^0;781^6^0;306^4^0;839^6^0;1017^6^0;408^4^0;425^4^0;1981^4^0
42901584|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|4730^3^0
42901584|Australia|D001315|1836|MH|RtM via: Australia|TI|MM|48^9^0
42902028|*Carbon|D002244|3155|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|1996^6^0;1559^6^0;731^6^0
42902028|*Nitrogen|D009584|2822|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|1668^8^0
42902028|*Soil|D012987|2714|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|2032^4^0;1696^4^0;1225^4^0;999^4^0;626^4^0;267^4^0
42902028|*Chlorophyll|D002734|2432|MH|RtM via: chlorophyll;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chlorophyll|TI|MM|1415^11^0
42902028|*Carbon Isotope|D002247|2324|ET|Entry Term Replacement for "Carbon Isotopes";RtM via: Carbon Isotopes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon isotopes|TI|MM|1559^14^0;731^14^0
42902028|*Rhus|D029045|1897|MH|RtM via: Rhus trilobata;Forced Leaf Node Lookup:rhus;checkForceMH Boosted|TI|MM|3068^14^0;796^14^0
42902028|*Ribes|D031965|1828|MH|RtM via: Ribes aureum;Forced Leaf Node Lookup:ribes;checkForceMH Boosted|TI|MM|3086^12^0;816^12^0
42902028|*Grassland|D065948|1696|MH|Forced Leaf Node Lookup:grasslands;Forced Leaf Node Lookup:prairies|TI|MM|521^9^0;1925^9^0;2707^7^0;4434^7^0
42902028|*Tin|D014001|1696|MH|Forced Leaf Node Lookup:tin;checkForceMH Boosted|TI|MM|4057^3^0
42902028|*Water|D014867|1607|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1974^5^0;1836^5^0;1269^5^0;554^5^0;455^5^0;239^5^0;70^5^0
42902028|*Seasons|D012621|1469|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|1624^6^0;1380^6^0;1516^6^0
42902028|*Prunus|D027861|1331|MH|RtM via: Prunus virginiana;checkForceMH Boosted;Forced Non-Leaf Node Lookup:prunus|TI|MM|3049^17^0;777^17^0
42902028|*Artemisia|D019306|1304|MH|RtM via: Artemisia cana;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|3033^14^0;761^14^0
42902028|Alberta|D000416|1205|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|841^7^0;3116^7^0
42902028|*Photosynthesis|D010788|1725|MH|RtM via: Photosynthesis;Forced Non-Leaf Node Lookup:photosynthesis|TI|MM|1821^14^0;1635^14^0;1254^14^0;1076^14^0;878^14^0;666^14^0;342^14^0;440^14^0;178^14^0;224^14^0
42902028|*Woods|D014934|651|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|1897^5^0;21^5^0
42900953|Female|D005260|4225|CT|Mothers;CT Treecode Lookup: F01.829.263.500.320.200 (Mothers);Mothers;CT Treecode Lookup: I01.880.853.150.500.340.270 (Mothers);Mothers;CT Treecode Lookup: M01.620.630 (Mothers);Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition)||MM;RC
42900953|Pregnancy|D011247|4225|CT|Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition)||MM
42900953|Mice|D051379|4225|CT|RtM via: Mus;Forced Non-Leaf Node Lookup:mice|TI|MM|696^4^0;444^4^0;228^4^0
42900953|Animals|D000818|4225|CT|RtM via: Mus;Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior);Peromyscus;CT Treecode Lookup: B01.050.150.900.649.313.992 (Peromyscus)|TI|MM|696^4^0;444^4^0;228^4^0
42900953|Humans|D006801|1000|CT|Forced Humans:D Mothers||MM
42900953|*Homing Behavior|D006702|2206|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM|455^11^0;408^11^0
42900953|*Peromyscus|D010542|2168|MH|RtM via: Mice, Deer;Forced Leaf Node Lookup:peromyscus;checkForceMH Boosted|TI|MM|1145^22^0;195^22^0
42900953|*Mothers|D009035|2080|MH|RtM via: Mother (person);Forced Leaf Node Lookup:mothers|TI|MM|495^7^0;399^7^0
42900953|*Internship and Residency|D007396|1192|MH|RtM via: Residency;Forced Leaf Node Lookup:residency|TI|MM|868^9^0
42900953|*Immigrants|D054242|1218|ET|Entry Term Replacement for "Emigrants and Immigrants";RtM via: Immigrant (person);Forced Non-Leaf Node Lookup:immigrants|TI|MM|2077^9^0;881^10^0
42900953|*Parturition|D036801|1092|MH|RtM via: Childbirth|TI|MM|233^4^0
42900953|*Movement|D009068|759|MH|RtM via: Movement|TI|MM|803^8^0
42900953|*Supplement, Food|D019587|549|ET|Entry Term Replacement for "Dietary Supplements";RtM via: Dietary Supplements;Forced Non-Leaf Node Lookup:food supplementations|TI|MM|267^17^0;121^20^0;615^20^0;764^20^0
42900953|*Habitat|D017753|177|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1994^7^0;1481^7^0;1437^7^0;1508^7^0
42900723|Animals|D000818|5656|CT|Hares;CT Treecode Lookup: B01.050.150.900.649.313.968 (Hares)|TI|MM
42900723|*Hares|D034621|4611|MH|RtM via: Hares (mammal);RtM via: Lepus americanus;Forced Leaf Node Lookup:hares;Forced Leaf Node Lookup:lepus;checkForceMH Boosted|TI|MM|869^5^0;623^5^0;556^5^0;498^5^0;304^5^0;1485^16^0;1191^14^0;107^16^0;91^14^0;100^5^0;1200^5^0
42900723|*Phenol|D019800|2576|MH|RtM via: phenol;checkForceMH Boosted|TI|MM|838^6^0
42900723|*Weight Loss|D015431|2180|MH|RtM via: Weight decreased;Forced Leaf Node Lookup:weight loss|TI|MM|541^11^0
42900723|*Nutritional Status|D009752|4656|MH|RtM via: Nutritional status|TI|MM|251^9^0
42900723|*Food|D005502|2874|MH|RtM via: Food|TI|MM|1172^4^0;1053^5^0;913^5^0;770^4^0;473^5^0;286^5^0
42900723|*Diet, Protein-Restricted|D018753|1953|MH|RtM via: Diet, Protein-Restricted|TI|MM|652^11^0
42901997|Humans|D006801|7453834|CT|Forced Humans: individuals|TI|MM;RC
42901997|United States|D014481|7453834|CT|Forced Leaf Node Lookup:american|TI|MM|65^8^0
42901997|*Cirsium|D031180|596887|MH|RtM via: Cirsium scariosum;Forced Leaf Node Lookup:cirsiums;checkForceMH Boosted|TI|MM|1010^17^0;21^17^0
42901997|Quebec|D011792|299435|MH|RtM via: Quebec;Forced Leaf Node Lookup:quebec|TI|MM;RC|397^6^0;128^6^0
42901997|*Base Pairing|D020029|298952|MH|RtM via: Base Pairing;Forced Leaf Node Lookup:base pairs|TI|MM|569^10^0
42901997|Alberta|D000416|298865|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|2034^7^0;1001^7^0
42901997|*Alleles|D000483|298664|MH|RtM via: Alleles;Forced Leaf Node Lookup:alleles|TI|MM|457^7^0
42901997|*Nucleic Acid Hybridization|D009693|1113|MH|RtM via: Nucleic acid hybridization procedure|TI|MM|824^13^0
42901997|*Hybridization, Genetic|D006824|723|MH|RtM via: Crossbreeding|TI|MM|824^13^0
42901997|*Agriculture|D000383|102|MH|RtM via: Combine|TI|MM|1626^7^0
42900970|Pregnancy|D011247|5656|CT|Litter Size;CT Treecode Lookup: G08.686.530 (Litter Size)||MM;RC
42900970|Humans|D006801|5656|CT|CT Text Lookup: neonate|TI|MM;RC|1100^7^0
42900970|Female|D005260|5656|CT|Litter Size;CT Treecode Lookup: G08.686.530 (Litter Size)||MM;RC
42900970|Infant, Newborn|D007231|5656|CT|CT Text Lookup: neonate|TI|MM;RC|1100^7^0
42900970|Animals|D000818|5656|CT|Microtine;CT Treecode Lookup: B01.050.150.900.649.313.992 (Microtine)||MM
42900970|United States|D014481|5656|CT|Forced Leaf Node Lookup:american|TI|MM|1310^8^0
42900970|*Life History Traits|D000071421|4656|MH|RtM via: Life History Traits;Forced Leaf Node Lookup:life history variations;Forced Leaf Node Lookup:life history traits|TI|MM|1716^22^0;976^18^0;41^19^0
42900970|*Litter Size|D008098|4237|MH|RtM via: Litter Size;Forced Leaf Node Lookup:litter sizes|TI|MM|1580^11^0;740^12^0;416^11^0;353^11^0
42900970|*Islands|D062312|3464|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|1509^7^0
42900970|*Microtine|D003411|3086|ET|Entry Term Replacement for "Arvicolinae";RtM via: Arvicolinae;RtM via: Microtus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:microtines|TI|MM|1748^10^0;68^9^0;2431^8^0;1860^8^0;553^8^0;102^8^0
42900970|*Soil|D012987|2366|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|889^4^0
42900970|*Conifers|D064028|2327|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted|TI|MM|696^10^0;648^10^0
42900970|*Basal Metabolism|D001481|2135|MH|RtM via: Basal metabolic rate;Forced Leaf Node Lookup:basal metabolic rates|TI|MM|1033^21^0
42900970|*Weaning|D014886|1904|MH|RtM via: Weaning;Forced Leaf Node Lookup:weanings|TI|MM|1377^6^0;1415^7^0;1126^7^0;1149^7^0
42900970|*Seasons|D012621|1883|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|776^6^0;313^6^0
42900970|*Altitude|D000531|1097|MH|Forced Leaf Node Lookup:altitudes|TI|MM|2102^8^0
42900970|Plant Breeding|D000069600|1729|MH|Replacement of Breeding Plants Found||MM
42900970|*Forests|D065928|2115|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|707^7^0
42900970|*Habitat|D017753|1818|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|3080^8^0;1626^7^0;869^7^0;603^7^0;163^7^0;2487^8^0;2991^8^0;915^7^0;1972^7^0;3999^7^0
42900970|*Reproduction|D012098|1599|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|2853^12^0;2141^12^0
42900970|*Biological Phenomena|D001686|1059|MH|RtM via: Tissue Growth|TI|MM|1394^4^0;1139^6^0
42900970|*Body Weight|D001835|471|MH|RtM via: Body Weight;Forced Non-Leaf Node Lookup:body weights|TI|MM|1255^11^0;1108^6^0;1087^11^0
42900773|Animals|D000818|8723|CT|Reindeer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Reindeer);Hoof and Claw;CT Treecode Lookup: A13.491 (Hoof and Claw)|TI|MM
42900773|*Taiga|D066188|7723|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|2110^13^0
42900773|*Trees|D014197|6701|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|302^4^0
42900773|*Lichens|D008011|6687|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|3056^7^0;782^6^0
42900773|*Reindeer|D012053|5699|MH|RtM via: Reindeer;Forced Leaf Node Lookup:caribou;checkForceMH Boosted|TI|MM|4498^7^0;4405^7^0;4112^7^0;3508^7^0;2535^7^0;2208^7^0;2033^7^0;1969^7^0;1817^7^0;1239^7^0;1002^7^0;696^7^0;425^7^0;279^7^0;54^7^0;545^7^0;1196^7^0;1364^7^0;3690^7^0
42900773|*Cicatrix|D002921|4958|MH|RtM via: Scar Tissue;RtM via: Cicatrix;Forced Leaf Node Lookup:scars|TI|MM|1941^5^0;1679^5^0;1611^5^0;1491^4^0;1268^5^0;880^5^0;652^5^0;407^5^0;4324^10^0;4037^10^0;3846^10^0;3533^10^0;3126^10^0;2874^10^0;2637^10^0;769^5^0;955^5^0;1019^5^0;1082^5^0;1321^5^0;1562^4^0
42900773|*Conifer|D064028|3868|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|935^8^0;497^8^0;346^7^0
42900773|Newfoundland and Labrador|D009523|3160|MH|RtM via: Labrador (geographic location);Forced Leaf Node Lookup:labrador|TI|MM|3085^8^0;826^8^0
42900773|*Seasons|D012621|2965|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|1165^6^0
42900773|*Hoof and Claw|D006724|2173|MH|RtM via: Hoof;Forced Leaf Node Lookup:hooves|TI|MM|433^6^0
42900773|*Woodland|D065928|3408|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|2132^6^0;789^8^0
42900773|*Snow|D012914|3387|MH|RtM via: Snow (substance);RtM via: snow - weather|TI|MM|579^4^0
42900773|*Tundra|D065929|3225|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|2139^6^0
42900773|Canada|D002170|2934|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|3095^6^0;836^6^0
42900773|*Commerce|D003132|516|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|2296^8^0
42900868|*Carex Plant|D031255|2372|MH|RtM via: Carex Genus;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|1980^5^0;2009^5^0;2040^5^0
42900868|*Wetlands|D053833|2272|MH|RtM via: Bog;RtM via: Marshes;Forced Leaf Node Lookup:marshes;Forced Leaf Node Lookup:bogs|TI|MM|1183^4^0;1092^3^0;779^3^0;665^3^0;391^3^0;283^3^0;61^3^0;1366^7^0;1199^7^0;787^5^0;759^7^0;600^5^0;321^7^0;90^7^0;1315^4^0
42900868|*Trees|D014197|1331|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1055^4^0
42900868|*Water|D014867|598|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|244^5^0;220^5^0
42900868|*Physical Phenomena|D055585|1302|MH|RtM via: water flow|TI|MM|220^10^0
42900868|*Mycobacterium avium Complex|D015269|528|MH|RtM via: Mycobacterium avium Complex|TI|MM|2243^4^0
42900868|*Cyclophosphamide|D003520|522|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2887^4^0
42900868|*Physiological Phenomena|D010829|477|MH|RtM via: Circulatory Process|TI|MM|1739^11^0
42900868|*Nutrient|D000078622|243|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|250^8^0
42900868|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|216^2^0;1732^2^0
42900868|North America|D009656|390|MH|RtM via: North America|TI|MM|1218^13^0
42902368|*Germination|D018525|4607|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|2255^11^0;700^11^0
42902368|*Seedlings|D036226|3727|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1076^9^0;839^9^0
42902368|*Fruit|D005638|2779|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|2193^6^0;664^5^0
42902368|*Genetic Fitness|D056084|1982|MH|RtM via: Reproductive Fitness;Forced Leaf Node Lookup:reproductive fitness|TI|MM|237^20^0
42902368|*Seed|D012639|1512|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|681^4^0
42902368|*Biological Phenomena|D001686|1281|MH|RtM via: Tissue Growth|TI|MM|797^6^0
42902368|*Insurance|D007341|1095|MH|RtM via: Insurance|TI|MM|1198^6^0
42902368|*Insurers|D007343|1038|ET|Entry Term Replacement for "Insurance Carriers";RtM via: Insurance Carriers|TI|MM|1198^6^0
42902368|*Reproduction|D012098|990|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|1634^12^0
42902368|Probability|D011336|1000|MH|Forced Non-Leaf Node Lookup:probability||MM|1154^11^0
42902368|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1727^3^0;3013^3^0
42902368|California|D002140|0|MH|RtM via: California|TI|MM|1022^10^0
42900942|United States|D014481|3628|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|825^8^0
42900942|Animals|D000818|3628|CT|Forced Non-Leaf Node Lookup:animals||MM|1069^7^0
42900942|*Acer|D031002|2628|MH|RtM via: Acer saccharinum;Forced Leaf Node Lookup:maples;Forced Leaf Node Lookup:acer;checkForceMH Boosted|TI|MM|2177^16^0;905^16^0;891^12^0;898^5^0
42900942|*Trees|D014197|2211|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|757^4^0
42900942|*Ulmus|D034403|1098|MH|RtM via: Ulmus americana;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|2113^15^0;839^15^0
42900942|sauvagine|C025727|976|NM|RtM via: sauvagine;Forced SCR Leaf Node Lookup:sauvagine|TI|MM|2433^9^0
42900942|*Silver|D012834|882|MH|Forced Leaf Node Lookup:silver;checkForceMH Boosted|TI|MM|891^6^0
42900942|*Rivers|D045483|576|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|84^5^0
42900942|Dutch elm disease|C000657684|442|NM|Forced New Lookup:dutch elm disease|TI|MM|306^17^0
42900942|*Forest|D065928|1536|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|499^6^0
42900942|*Amphibian Proteins|D029845|975|HM|RtM via: sauvagine|TI|MM|2433^9^0
42900942|*Peptide Hormones|D036361|954|HM|RtM via: sauvagine|TI|MM|2433^9^0
42900942|North America|D009656|831|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM|217^13^0
42901970|*Herbivory|D060434|3930|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores;Forced Leaf Node Lookup:herbivory|TI|MM|2643^10^0;2130^10^0;1540^10^0;1033^10^0;951^9^0;627^10^0;88^9^0
42901970|*Acacia|D000045|3864|MH|RtM via: Acacia;Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|910^6^0;510^6^0;532^6^0;2013^6^0;2034^6^0;2502^6^0
42901970|*Ecosystem|D017753|3606|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|108^9^0
42901970|*Soil|D012987|3027|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|848^4^0
42901970|*Grassland|D065948|1173|MH|Forced Leaf Node Lookup:savannas|TI|MM|146^8^0
42901970|*Fire|D005390|3102|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|644^4^0;79^4^0
42901970|*Physical Phenomena|D055585|1224|MH|RtM via: Force|TI|MM|1560^6^0
42901970|*Fabaceae|D007887|1188|MH|RtM via: Senegalia nigrescens;RtM via: Vachellia tortilis|TI|MM|510^17^0;2013^6^1;2041^8^1;532^15^0
42901970|*Attention|D001288|108|MH|RtM via: Persistence;RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|1245^11^0;299^9^0;1702^9^0
42901970|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2989^3^0
42900844|Humans|D006801|4565|CT|Dental Care;CT Treecode Lookup: N02.421.240 (Dental Care)||MM;RC
42900844|Animals|D000818|4565|CT|Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton)||MM
42900844|*Zooplankton|D015048|3565|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM|1774^11^0;1560^11^0;1268^11^0;1130^11^0;933^11^0;837^11^0;508^11^0;176^11^0;127^11^0;544^11^0;585^11^0
42900844|*Phytoplankton|D010839|2633|MH|RtM via: Phytoplankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytoplankton|TI|MM|1674^13^0;1203^13^0;343^13^0;52^13^0
42900844|*Ponds|D061005|1943|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM|394^4^0;253^4^0
42900844|*Feedback|D005246|1862|MH|RtM via: Feedback - evaluative response process;RtM via: Feedback - system communication;Forced Leaf Node Lookup:feedbacks|TI|MM|1809^8^0
42900844|*Biomass|D018533|1741|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|945^7^0;849^7^0;520^7^0;2539^8^0;2599^8^0;2842^8^0;3035^8^0;556^7^0
42900844|*Seasons|D012621|1208|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|968^7^0
42900844|*Food|D005502|594|MH|RtM via: Food|TI|MM|1860^4^0;106^4^0
42900844|*Nutrient|D000078622|576|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1661^8^0;1424^8^0;1166^8^0;1003^8^0;1715^8^0
42900844|*Mycobacterium avium Complex|D015269|555|MH|RtM via: Mycobacterium avium Complex|TI|MM|4109^4^0;2575^4^0
42900844|*Dental Care|D003729|546|MH|RtM via: en masse Movement|TI|MM|3246^5^1;3301^2^1
42900844|*Food Quality|D063427|315|MH|RtM via: Food Quality;Forced Non-Leaf Node Lookup:food quality|TI|MM|1884^12^0;373^12^0
42900844|Eating|D004435|1000|MH|Forced Non-Leaf Node Lookup:ingestion||MM|2448^9^0
42901124|Humans|D006801|3689|CT|CT Text Lookup: individuals;CT Text Lookup: men|TI|MM;RC|843^11^0;2158^3^0
42901124|Male|D008297|3689|CT|CT Text Lookup: men|TI|MM;RC|2158^3^0
42901124|Female|D005260|3689|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|50^6^0
42901124|Animals|D000818|3689|CT|Forced Non-Leaf Node Lookup:animals||MM|24^6^0
42901124|*Pollination|D054817|2689|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|1217^10^0;996^11^0;441^11^0;31^10^0
42901124|*Wind|D014919|2089|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|474^4^0
42901124|*Ranunculus|D031947|2006|MH|RtM via: Ranunculus acris;Forced Leaf Node Lookup:ranunculus;checkForceMH Boosted|TI|MM|1771^16^0;320^16^0
42901124|*Temperature|D013696|1765|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|458^11^0
42901124|*Seasons|D012621|1753|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|1154^6^0;592^6^0
42901124|*Automobiles|D001336|748|MH|Forced Leaf Node Lookup:car|TI|MM|2887^3^0
42901124|*Reproduction|D012098|2379|MH|RtM via: flowering;RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|1077^9^0;833^9^0;582^9^0;1432^12^0;57^12^0
42901124|*Social Stigma|D057545|1281|MH|RtM via: Social stigmata|TI|MM|398^7^0
42901124|*Environment|D004777|1056|MH|RtM via: Physical environment|TI|MM|667^20^0
42901124|*Pollen|D011058|1008|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|3016^6^0;2116^6^0;1656^6^0;1480^6^1;1490^6^1;1350^6^0;639^6^0;377^6^0;208^6^0;100^6^0;766^6^0;2240^6^0
42901124|*Probability|D011336|750|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|1117^11^0
42901124|*Seed|D012639|480|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1369^4^0;856^4^0;726^4^0;267^4^0;283^4^0;1061^4^0
42901100|Humans|D006801|10954795|CT|Forced Humans: man|TI|MM;RC
42901100|Male|D008297|10954795|CT|CT Text Lookup: man|TI|MM;RC|380^3^0
42901100|Animals|D000818|10954795|CT|Crows;CT Treecode Lookup: B01.050.150.900.248 (Crows)||MM
42901100|*Crows|D046368|1758291|MH|RtM via: Ravens;Forced Leaf Node Lookup:corvus;Forced Leaf Node Lookup:ravens;checkForceMH Boosted|TI|MM|1685^12^0;1310^12^0;966^13^0;795^13^0;37^12^0;51^12^0;802^6^0;973^6^0;44^5^0;1317^5^0
42901100|*Juniperus|D018653|881958|MH|RtM via: Juniperus cedrus;RtM via: Juniperus communis;Forced Leaf Node Lookup:juniperus;checkForceMH Boosted|TI|MM|3330^9^1;3356^6^1;1497^9^0
42901100|*Opuntia|D029747|880161|MH|RtM via: Opuntia ficus-indica;Forced Leaf Node Lookup:opuntia ficus-indica;checkForceMH Boosted|TI|MM|3248^20^0;1414^20^0
42901100|*Lycium|D032305|879453|MH|RtM via: Lycium intricatum;Forced Leaf Node Lookup:lycium;checkForceMH Boosted|TI|MM|3216^17^0;1382^17^0
42901100|*Rubia|D045470|879453|MH|RtM via: Rubia fruticosa;Forced Leaf Node Lookup:rubias;checkForceMH Boosted|TI|MM|3282^15^0;1448^15^0
42901100|*Cedrus|D028203|879360|MH|RtM via: Cedrus;Forced Leaf Node Lookup:cedrus;checkForceMH Boosted|TI|MM|1524^6^0;3356^6^0
