10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
41679358|*Zamiaceae|C0996584|50555|MH|RtM via: Zamia integrifolia;Forced Leaf Node Lookup:zamias;checkForceMH Boosted|TI|MM|1450^18^0
41679358|*Euphrasia|C1082871|50495|MH|RtM via: Euphrasia;RtM via: Euphrasia stricta;Forced Leaf Node Lookup:euphrasia;checkForceMH Boosted|TI|MM|1687^9^0
41679358|*Amomum|C1136081|50474|MH|Forced Leaf Node Lookup:amomums;checkForceMH Boosted|TI|MM|888^6^0
24389105|*Phylogeny|C0031797|48882|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM|627^12^0;58^9^0;771^12^0
24389105|Hepatitis, Chronic|C0019189|124206|MH|||RC
24389105|Liver Cirrhosis|C0023890|89244|MH|||RC
24389105|*Base Sequence|C0004793|26202|MH|RtM via: Base Sequence;RtM via: DNA Sequence;RtM via: RNA Sequence|TI|MM|303^9^0
24389105|*Pigmentation|C0031911|6996|MH|RtM via: Pigmentation;Forced Non-Leaf Node Lookup:pigmentations|TI|MM|1872^12^0
24389105|*Phenotype|C0031437|3306|MH|RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|1716^9^0;472^10^0
24389106|*Phylogeny|C0031797|37240|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM|1101^12^0;834^12^0;386^12^0
24389106|Drug Resistance, Multiple|C0242640|339518|MH|||RC
24389106|ATP Binding Cassette Transporter, Subfamily B, Member 1|C0242643|157918|MH|||RC
24389106|*Chloroplast|C0008266|4494|ET|Entry Term Replacement for "Chloroplasts";RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM|420^11^0
24389106|*Forests|C0086312|3699|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|157^7^0
24389106|Western Europe|C0043129|3876|ET|Entry Term Replacement for "Europe";RtM via: Western Europe|TI|MM|194^14^0
24389106|North America|C0028405|1332|MH|RtM via: North America|TI|MM|819^13^0;176^13^0
24389107|*Polystichum|C0996574|244300|MH|RtM via: Polystichum;Forced Leaf Node Lookup:polystichums;checkForceMH Boosted|TI|MM|447^11^0
24389107|*Dryopteridaceae|C1002713|226070|MH|RtM via: Dryopteridaceae;RtM via: Arachniodes;RtM via: Cyrtomium;RtM via: Phanerophlebia;RtM via: Polystichopsis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dryopteridaceae|TI|MM|33^15^0;356^11^0;386^9^0;412^14^0;514^14^0
24389107|*Dryopteris|C0004047|163564|MH|RtM via: Dryopteris;RtM via: Dryopteris crassirhizoma;Forced Leaf Node Lookup:dryopteris;checkForceMH Boosted|TI|MM|2079^10^0;2093^8^0;2037^10^0;1415^10^0;1427^8^0;1244^13^0;1456^8^0;1227^10^0;1143^10^0;1037^10^0;1048^8^0;992^13^0;918^8^0;867^10^0;879^8^0;789^10^0;889^13^0;908^8^0;700^10^0;288^10^0;300^8^0;199^10^0;310^13^0;329^8^0;21^10^0
24389107|*Fern|C0331729|63428|ET|Entry Term Replacement for "Ferns";RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fern|TI|MM|72^4^0
24389107|*Introns|C0021920|60074|MH|RtM via: Introns;Forced Leaf Node Lookup:introns|TI|MM|641^6^0
24389107|*Phylogeny|C0031797|39014|MH|RtM via: Phylogeny;Forced Leaf Node Lookup:phylogeny|TI|MM|687^9^0
24389107|Heart|C0018787|46095|MH|||RC
24389107|*Plastid|C0206524|14304|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|575^7^0
24389107|*DNA|C0012854|12252|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|553^3^0
24389108|*Poaceae|C0018210|73307|MH|RtM via: Poaceae;RtM via: Arundo;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|58^7^0;50^6^0
24389108|*Base Sequence|C0004793|39614|MH|RtM via: DNA Sequence;Forced Leaf Node Lookup:dna sequences|TI|MM|218^13^0
24389108|*Amplified Fragment Length Polymorphism Analysis|C1955927|38615|MH|Forced Lookup:aflp|TI|MM|296^4^0;421^4^0
24389108|Balkan Peninsula|C3494471|38615|MH|Forced Leaf Node Lookup:balkans|TI|MM|716^6^0
24389108|Thorium|C0039994|153433|MH|||RC
24389108|Potassium Radioisotopes|C0032840|147617|MH|||RC
24389108|*Ploidy|C0032246|3024|ET|Entry Term Replacement for "Ploidies";RtM via: Ploidies;Forced Non-Leaf Node Lookup:ploidy|TI|MM|905^6^0
24389108|Genetic Variation|C0042333|1000|MH|Forced Non-Leaf Node Lookup:genetic diversity||MM|861^17^0;940^17^0
24389109|*Angiosperms|C0330209|33531|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|440^11^0
24389109|*Salicornia|C1012398|30153|ET|Entry Term Replacement for "Chenopodiaceae";RtM via: Salicornia;checkForceMH Boosted|TI|MM|376^10^0
24389109|Lignin|C0023705|18585|MH|||RC
24389109|Fermentation|C0015852|17351|MH|||RC
24389109|*Genotypes|C0017431|423|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM|208^9^0
24389111|Animals|C0003062|108130|CT|Animal Testing Alternatives;CT Treecode Lookup: E05.017 (Animal Testing Alternatives)||RC
24389111|*Psychotria|C1001324|82525|MH|RtM via: Psychotria;Forced Leaf Node Lookup:psychotrias;checkForceMH Boosted|TI|MM|1829^10^0;1034^10^0;587^10^0;73^10^0;304^10^0
24389111|*Rubiaceae|C0524885|45857|MH|RtM via: Rubiaceae;RtM via: Hodgkinsonia frutescens;RtM via: Palicoureeae;RtM via: Margaritopsis;RtM via: Psychotrieae;RtM via: Readea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|85^9^0;1211^23^0;1060^12^0;449^12^0;389^12^0;1920^13^0;1575^13^0;1338^13^0;413^13^0;341^12^0;2073^6^0;1200^6^0
24389111|New Caledonia|C0027964|22913|MH|RtM via: New Caledonia;Forced Leaf Node Lookup:new caledonia|TI|MM|819^13^0
24389111|*Phylogeny|C0031797|15389|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM|2177^12^0;1078^12^0;861^12^0;127^12^0
24389111|Skin Irritancy Tests|C0887967|107130|MH|||RC
24389111|Animal Testing Alternatives|C0003059|33337|MH|||RC
24389111|*Plastid|C0206524|8352|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|925^7^0
24389111|*Survey|C0038951|843|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|1369^6^0
24389111|*DNA|C0012854|651|MH|RtM via: DNA;RtM via: Nuclear deoxyribonucleic acid;Forced Non-Leaf Node Lookup:dna|TI|MM|933^3^0;891^11^0;899^3^0
24389111|Asia|C0003980|1000|MH|Forced Non-Leaf Node Lookup:asia||MM|663^4^0;761^4^0
24389111|Adenosine Monophosphate|C0001465|1000|MH|Forced Non-Leaf Node Lookup:amp||MM|717^3^0;1030^3^0;1857^3^0;2307^3^0
24389111|Melanesia|C0025195|15108|MH|RtM via: Melanesia|TI|MM|796^9^0
24389111|Micronesia|C0026001|6825|MH|RtM via: Micronesia|TI|MM|807^10^0
24389111|Polynesia|C0032540|6825|MH|RtM via: Polynesia|TI|MM|837^9^0
24389111|Australia|C0004340|9|MH|RtM via: Australia|TI|MM|1240^9^0;785^9^0
24389112|*Orobanchaceae|C1041305|109213|MH|RtM via: Orobanchaceae;RtM via: Bellardia <angiosperm>;RtM via: Nothobartsia;RtM via: Odontitella;RtM via: Parentucellia;RtM via: Bartsia alpina;RtM via: Rhinantheae;RtM via: Odontites;RtM via: Hedbergia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:orobanchaceae|TI|MM|233^13^0;1282^9^0;1297^12^0;1314^11^0;1264^13^0;1011^14^0;577^14^0;1473^7^0;1079^7^0;385^7^0;914^11^0;770^11^0;220^11^0;1509^9^0;1143^9^0
24389112|*Trichomes|C3658255|34360|MH|RtM via: Trichomes;Forced Leaf Node Lookup:indumentums|TI|MM|1711^10^0
24389112|*Capsules|C0006935|31933|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|1747^8^0
24389112|*Phylogeny|C0031797|31582|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM|701^12^0;176^12^0
24389112|*Plastid|C0206524|70857|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|874^7^0
24389112|*Chloroplast|C0008266|62622|ET|Entry Term Replacement for "Chloroplasts";RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM|91^11^0
24389112|*Cell Nucleus|C0007610|47856|MH|RtM via: Nuclear (nucleus)|TI|MM;RC|862^7^0;130^7^0
24389112|*DNA|C0012854|13434|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|59^3^0
24389112|*Chromosomes|C0008633|5490|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|1867^18^0
24389112|North America|C0028405|1000|MH|Forced Non-Leaf Node Lookup:north america||MM|674^13^0
24389112|Europe|C0015176|0|MH|RtM via: central europe|TI|MM|643^14^0
24389113|Animals|C0003062|57451|CT|Mammary Glands, Animal;CT Treecode Lookup: A13.589 (Mammary Glands, Animal)||RC
24389113|Female|C0086287|57451|CT|Lactation;CT Treecode Lookup: G08.686.523 (Lactation);Lactation;CT Treecode Lookup: G08.686.702.500 (Lactation)||RC
24389113|Mammary Glands, Animal|C0024659|56451|MH|||RC
24389113|Lactation|C0022925|43219|MH|||RC
24389115|*Antrodia|C1082344|21211|MH|RtM via: Antrodia;Forced Leaf Node Lookup:antrodias;checkForceMH Boosted|TI|MM|1342^8^0;157^8^0;444^8^0;1142^8^0;1422^8^0
24389115|*Ganoderma|C0997566|18326|MH|RtM via: Ganoderma;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ganoderma|TI|MM|1110^9^0;347^9^0;468^9^0;1283^9^0;1727^9^0;1750^9^0
24389115|*Trees|C0040811|12115|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|94^4^0
24389115|*Cinnamomum|C0969704|11285|MH|RtM via: Cinnamomum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cinnamomums|TI|MM|107^10^0
24389115|Taiwan|C0039260|4793|MH|RtM via: Taiwan;Forced Leaf Node Lookup:taiwan|TI|MM|72^6^0
24389115|Spores, Fungal|C0038029|14579|MH|Spores Specifics:Spores||MM
24389115|Cells, Cultured|C0007635|17634|MH|||RC
24389115|Trabecular Meshwork|C0040573|12063|MH|||RC
24389115|*Basidiocarps|C1449866|6954|ET|Entry Term Replacement for "Fruiting Bodies, Fungal";RtM via: Basidiocarp|TI|MM|733^11^0;392^12^0
24389115|*Polyporales|C0600456|5508|MH|RtM via: Taiwanofungus salmoneus;RtM via: Taiwanofungus camphoratus|TI|MM|2227^23^0;1750^21^0;1727^21^0;1422^19^0;1283^21^0;1364^25^0;1142^19^0;444^19^0;468^21^0;347^21^0;258^25^0;157^19^0
24389116|*Quercus|C0330302|19495|MH|RtM via: Quercus dalechampii;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|64^19^0
24389116|*Accidental Falls|C0000921|12305|MH|RtM via: Accidental Falls;RtM via: Falls;Forced Leaf Node Lookup:falling|TI|MM|205^7^0
24389116|Search Engine|C2348167|34009|MH|||RC
24389116|Software|C0037585|16253|MH|||RC
24389116|*Name|C0027365|11676|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|672^4^0
24389116|*Plant Leaves|C0242724|405|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|836^6^0
24389117|Humans|C0086418|511652|CT|Testicular Neoplasms;CT Treecode Lookup: C04.588.945.440 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C12.294.260 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C12.758.409 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C19.391.829 (Testicular Neoplasms)||MM;RC
24389117|Male|C0086582|511652|CT|Testicular Neoplasms;CT Treecode Lookup: C04.588.945.440 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C12.294.260 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C12.758.409 (Testicular Neoplasms);Testicular Neoplasms;CT Treecode Lookup: C19.391.829 (Testicular Neoplasms)||MM;RC
24389117|*Globus Pallidus|C0017651|53687|MH|RtM via: Globus Pallidus;Forced Leaf Node Lookup:pallidums|TI|MM|107^8^0
24389117|Seminoma|C0036631|510652|MH|||RC
24389117|Testicular Neoplasms|C0039590|268611|MH|Neoplasm Coordination Rule: Seminoma||MM;RC
24389310|Humans|C0086418|206320|CT|Forced Lookup:participant;CT Text Lookup: student;CT Text Lookup: students|TI|MM;RC|887^11^0;2011^8^0
24389310|*Data Analysis|C0010992|63655|MH|RtM via: Data Analysis;Forced Leaf Node Lookup:data analysis|TI|MM|2320^13^0
24389310|*Access to Information|C0949571|55036|MH|Forced Leaf Node Lookup:open access|TI|MM|1291^11^0
24389310|*Phylogeny|C0031797|55036|MH|Forced Lookup:phylogenetic|TI|MM|525^12^0;1213^12^0;2353^12^0
24389310|*Cytogenetics|C0010802|205320|MH|RtM via: Cytogenetics|TI|MM;RC|2266^12^0
24389310|Mastocytosis, Systemic|C0221013|122686|MH|||RC
24389310|*Chromosome|C0008633|95058|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|1858^10^0
24389310|*Genetics, Population|C0017404|43344|MH|RtM via: Genetics, Population;Forced Non-Leaf Node Lookup:population genetics|TI|MM|558^18^0
24389310|*Habitats|C0871648|34068|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1171^8^0
24389310|*Biodiversity|C0282469|33957|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|754^12^0
24389310|*Botany|C0006038|31218|MH|RtM via: Botany;Forced Non-Leaf Node Lookup:botany|TI|MM|962^6^0;75^6^0
24389310|*DNA|C0012854|23139|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|2280^3^0;477^3^0
24389310|*Students|C0038492|1179|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|2011^8^0
24389310|Cytogenetic Analysis|C0752095|1000|MH|Forced Non-Leaf Node Lookup:cytogenetics||MM|2266^12^0
24389312|Female|C0086287|109512|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|715^5^0
24389312|*Strelitziaceae|C1080693|93820|MH|RtM via: Strelitzia;Forced Leaf Node Lookup:strelitzias;checkForceMH Boosted|TI|MM|1674^10^0
24389312|*Fruit|C0016767|61117|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1483^5^0;1533^6^0;1300^5^0;963^5^0;854^5^0;595^5^0;241^6^0;510^6^0;657^6^0;1617^6^0;103^5^0;378^5^0
24389312|*Ovary|C0029939|54053|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovary|TI|MM|715^5^0
24389312|*Angiosperms|C0330209|51599|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|367^10^0;282^11^0;174^10^0
24389312|*Consensus|C0376298|31073|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|1095^9^0
24389312|*Waxes|C0043076|27728|MH|RtM via: Waxes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:waxes|TI|MM|1812^3^0;1698^5^0
24389312|*Phylogeny|C0031797|26498|MH|RtM via: Phylogeny;Forced Leaf Node Lookup:phylogeny|TI|MM|1374^9^0
24389312|Theory of Mind|C0935573|108512|MH|||RC
24389312|Intention|C0162425|58420|MH|||RC
24389312|*Seed|C0036563|16263|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;RtM via: Hydatellaceae;RtM via: Trithuria;Forced Non-Leaf Node Lookup:seed|TI|MM|1837^11^0;463^6^0;1502^13^0;1016^13^0;520^13^0;251^13^0;150^13^0;1738^9^0;1722^9^0;1403^9^0;139^9^0
24389312|*Epidermis|C0014520|10764|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|698^9^0
24389312|*Ribs|C0035561|2688|MH|RtM via: Bone structure of rib;Forced Non-Leaf Node Lookup:ribs|TI|MM|601^4^0
24389313|*Aloe|C0002168|144197|MH|RtM via: Aloe;RtM via: Aloe Extract;Forced Leaf Node Lookup:aloe;checkForceMH Boosted|TI|MM|1038^4^0;993^4^0
24389313|*Phylogeny|C0031797|132671|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM|667^9^0;301^12^0
24389313|*Asphodelaceae|C1001390|112663|ET|Entry Term Replacement for "Xanthorrhoeaceae";RtM via: Xanthorrhoeaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asphodelaceae|TI|MM|21^13^0
24389313|*Asparagales|C1030020|96688|MH|RtM via: Asparagales;RtM via: Asphodelaceae;RtM via: Astroloba;RtM via: Chortolirion;RtM via: Gasteria;RtM via: Haworthia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asparagales|TI|MM|54^11^0;21^13^0;818^9^0;944^12^0;832^8^0;1120^9^0;678^9^0
24389313|*Horticulture|C5197899|63100|MH|RtM via: Horticulture;Forced New Lookup:horticulture|TI|MM|185^12^0
24389313|*Bayes Theorem|C0004870|63091|MH|Forced Lookup:bayesian|TI|MM|581^8^0
24389313|*Comprehension|C0162340|892257|MH|RtM via: Comprehension|TI|MM;RC|269^10^0
24389313|Psycholinguistics|C0033896|126812|MH|||RC
24389313|*Plastid|C0206524|23859|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|401^7^0
24389313|Africa, Southern|C0001746|9|MH|RtM via: Africa, Southern|TI|MM|129^15^0
24389314|*Pollination|C1522786|131409|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|1248^11^0
24389314|*Cost-Benefit Analysis|C0010174|109542|MH|RtM via: Cost Effectiveness;Forced Leaf Node Lookup:cost-effective|TI|MM|1457^14^0
24389314|HLA-A Antigens|C0019728|459237|MH|||RC
24389314|HLA-B Antigens|C0019737|367763|MH|||RC
24389314|*Historical Demography|C0019661|34488|ET|Entry Term Replacement for "Demography";RtM via: Historical Demography;Forced Non-Leaf Node Lookup:demographics|TI|MM|1364^22^0;652^11^0;1375^11^0
24389314|*Biomes|C3853023|22074|ET|Entry Term Replacement for "Ecosystem";RtM via: Biome;RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats;Forced Non-Leaf Node Lookup:biomes|TI|MM|752^6^0;925^7^0;478^7^0
24389314|*Chromosome|C0008633|16206|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|795^10^0;357^17^0
24389315|*Urticaceae|C0330545|350138|MH|RtM via: Urticaceae;RtM via: Hesperocnide;RtM via: Laportea;RtM via: Laportea cuspidata;RtM via: Zhengyia;RtM via: Zhengyia shennongensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:urticaceae|TI|MM|96^13^0;111^10^0;781^12^0;397^12^0;415^8^0;807^18^0;723^8^0;317^22^0;21^22^0;763^6^0;382^13^0
24389315|*Phylogeny|C0031797|70571|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM|686^12^0;163^12^0
24389315|*Nipples|C0028109|67526|MH|RtM via: Nipples;Forced Leaf Node Lookup:nipples|TI|MM|545^6^0
24389315|Acetaminophen|C0000970|193564|MH|||RC
24389315|Chemical and Drug Induced Liver Injury|C4277682|159894|MH|||RC
24389315|*Plastid|C0206524|33303|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|274^7^0
24389315|*Seed|C0036563|26163|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|453^4^0
24389315|*DNA|C0012854|4182|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|225^3^0
24389315|*Habitats|C0871648|2946|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1090^8^0
24389315|China|C0008115|9|MH|RtM via: China|TI|MM|152^5^0
24389316|*Chenopodiaceae|C0446248|96422|MH|RtM via: Chenopodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chenopodiaceae|TI|MM|87^14^0
24389316|*Phylogeny|C0031797|71335|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM|315^12^0;230^9^0
24389316|Antarctic Regions|C0454691|35279|MH|RtM via: Antarctica;Forced Leaf Node Lookup:antarctica|TI|MM|850^10^0
24389316|Platelet Adhesiveness|C0032175|114366|MH|||RC
24389316|*Amaranthaceae|C0949809|78501|MH|RtM via: Amaranthaceae;RtM via: Hemichroa pentandra;RtM via: Polycnemoideae;RtM via: Polycnemum;RtM via: Hemichroa <angiosperm>;RtM via: Nitrophila;RtM via: Surreya;Forced Non-Leaf Node Lookup:amaranthaceae|TI|MM|531^13^0;73^13^0;1414^19^0;1055^14^0;511^14^0;21^14^0;656^10^0;1340^9^0;895^9^0;729^9^0;1458^10^0;944^10^0;884^10^0;717^10^0;1714^7^0;905^7^0;740^7^0
24389316|*Survey|C0038951|930|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|1200^6^0;246^6^0
24389316|North America|C0028405|1836|MH|RtM via: North America|TI|MM|1002^13^0
24389316|South America|C0037713|1836|MH|RtM via: South America|TI|MM|976^13^0
24389317|*Dipsacaceae|C1008936|561446|MH|RtM via: Cephalaria;RtM via: Dipsacaceae;RtM via: Dipsacus;RtM via: Scabiosa;RtM via: Succisa;RtM via: Knautia;Forced Leaf Node Lookup:cephalarias;Forced Leaf Node Lookup:dipsacaceae;Forced Leaf Node Lookup:scabiosas;Forced Leaf Node Lookup:dipsacus;Forced Leaf Node Lookup:knautias;Forced Leaf Node Lookup:succisas;checkForceMH Boosted|TI|MM|1303^10^0;417^10^0;2223^11^0;1943^11^0;1293^8^0;429^8^0;1712^8^0;1397^7^0;448^7^0;1356^7^0;439^7^0;2462^11^0
24389317|*Fruit|C0016767|42089|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|33^5^0
24389317|Mozambique|C0026655|41207|MH|RtM via: Mozambique;Forced Leaf Node Lookup:mozambique|TI|MM|850^10^0
24389317|*Caprifoliaceae|C0331054|349992|MH|RtM via: Lomelosia;RtM via: Pseudoscabiosa;RtM via: Pterocephalidium;RtM via: Pycnocomon;RtM via: Sixalix;RtM via: Succisella;RtM via: Pterocephalus;RtM via: Pterocephalidium diandrum;RtM via: Bassecoia;RtM via: Pterocephalodes|TI|MM|1785^9^0;1443^14^0;863^16^0;1796^10^0;1729^7^0;1409^10^0;461^10^0;2330^13^0;1738^13^0;1097^13^0;619^13^0;122^13^0;684^25^0;232^25^0;2095^9^0;1849^9^0;1866^15^0
24389317|Calcium Phosphates|C0006712|46170|MH|||RC
24389317|*Pollen|C0032385|22500|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|993^6^0;70^6^0
24389317|*Flowers|C0330090|16035|MH|RtM via: Flowers;RtM via: Plant Calyx;Forced Non-Leaf Node Lookup:flowers|TI|MM|957^7^0;2283^5^0
24389317|*DNA|C0012854|4629|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|1905^3^0;1192^3^0
24389317|Africa|C0001737|2361|MH|RtM via: Africa|TI|MM|842^6^0
24389318|*Senecio|C0036642|136109|MH|RtM via: Senecio;Forced Leaf Node Lookup:senecios;checkForceMH Boosted|TI|MM|1038^7^0;117^7^0;21^7^0
24389318|*Base Sequence|C0004793|60970|MH|RtM via: Base Sequence;RtM via: DNA Sequence;RtM via: RNA Sequence;Forced Leaf Node Lookup:dna sequences|TI|MM|838^9^0;409^12^0
24389318|*Phylogeny|C0031797|52774|MH|Forced Lookup:phylogenetic|TI|MM|364^12^0
24389318|Polyglycolic Acid|C0032502|350526|MH|||RC
24389318|Lactic Acid|C0064582|178571|MH|||RC
24389318|*Plastid|C0206524|1821|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|389^7^0
24389321|Gastritis|C0017152|520973|MH|||RC
24389321|Helicobacter Infections|C0079487|514054|MH|||RC
taxon.62.2.217|*Leguminosae|C0023263|83854|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM;RC|901^6^0;750^6^0;437^6^0;324^7^0;171^6^0;31^11^0
taxon.62.2.217|*Angiosperm|C0330209|57643|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|1007^10^0;62^10^0
taxon.62.2.217|*Phylogeny|C0031797|50552|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|908^9^0;757^9^0;666^12^0;522^12^0;444^9^0;361^9^0;253^12^0
taxon.62.2.217|*Computational Biology|C0376528|24298|MH|RtM via: Bio-Informatics;Forced Leaf Node Lookup:bioinformatics|TI|MM|573^14^0
taxon.62.2.217|*Goals|C0018017|9055|MH|Forced Leaf Node Lookup:goal|TI|MM|832^4^0
taxon.62.2.217|*Sequencing, Next-Generation|C2936621|25215|ET|Entry Term Replacement for "High-Throughput Nucleotide Sequencing";RtM via: High-Throughput Nucleotide Sequencing;RtM via: Massively-Parallel Sequencing;Forced Non-Leaf Node Lookup:next-generation sequencing|TI|MM|592^26^0
taxon.62.2.217|*Vegetables|C0042440|5100|MH|RtM via: Pulse vegetables|TI|MM|324^7^0
taxon.62.2.249|*Fabaceae|C0023263|62973|MH|RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM;RC|1033^4^0;1090^6^0;875^6^0;441^8^0;548^4^0;343^4^0;218^6^0;1015^6^0
taxon.62.2.249|*Angiosperm|C0330209|58596|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|478^10^0
taxon.62.2.249|*Phylogeny|C0031797|22173|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|640^12^0
taxon.62.2.249|*Feasibility Studies|C0015730|8622|MH|Forced Leaf Node Lookup:feasibility|TI|MM|356^11^0
